formation	icon_name	is_army	is_naval	order
#formations_tables;2;db/formations_tables/formations				
armenian	UI/Battle UI/formation_icons/armenian.png	true	false	0
bear	UI/Battle UI/formation_icons/bear.png	true	false	1
bird	UI/Battle UI/formation_icons/bird.png	true	false	2
boar	UI/Battle UI/formation_icons/boar.png	true	false	1
cannae	UI/Battle UI/formation_icons/cannae.png	true	false	1
caucasian	UI/Battle UI/formation_icons/caucasian.png	true	false	2
centre	UI/Battle UI/formation_icons/centre.png	true	false	1
column	UI/Battle UI/formation_icons/column.png	false	false	11
crescent	UI/Battle UI/formation_icons/crescent.png	true	true	2
deer	UI/Battle UI/formation_icons/deer.png	true	false	3
diekplous	UI/Battle UI/formation_icons/diekplous.png	true	true	4
double_acies	UI/Battle UI/formation_icons/duplex_acies.png	true	false	1
double_line_land	UI/Battle UI/formation_icons/double_line.png	false	false	7
double_line_sorted	UI/Battle UI/formation_icons/sorted_double_line.png	false	false	8
double_sailing	UI/Battle UI/formation_icons/double_line.png	false	true	1
flank	UI/Battle UI/formation_icons/flank.png	true	false	2
horse	UI/Battle UI/formation_icons/horse.png	true	false	3
issus	UI/Battle UI/formation_icons/issus.png	true	false	1
magnesia	UI/Battle UI/formation_icons/magnesia.png	true	false	2
mel_double_line	UI/Battle UI/formation_icons/mel_double_line.png	false	true	6
mel_heavy_centre	UI/Battle UI/formation_icons/mel_heavy_centre.png	false	true	14
mel_light_centre	UI/Battle UI/formation_icons/mel_light_centre.png	false	true	12
mis_double_line	UI/Battle UI/formation_icons/mis_double_line.png	false	true	7
mis_heavy_centre	UI/Battle UI/formation_icons/mis_light_centre.png	false	true	15
mis_light_centre	UI/Battle UI/formation_icons/mis_heavy_centre.png	false	true	13
persian	UI/Battle UI/formation_icons/persian.png	true	false	3
raphia	UI/Battle UI/formation_icons/raphia.png	true	false	3
river_defence	UI/Battle UI/formation_icons/river_defence.png	false	false	10
sailing	UI/Battle UI/formation_icons/line.png	false	true	0
simplex_acies	UI/Battle UI/formation_icons/simplex_acies.png	true	false	3
single_line	UI/Battle UI/formation_icons/single_line.png	false	false	4
single_line_sorted	UI/Battle UI/formation_icons/sorted_single_line.png	false	false	5
skirmish	UI/Battle UI/formation_icons/skirmish.png	true	false	3
spear	UI/Battle UI/formation_icons/naval_spear.png	true	true	3
spear_point	UI/Battle UI/formation_icons/spear.png	true	false	2
torc	UI/Battle UI/formation_icons/torc.png	true	false	3
trebia	UI/Battle UI/formation_icons/trebia.png	true	false	2
triple_line_cavalry	UI/Battle UI/formation_icons/cavalry_front_3_line.png	false	false	12
triple_line_melee	UI/Battle UI/formation_icons/foot_front_3_line.png	false	false	6
triple_line_missile	UI/Battle UI/formation_icons/misslie_front_3_line.png	false	false	9
triplex_acies	UI/Battle UI/formation_icons/triplex_acies.png	true	false	2
wedge	UI/Battle UI/formation_icons/wedge.png	true	true	5
wheel	UI/Battle UI/formation_icons/wheel.png	true	false	1
wolf	UI/Battle UI/formation_icons/wolf.png	true	false	2
zama	UI/Battle UI/formation_icons/zama.png	true	false	3
