formation	sub_culture
#formations_to_subcultures_tables;0;db/formations_to_subcultures_tables/formations_to_subcultures	
armenian	sc_rom_eastern
bear	sc_rom_germanic
bird	sc_rom_celtiberian
bird	sc_rom_celtic
bird	sc_rom_daco_thracian
bird	sc_rom_gaul
bird	sc_rom_iapygian
bird	sc_rom_illyrian
bird	sc_rom_nuragic
boar	sc_rom_celtiberian
boar	sc_rom_celtic
boar	sc_rom_daco_thracian
boar	sc_rom_gaul
boar	sc_rom_iapygian
boar	sc_rom_illyrian
boar	sc_rom_nuragic
cannae	sc_rom_african_arabian
cannae	sc_rom_carthaginian
cannae	sc_rom_numidian
caucasian	sc_rom_eastern
centre	sc_rom_barb_east
centre	sc_rom_parthian
crescent	sc_rom_african_arabian
crescent	sc_rom_eastern
crescent	sc_rom_numidian
crescent	sc_rom_parthian
deer	sc_rom_germanic
diekplous	sc_rom_carthaginian
diekplous	sc_rom_egyptian
diekplous	sc_rom_greek
diekplous	sc_rom_pontic
double_acies	sc_rom_etruscan
double_acies	sc_rom_italic
double_acies	sc_rom_roman
flank	sc_rom_barb_east
flank	sc_rom_parthian
horse	sc_rom_celtiberian
horse	sc_rom_celtic
horse	sc_rom_daco_thracian
horse	sc_rom_gaul
horse	sc_rom_iapygian
horse	sc_rom_illyrian
horse	sc_rom_nuragic
issus	sc_rom_egyptian
issus	sc_rom_greek
issus	sc_rom_pontic
magnesia	sc_rom_egyptian
magnesia	sc_rom_greek
magnesia	sc_rom_pontic
mel_double_line	sc_rom_barb_east
mel_double_line	sc_rom_british
mel_double_line	sc_rom_celtiberian
mel_double_line	sc_rom_celtic
mel_double_line	sc_rom_daco_thracian
mel_double_line	sc_rom_gaul
mel_double_line	sc_rom_germanic
mel_double_line	sc_rom_iapygian
mel_double_line	sc_rom_illyrian
mel_double_line	sc_rom_nuragic
mel_light_centre	sc_rom_african_arabian
mel_light_centre	sc_rom_carthaginian
mel_light_centre	sc_rom_eastern
mel_light_centre	sc_rom_egyptian
mel_light_centre	sc_rom_etruscan
mel_light_centre	sc_rom_greek
mel_light_centre	sc_rom_italic
mel_light_centre	sc_rom_numidian
mel_light_centre	sc_rom_parthian
mel_light_centre	sc_rom_pontic
mel_light_centre	sc_rom_roman
mis_double_line	sc_rom_barb_east
mis_double_line	sc_rom_british
mis_double_line	sc_rom_celtiberian
mis_double_line	sc_rom_celtic
mis_double_line	sc_rom_daco_thracian
mis_double_line	sc_rom_gaul
mis_double_line	sc_rom_germanic
mis_double_line	sc_rom_iapygian
mis_double_line	sc_rom_illyrian
mis_double_line	sc_rom_nuragic
mis_heavy_centre	sc_rom_african_arabian
mis_heavy_centre	sc_rom_carthaginian
mis_heavy_centre	sc_rom_eastern
mis_heavy_centre	sc_rom_egyptian
mis_heavy_centre	sc_rom_etruscan
mis_heavy_centre	sc_rom_greek
mis_heavy_centre	sc_rom_italic
mis_heavy_centre	sc_rom_numidian
mis_heavy_centre	sc_rom_parthian
mis_heavy_centre	sc_rom_pontic
mis_heavy_centre	sc_rom_roman
mis_light_centre	sc_rom_african_arabian
mis_light_centre	sc_rom_carthaginian
mis_light_centre	sc_rom_eastern
mis_light_centre	sc_rom_egyptian
mis_light_centre	sc_rom_etruscan
mis_light_centre	sc_rom_greek
mis_light_centre	sc_rom_italic
mis_light_centre	sc_rom_numidian
mis_light_centre	sc_rom_parthian
mis_light_centre	sc_rom_pontic
mis_light_centre	sc_rom_roman
persian	sc_rom_eastern
raphia	sc_rom_egyptian
raphia	sc_rom_greek
raphia	sc_rom_pontic
simplex_acies	sc_rom_etruscan
simplex_acies	sc_rom_italic
simplex_acies	sc_rom_roman
skirmish	sc_rom_barb_east
skirmish	sc_rom_parthian
spear_point	sc_rom_british
spear	sc_rom_etruscan
spear	sc_rom_italic
spear	sc_rom_roman
torc	sc_rom_british
trebia	sc_rom_african_arabian
trebia	sc_rom_carthaginian
trebia	sc_rom_numidian
triplex_acies	sc_rom_etruscan
triplex_acies	sc_rom_italic
triplex_acies	sc_rom_roman
wedge	sc_rom_african_arabian
wedge	sc_rom_barb_east
wedge	sc_rom_british
wedge	sc_rom_carthaginian
wedge	sc_rom_celtiberian
wedge	sc_rom_celtic
wedge	sc_rom_daco_thracian
wedge	sc_rom_eastern
wedge	sc_rom_egyptian
wedge	sc_rom_gaul
wedge	sc_rom_germanic
wedge	sc_rom_greek
wedge	sc_rom_iapygian
wedge	sc_rom_illyrian
wedge	sc_rom_numidian
wedge	sc_rom_nuragic
wedge	sc_rom_parthian
wedge	sc_rom_pontic
wheel	sc_rom_british
wolf	sc_rom_germanic
zama	sc_rom_african_arabian
zama	sc_rom_carthaginian
zama	sc_rom_numidian
