character	trait
#historical_character_traits_tables;0;db/historical_character_traits_tables/historical_character_traits	
100	r2_sp_trait_all_background_command_1
100	r2_sp_trait_all_background_philosopher_1
100	r2_sp_trait_roman_good_roman_1
2000	inv_general_athens_1
2001	inv_general_sparta_1
2002	inv_general_corinth_1
201	games_olympic_victor_1
201	r2_sp_trait_roman_virtues_personal_fortitude_1
202	games_olympic_victor_1
202	r2_sp_trait_all_fervour_2
203	games_olympic_victor_1
203	r2_sp_trait_all_battle_scarred_1
204	games_olympic_victor_1
204	r2_sp_trait_civilised_politician_1
205	games_olympic_victor_1
205	r2_sp_trait_all_background_beautiful_1
206	games_olympic_victor_1
206	r2_sp_trait_all_healthy_2
207	games_olympic_victor_1
207	r2_sp_trait_non_roman_background_fighter_1
208	games_olympic_victor_1
208	r2_sp_trait_all_honest_2
209	games_olympic_victor_1
209	r2_sp_trait_all_personal_bravery_2
301	games_pythian_victor_1
301	r2_sp_trait_civilized_religious_1
302	games_pythian_victor_1
302	r2_sp_trait_non_roman_background_wealthy_1
303	games_pythian_victor_1
303	r2_sp_trait_all_tactician_1
304	games_pythian_victor_1
304	r2_sp_trait_all_strategist_1
305	games_pythian_victor_1
305	r2_sp_trait_all_personal_bravery_1
306	games_pythian_victor_1
306	r2_sp_trait_all_energetic_2
307	games_pythian_victor_1
307	r2_sp_trait_all_healthy_2
308	games_pythian_victor_1
308	r2_sp_trait_civilised_politician_1
401	games_nemean_victor_1
401	r2_sp_trait_all_honest_1
402	games_nemean_victor_1
402	r2_sp_trait_all_kind_1
403	games_nemean_victor_1
403	r2_sp_trait_all_leader_architect_1
404	games_nemean_victor_1
404	r2_sp_trait_all_leader_farmer_1
405	games_nemean_victor_1
405	r2_sp_trait_non_roman_background_wealthy_1
406	games_nemean_victor_1
406	r2_sp_trait_civilized_religious_1
407	games_nemean_victor_1
407	r2_sp_trait_all_honest_2
408	games_nemean_victor_1
408	r2_sp_trait_all_healthy_2
409	games_nemean_victor_1
409	r2_sp_trait_civilised_politician_1
410	games_nemean_victor_1
410	r2_sp_trait_all_energetic_2
411	games_nemean_victor_1
411	r2_sp_trait_all_tactician_1
412	games_nemean_victor_1
412	r2_sp_trait_civilized_drink_1
413	games_nemean_victor_1
413	r2_sp_trait_all_admin_good_2
414	games_nemean_victor_1
414	r2_sp_trait_all_battle_scarred_1
415	games_nemean_victor_1
415	r2_sp_trait_all_kind_1
416	games_nemean_victor_1
416	r2_sp_trait_all_personal_bravery_1
501	games_isthmian_victor_1
501	r2_sp_trait_all_healthy_2
502	games_isthmian_victor_1
502	r2_sp_trait_all_energetic_2
503	games_isthmian_victor_1
503	r2_sp_trait_all_kind_1
504	games_isthmian_victor_1
504	r2_sp_trait_all_admin_good_2
505	games_isthmian_victor_1
505	r2_sp_trait_all_background_beautiful_1
506	games_isthmian_victor_1
506	r2_sp_trait_non_roman_background_fighter_1
507	games_isthmian_victor_1
507	r2_sp_trait_all_personal_bravery_2
508	games_isthmian_victor_1
508	r2_sp_trait_all_tactician_1
509	games_isthmian_victor_1
509	r2_sp_trait_all_leader_trader_1
510	games_isthmian_victor_1
510	r2_sp_trait_all_leader_farmer_1
511	games_isthmian_victor_1
511	r2_sp_trait_all_leader_spender_2
512	games_isthmian_victor_1
512	r2_sp_trait_all_personal_bravery_1
513	games_isthmian_victor_1
513	r2_sp_trait_all_healthy_2
514	games_isthmian_victor_1
514	r2_sp_trait_non_roman_background_wealthy_1
515	games_isthmian_victor_1
515	r2_sp_trait_civilized_religious_1
516	games_isthmian_victor_1
516	r2_sp_trait_all_honest_2
601	pel_alkibiades_1
610	pel_lysander_1
666	3c_event_vaballathus_authority_1
667	3c_event_vaballathus_subterfuge_1
668	3c_event_vaballathus_zeal_1
669	3c_event_vaballathus_balanced_1
700	r2_sp_trait_female_agriculture_1
701	r2_sp_trait_female_agriculture_1
702	r2_sp_trait_female_agriculture_1
703	r2_sp_trait_female_agriculture_1
704	r2_sp_trait_female_agriculture_1
705	r2_sp_trait_female_cavalry_1
706	r2_sp_trait_female_cavalry_1
707	r2_sp_trait_female_cavalry_1
708	r2_sp_trait_female_daughter_1
709	r2_sp_trait_female_daughter_1
710	r2_sp_trait_female_daughter_1
711	r2_sp_trait_female_daughter_1
712	r2_sp_trait_female_daughter_1
713	r2_sp_trait_female_diplomat_1
714	r2_sp_trait_female_diplomat_1
715	r2_sp_trait_female_diplomat_1
716	r2_sp_trait_female_diplomat_1
717	r2_sp_trait_female_diplomat_1
718	r2_sp_trait_female_fleet_1
719	r2_sp_trait_female_fleet_1
720	r2_sp_trait_female_fleet_1
721	r2_sp_trait_female_scholar_1
722	r2_sp_trait_female_scholar_1
723	r2_sp_trait_female_scholar_1
724	r2_sp_trait_female_scholar_1
725	r2_sp_trait_female_scholar_1
726	r2_sp_trait_female_trader_1
727	r2_sp_trait_female_trader_1
728	r2_sp_trait_female_trader_1
