key	generate	ui_icon	ui_image	prioritised
#incidents_tables;3;db/incidents_tables/incidents				
3c_Faction_Leader_Aurelian_1_i_A	false	rom_event_document.png	3c_rom_aurelian.png	true
3c_Faction_Leader_Aurelian_1_i_B	false	rom_event_document.png	3c_rom_aurelian.png	true
3c_Faction_Leader_Aurelian_1_i_C	false	rom_event_document.png	3c_rom_aurelian.png	true
3c_Faction_Leader_Aurelian_1_i_D	false	rom_event_document.png	3c_rom_aurelian.png	true
3c_Faction_Leader_Aurelian_2_i_A	false	rom_event_document.png	3c_rom_aurelian.png	true
3c_Faction_Leader_Aurelian_2_i_B	false	rom_event_document.png	3c_rom_aurelian.png	true
3c_Faction_Leader_Aurelian_2_i_C	false	rom_event_document.png	3c_rom_aurelian.png	true
3c_Faction_Leader_Aurelian_2_i_D	false	rom_event_document.png	3c_rom_aurelian.png	true
3c_Faction_Leader_Aurelian_3_i_A	false	rom_event_document.png	3c_rom_aurelian.png	true
3c_Faction_Leader_Aurelian_3_i_B	false	rom_event_document.png	3c_rom_aurelian.png	true
3c_Faction_Leader_Aurelian_3_i_C	false	rom_event_document.png	3c_rom_aurelian.png	true
3c_Faction_Leader_Aurelian_3_i_D	false	rom_event_document.png	3c_rom_aurelian.png	true
3c_Faction_Leader_Aurelian_4_i_A	false	rom_event_document.png	3c_rom_aurelian.png	true
3c_Faction_Leader_Aurelian_4_i_B	false	rom_event_document.png	3c_rom_aurelian.png	true
3c_Faction_Leader_Aurelian_4_i_C	false	rom_event_document.png	3c_rom_aurelian.png	true
3c_Faction_Leader_Aurelian_4_i_D	false	rom_event_document.png	3c_rom_aurelian.png	true
3c_Faction_Leader_Aurelian_intro	true	rom_event_document.png	rom_army_up.png	true
3c_Faction_Leader_Aurelian_outro	true	rom_event_document.png	rom_land_victory.png	true
3c_Faction_Leader_Cannabaudes_1_i_A	false	rom_event_document.png	3c_barb_cannabaudes.png	true
3c_Faction_Leader_Cannabaudes_1_i_B	false	rom_event_document.png	3c_barb_cannabaudes.png	true
3c_Faction_Leader_Cannabaudes_1_i_C	false	rom_event_document.png	3c_barb_cannabaudes.png	true
3c_Faction_Leader_Cannabaudes_1_i_D	false	rom_event_document.png	3c_barb_cannabaudes.png	true
3c_Faction_Leader_Cannabaudes_2_i_A	false	rom_event_document.png	3c_barb_cannabaudes.png	true
3c_Faction_Leader_Cannabaudes_2_i_B	false	rom_event_document.png	3c_barb_cannabaudes.png	true
3c_Faction_Leader_Cannabaudes_2_i_C	false	rom_event_document.png	3c_barb_cannabaudes.png	true
