key	officer_1	officer_2	standard_bearer_1	standard_bearer_2	musician_1	musician_2	personality_location
#land_units_officers_tables;2;db/land_units_officers_tables/land_units_officers							
3c_Ala_Officer_Cav	3c_Ala_Officer_Cav						front
3c_Ala_Officer_Cav_Axe	3c_Ala_Officer_Cav_Axe						front
3c_Ala_Officer_Female	3c_Ala_Officer_Female						front
3c_Ala_Officer_Inf	3c_Ala_Officer_Inf		3c_Ala_Standard_Bearer				front
3c_Ala_Officer_Lance	3c_Ala_Officer_Lance						front
3c_Ala_Officer_Low_Tier	3c_Ala_Officer_Low_Tier		3c_Ala_Standard_Bearer				front
3c_Ala_Officer_Low_Tier_NoStandard	3c_Ala_Officer_Low_Tier						front
3c_Ara_Officer_Cavalry	3c_Ara_Officer_Cavalry						front
3c_Ara_Officer_Cavalry_Camel	3c_Ara_Officer_Cavalry_Camel						front
3c_Ara_Officer_Infantry	3c_Ara_Officer_Infantry						front
3c_Arm_Officer_Archer	3c_Arm_Officer_Archer						front
3c_Arm_Officer_Archer_Armoured	3c_Sas_Officer_Archer_Armoured		3c_Arm_Standard_Bearer				front
3c_Arm_Officer_Archer_Standard	3c_Arm_Officer_Archer		3c_Arm_Standard_Bearer_Cloak				front
3c_Arm_Officer_Cavalry	3c_Arm_Officer_Cavalry						front
3c_Arm_Officer_Elephants	3c_Arm_Officer_Elephants						front
3c_Arm_Officer_Infantry	3c_Arm_Officer_Infantry		3c_Arm_Standard_Bearer				front
3c_Arm_Officer_Lance	3c_Arm_Officer_Lance						front
3c_Arm_Officer_Low_Tier	3c_Arm_Officer_Low_Tier		3c_Arm_Standard_Bearer_Cloak				front
3c_Arm_Officer_Low_Tier_NoStandard	3c_Arm_Officer_Low_Tier						front
3c_Arm_Officer_Pike	3c_Arm_Officer_Pike						back
3c_Aux_Officer_Cavalry	3c_Aux_Officer_Cavalry						front
3c_Aux_Officer_Eastern	3c_Aux_Officer_Eastern						front
3c_Aux_Officer_Eastern_Cav	3c_Aux_Officer_Eastern_Cav						front
3c_Aux_Officer_Egyptian_Pike	3c_Aux_Officer_Egyptian_Pike						front
3c_Aux_Officer_Infantry	3c_Aux_Officer_Infantry		3c_Rom_Standard_Bearer				front
3c_Aux_Officer_Infantry_NoStandard	3c_Aux_Officer_Infantry						front
3c_Aux_Officer_Pike	3c_Aux_Officer_Pike						back
3c_Cal_Officer_Cavalry	3c_Cal_Officer_Cavalry						front
3c_Cal_Officer_Chariot	3c_Cal_Officer_Chariot						front
3c_Cal_Officer_Infantry	3c_Cal_Officer_Infantry		3c_Cal_Standard_Bearer				front
3c_Cal_Officer_Infantry_NoStandard	3c_Cal_Officer_LowTier						front
