ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/land_units_to_unit_abilites_junctions	
cantabrian_circle	3c_Ala_Alani_Amazonian_Archers
quick_reload	3c_Ala_Alani_Amazonian_Archers
frenzied_charge	3c_Ala_Alani_Axe_Cavalry
cantabrian_circle	3c_Ala_Alani_Horse_Skirmishers
draco	3c_Ala_Alani_Horsemen
draco	3c_Ala_Alani_Nobles
form_wedge	3c_Ala_Alani_Nobles
cantabrian_circle	3c_Ala_Alani_Noblewomen_Archers
quick_reload	3c_Ala_Alani_Noblewomen_Archers
draco	3c_Ala_Alani_Riders
draco	3c_Ala_Alani_Royal_Horses
trample	3c_Ala_Alani_Royal_Horses
draco	3c_Ala_Armoured_Steppe_Lancers
trample	3c_Ala_Noble_Steppe_Cataphracts_comm
trample	3c_Ala_Noble_Steppe_Cataphracts
draco	3c_Ala_Noble_Steppe_Lancers
cantabrian_circle	3c_Ala_Steppe_Cataphract_Archers
draco	3c_Ala_Steppe_Cavalry
cantabrian_circle	3c_Ala_Steppe_Horse_Archers
cantabrian_circle	3c_Ala_Steppe_Horse_Skirmishers
form_pike_wall	3c_Arm_Armenian_Pikemen
quick_reload	3c_Arm_Armenian_Slingers
cavalry_counter_tactics	3c_Arm_Armenian_Spearmen
form_pike_square	3c_Arm_Armenian_Spearmen
form_pike_wall	3c_Arm_Armoured_Armenian_Pikemen
cavalry_counter_tactics	3c_Arm_Azat_Guard
form_shield_screen	3c_Arm_Azat_Guard
form_diamond	3c_Arm_Azat_Knights_comm
form_diamond	3c_Arm_Azat_Knights
quick_reload	3c_Arm_Noble_Armenian_Archers
form_diamond	3c_Arm_Noble_Armenian_Cavalry
form_diamond	3c_Arm_Noble_Cataphracts
trample	3c_Arm_Noble_Cataphracts
kill_elephants	3c_Aux_African_Elephants
stampede	3c_Aux_African_Elephants
form_pike_wall	3c_Aux_Armoured_Pikemen
frenzied_charge	3c_Aux_Celtic_Horsemen
frenzied_charge_inf	3c_Aux_Celtic_Spearmen
form_pike_wall	3c_Aux_Eastern_Pikemen
form_pike_wall	3c_Aux_Egyptian_Pikemen
form_shield_screen	3c_Aux_Germanic_Spear_Masters
form_wedge	3c_Aux_Germanic_Spear_Masters
frenzied_charge_inf	3c_Aux_Germanic_Spear_Masters
form_pike_wall	3c_Aux_Illyrian_Armoured_Pikemen
quick_reload	3c_Aux_Illyrian_Slingers
kill_elephants	3c_Aux_Indian_War_Elephants
stampede	3c_Aux_Indian_War_Elephants
draco	3c_Aux_Sarmatian_Light_Cavalry
frenzied_charge	3c_Aux_Sarmatian_Light_Cavalry
draco	3c_Aux_Steppe_Cavalry
form_wedge	3c_Cal_Caledonian_Heroic_Riders_comm
frenzied_charge	3c_Cal_Caledonian_Heroic_Riders_comm
form_wedge	3c_Cal_Caledonian_Heroic_Riders
frenzied_charge	3c_Cal_Caledonian_Heroic_Riders
form_pike_square	3c_Cal_Caledonian_Spear_Wall
form_shield_wall	3c_Cal_Caledonian_Spear_Wall
quick_reload	3c_Cal_Elite_Highland_Archers
frenzied_charge	3c_Cel_Celtic_Horsemen
frenzied_charge	3c_Cel_Celtic_Nobles
frenzied_charge_inf	3c_Cel_Celtic_Spearmen
form_diamond	3c_Eas_Eastern_Cataphracts
trample	3c_Eas_Eastern_Cataphracts
form_pike_wall	3c_Eas_Eastern_Pikemen
form_hoplite_phalanx	3c_Eas_Noble_Spearmen
frenzied_charge_inf	3c_Eas_Noble_Spearmen
form_testudo	3c_Gal_Cohors
quick_reload	3c_Gal_Gallic_Heavy_Skirmishers
form_shield_screen	3c_Gal_Gallic_Imperial_Guard_comm
form_testudo	3c_Gal_Gallic_Imperial_Guard_comm
rapid_advance	3c_Gal_Gallic_Imperial_Guard_comm
form_shield_screen	3c_Gal_Gallic_Imperial_Guard
form_testudo	3c_Gal_Gallic_Imperial_Guard
rapid_advance	3c_Gal_Gallic_Imperial_Guard
form_testudo	3c_Gal_Gallic_Legionaries
form_cavalry_testudo	3c_Gal_Gallic_Legionary_Cavalry
frenzied_charge	3c_Gal_Gallic_Legionary_Cavalry
rapid_advance	3c_Gal_Gallic_Warriors
form_shield_screen	3c_Gal_Heavy_Gallic_Spearmen
frenzied_charge_inf	3c_Gal_Heavy_Gallic_Spearmen
form_testudo	3c_Gal_Longsword_Cohort
cavalry_counter_tactics	3c_Gal_Spear_Warriors
form_testudo	3c_Gal_Veteran_Gallic_Legionaries
frenzied_charge	3c_Ger_Germanic_Mounted_Warband
form_pike_wall	3c_Ger_Germanic_Pikes
form_shield_screen	3c_Ger_Germanic_Spear_Masters
form_wedge	3c_Ger_Germanic_Spear_Masters
frenzied_charge_inf	3c_Ger_Germanic_Spear_Masters
quick_reload	3c_Goth_Elite_Gothic_Archers
quick_reload	3c_Goth_Gothic_Brigands
frenzied_charge	3c_Goth_Gothic_Lancers
form_pike_wall	3c_Goth_Gothic_Pikemen
cavalry_counter_tactics	3c_Goth_Gothic_Spearwomen
frenzied_charge_inf	3c_Goth_Gothic_Spearwomen
cavalry_counter_tactics	3c_Goth_Greuthungi_Elite_Spears
form_shield_wall	3c_Goth_Greuthungi_Elite_Spears
frenzied_charge	3c_Goth_Greuthungi_Lancers
trample	3c_Goth_Greuthungi_Lancers
form_wedge	3c_Goth_Greuthungi_Noble_Cavalry
quick_reload	3c_Marc_Horse_Runners
cavalry_counter_tactics	3c_Marc_Night_Hunters
form_wedge	3c_Marc_Night_Hunters
frenzied_charge_inf	3c_Marc_Night_Hunters
cavalry_counter_tactics	3c_Marc_Wodanaz_Spears
form_shield_screen	3c_Marc_Wodanaz_Spears
form_wedge	3c_Marc_Wodanaz_Spears
kill_elephants	3c_Mer_African_Elephants
stampede	3c_Mer_African_Elephants
frenzied_charge	3c_Mer_Celtic_Horsemen
form_diamond	3c_Mer_Eastern_Cataphracts
trample	3c_Mer_Eastern_Cataphracts
form_pike_wall	3c_Mer_Eastern_Pikemen
form_pike_wall	3c_Mer_Egyptian_Pikemen
form_pike_wall	3c_Mer_Illyrian_Armoured_Pikemen
kill_elephants	3c_Mer_Indian_War_Elephants
stampede	3c_Mer_Indian_War_Elephants
draco	3c_Mer_Sarmatian_Light_Cavalry
frenzied_charge	3c_Mer_Sarmatian_Light_Cavalry
draco	3c_Mer_Steppe_Cavalry
kill_elephants	3c_Mer_Syrian_Armoured_Elephants
stampede	3c_Mer_Syrian_Armoured_Elephants
form_pike_wall	3c_Pal_Armoured_Pikemen
form_shield_wall	3c_Pal_Armoured_Swordsmen
quick_reload	3c_Pal_Hamian_Archers
form_diamond	3c_Pal_Imperial_Palmyrene_Cataphracts_comm
trample	3c_Pal_Imperial_Palmyrene_Cataphracts_comm
form_diamond	3c_Pal_Imperial_Palmyrene_Cataphracts
trample	3c_Pal_Imperial_Palmyrene_Cataphracts
form_pike_wall	3c_Pal_Imperial_Pikemen
form_diamond	3c_Pal_Palmyrene_Cataphracts
trample	3c_Pal_Palmyrene_Cataphracts
form_testudo_defensive	3c_Pal_Palmyrene_Cohors
form_testudo_defensive	3c_Pal_Palmyrene_Legionaries
form_cavalry_testudo	3c_Pal_Palmyrene_Legionary_Cavalry
form_diamond	3c_Pal_Palmyrene_Legionary_Cavalry
form_pike_square	3c_Pal_Palmyrene_Palace_Guard
form_testudo_defensive	3c_Pal_Palmyrene_Palace_Guard
form_hoplite_phalanx	3c_Pal_Palmyrene_Spearmen
form_pike_square	3c_Pal_Palmyrene_Spearmen
form_pike_square	3c_Pal_Veteran_Palmyrene_Legionaries
form_testudo_defensive	3c_Pal_Veteran_Palmyrene_Legionaries
form_testudo	3c_Rom_Cohors
form_flying_wedge	3c_Rom_Equites_Catafractarii_comm
trample	3c_Rom_Equites_Catafractarii_comm
form_flying_wedge	3c_Rom_Equites_Catafractarii
trample	3c_Rom_Equites_Catafractarii
form_flying_wedge	3c_Rom_Equites_Dalmatarum
form_flying_wedge	3c_Rom_Equites_Promoti
form_cavalry_testudo	3c_Rom_Equites_Scutarii
form_flying_wedge	3c_Rom_Equites_Scutarii
form_cavalry_testudo	3c_Rom_Equites
form_flying_wedge	3c_Rom_Equites
form_testudo	3c_Rom_Evocati_Cohort
steady_retreat	3c_Rom_Evocati_Cohort
frenzy	3c_Rom_Gladiators
killing_spree	3c_Rom_Gladiators
form_testudo	3c_Rom_Herculianii
rapid_advance	3c_Rom_Herculianii
form_shield_screen	3c_Rom_Jovianii
form_testudo	3c_Rom_Jovianii
form_pike_wall	3c_Rom_Pikemen
form_cavalry_testudo	3c_Rom_Praetorian_Cavalry
form_flying_wedge	3c_Rom_Praetorian_Cavalry
form_testudo	3c_Rom_Praetorian_Guard
use_the_whip	3c_Rom_Praetorian_Guard
form_testudo	3c_Rom_Roman_Legionaries
form_cavalry_testudo	3c_Rom_Roman_Legionary_Cavalry
form_flying_wedge	3c_Rom_Roman_Legionary_Cavalry
frenzied_charge	3c_Rom_Spear_Gladiators
killing_spree	3c_Rom_Spear_Gladiators
rapid_advance	3c_Rom_Spear_Gladiators
form_pike_square	3c_Rom_Vigiles
kill_elephants	3c_Sas_Armoured_Indian_War_Elephants
stampede	3c_Sas_Armoured_Indian_War_Elephants
form_diamond	3c_Sas_Camel_Cataphracts
trample	3c_Sas_Camel_Cataphracts
form_diamond	3c_Sas_Elite_Savaran_Cavalry
form_diamond	3c_Sas_Grivpanvar_Cataphracts
form_diamond	3c_Sas_Gyan_Avspar
trample	3c_Sas_Gyan_Avspar
form_hoplite_phalanx	3c_Sas_Immortal_Spear_Guard
form_pike_square	3c_Sas_Immortal_Spear_Guard
use_the_whip	3c_Sas_Immortal_Spear_Guard
form_hoplite_phalanx	3c_Sas_Immortal_Spears
use_the_whip	3c_Sas_Immortal_Spears
kill_elephants	3c_Sas_Indian_War_Elephants
stampede	3c_Sas_Indian_War_Elephants
trample	3c_Sas_Pushtighban_Cataphracts
quick_reload	3c_Sas_Royal_Archers
form_diamond	3c_Sas_Zhayedan_Immortals
steady_retreat	3c_Sas_Zhayedan_Immortals
form_shield_screen	3c_Sax_Duguth_Spearmen
quick_reload	3c_Sax_Elite_Saxon_Javelinmen
form_pike_square	3c_Sax_Gedriht_Spearmen
form_shield_screen	3c_Sax_Gedriht_Spearmen
form_shield_screen	3c_Sax_Gedriht_Swordsmen
frenzied_charge_inf	3c_Sax_Gedriht_Swordsmen
frenzied_charge_inf	3c_Sax_Geoguth_Spearmen
frenzied_charge_inf	3c_Sax_Geoguth_Warriors
form_wedge	3c_Sax_Noble_Saxon_Cavalry
frenzied_charge	3c_Sax_Noble_Saxon_Cavalry
frenzied_charge	3c_Sax_Saxon_Mounted_Warband
draco	3c_Ste_Sarmatian_Light_Cavalry
frenzied_charge	3c_Ste_Sarmatian_Light_Cavalry
draco	3c_Ste_Steppe_Cavalry
draco	3c_Ste_Steppe_Nobles
form_diamond	Aet_Cav
kill_elephants	Afr_Elephants
stampede	Afr_Elephants
form_pike_square	Afr_Large_Shield_Warriors
form_pike_square	Afr_Levy_Spear
quick_reload	Afr_Numidian_Cav
cantabrian_circle	Afr_Numidian_Noble_Cav
