key	chance_to_replenish	max_count	max_replenish_per_turn	unit_record
#mercenary_unit_groups_tables;0;db/mercenary_unit_groups_tables/mercenary_unit_groups				
3c_merc_province_aegyptos_grp_0	0.1500	3	1	3c_Mer_Egyptian_Infantry
3c_merc_province_aegyptos_grp_1	0.1500	4	1	3c_Mer_Egyptian_Archers
3c_merc_province_aegyptos_grp_2	0.1500	2	1	3c_Mer_Egyptian_Pikemen
3c_merc_province_aethiopia_grp_0	0.1500	3	1	3c_Mer_Sabean_Spearmen
3c_merc_province_aethiopia_grp_1	0.1500	3	1	3c_Mer_Sabean_Archers
3c_merc_province_aethiopia_grp_2	0.1500	2	1	3c_Mer_Sabean_Cavalry
3c_merc_province_aethiopia_grp_3	0.5000	1	1	3c_Mer_African_Elephants
3c_merc_province_africa_grp_0	0.7500	2	1	3c_Mer_Numidian_Cavalry
3c_merc_province_africa_grp_1	0.1500	4	1	3c_Mer_Numidian_Javelinmen
3c_merc_province_africa_grp_2	0.1500	3	1	3c_Mer_Numidian_Infantry
3c_merc_province_africa_grp_3	0.5000	1	1	3c_Mer_African_Elephants
3c_merc_province_arabia_grp_0	0.7500	2	1	3c_Mer_Camel_Spearmen
3c_merc_province_arabia_grp_1	0.7500	2	1	3c_Mer_Camel_Archers
3c_merc_province_arabia_grp_2	0.1500	4	1	3c_Mer_Sabean_Javelinmen
3c_merc_province_arabia_grp_3	0.1500	3	1	3c_Mer_Arabian_Spearmen
3c_merc_province_aria_and_gedrosia_grp_0	0.1500	3	1	3c_Mer_Persian_Light_Infantry
3c_merc_province_aria_and_gedrosia_grp_1	0.1500	4	1	3c_Mer_Persian_Archers
3c_merc_province_aria_and_gedrosia_grp_2	0.7500	1	1	3c_Mer_Indian_War_Elephants
3c_merc_province_armenia_grp_0	0.1500	2	1	3c_Mer_Eastern_Pikemen
3c_merc_province_armenia_grp_1	0.1500	2	1	3c_Mer_Horse_Skirmishers
3c_merc_province_armenia_grp_2	0.1500	3	1	3c_Mer_Hillmen
3c_merc_province_armenia_grp_3	0.5000	1	1	3c_Mer_Eastern_Cataphracts
3c_merc_province_asia_grp_0	0.1500	4	1	3c_Mer_Peltasts
3c_merc_province_asia_grp_1	0.5000	2	1	3c_Mer_Rhodian_Slingers
3c_merc_province_asia_grp_2	0.1500	3	1	3c_Mer_Spear_Infantry
3c_merc_province_asia_grp_3	0.1500	3	1	3c_Mer_Swordsmen
3c_merc_province_britannia_grp_0	0.1500	2	1	3c_Mer_Painted_Warriors
3c_merc_province_britannia_grp_1	0.1500	3	1	3c_Mer_Celtic_Skirmishers
3c_merc_province_britannia_grp_2	0.1500	2	1	3c_Mer_Celtic_Horsemen
3c_merc_province_britannia_grp_3	0.5000	2	1	3c_Mer_Highland_Archers
3c_merc_province_galatia_grp_0	0.7500	1	1	3c_Mer_Cappadocian_Cavalry
3c_merc_province_galatia_grp_1	0.1500	3	1	3c_Mer_Horse_Skirmishers
3c_merc_province_galatia_grp_2	0.1500	4	1	3c_Mer_Hillmen
3c_merc_province_galia_grp_0	0.1500	4	1	3c_Mer_Gallic_Swordsmen
3c_merc_province_galia_grp_1	0.1500	3	1	3c_Mer_Gallic_Bowmen
3c_merc_province_galia_grp_2	0.1500	2	1	3c_Mer_Armoured_Gallic_Spearmen
3c_merc_province_galia_grp_3	0.1500	1	1	3c_Mer_Gallic_Heavy_Infantry
3c_merc_province_germanic_grp_0	0.1500	3	1	3c_Mer_Germanic_Band
3c_merc_province_germanic_grp_1	0.1500	4	1	3c_Mer_Germanic_Hunters
3c_merc_province_germanic_grp_2	0.1500	1	1	3c_Mer_Germanic_Mounted_Warband
3c_merc_province_germanic_grp_3	0.5000	1	1	3c_Mer_Armoured_Germanic_Swordsmen
3c_merc_province_hellas_grp_0	0.1500	4	1	3c_Mer_Peltasts
3c_merc_province_hellas_grp_1	0.5000	2	1	3c_Mer_Cretan_Archers
3c_merc_province_hellas_grp_2	0.1500	3	1	3c_Mer_Spear_Infantry
3c_merc_province_hellas_grp_3	0.1500	3	1	3c_Mer_Swordsmen
3c_merc_province_hispania_grp_0	0.1500	3	1	3c_Mer_Iberian_Swordsmen
3c_merc_province_hispania_grp_1	0.1500	4	1	3c_Mer_Iberian_Slingers
3c_merc_province_hispania_grp_2	0.7500	2	1	3c_Mer_Balearic_Slingers
3c_merc_province_hispania_grp_3	0.1500	2	1	3c_Mer_Scutarii_Cavalry
3c_merc_province_illyria_grp_0	0.1500	4	1	3c_Mer_Illyrian_Raiders
3c_merc_province_illyria_grp_1	0.1500	3	1	3c_Mer_Illyrian_Archers
3c_merc_province_illyria_grp_2	0.1500	2	1	3c_Mer_Illyrian_Armoured_Pikemen
3c_merc_province_italia_grp_0	0.5000	1	1	3c_Mer_Gladiators
3c_merc_province_italia_grp_1	0.1500	3	1	3c_Mer_Light_Roman_Skirmishers
3c_merc_province_italia_grp_2	0.1500	2	1	3c_Mer_Lanciarii
3c_merc_province_italia_grp_3	0.1500	4	1	3c_Mer_Slingers
3c_merc_province_libya_grp_0	0.1500	3	1	3c_Mer_Egyptian_Infantry
3c_merc_province_libya_grp_1	0.1500	4	1	3c_Mer_Egyptian_Archers
3c_merc_province_libya_grp_2	0.1500	1	1	3c_Mer_African_Elephants
3c_merc_province_naval_aegyptos_grp_0	0.1500	1	1	3c_Mer_Egy_Missile_Trireme
3c_merc_province_naval_aegyptos_grp_1	0.1500	1	1	3c_Mer_Egy_Assault_Bireme
3c_merc_province_naval_aethiopia_grp_0	0.1500	1	1	3c_Mer_Sab_Missile_Trireme
