event	optional_campaign_key	culture	optional_subculture	text	image	icon	sound_event
#message_event_strings_tables;3;db/message_event_strings_tables/message_event_strings							
3c_intro_mechanics		rom_Barbarian		3c_intro_mechanics	3c_squalor_incident.png	rom_event_message.png	campaign_ui_message_neutral
3c_intro_mechanics		rom_Eastern		3c_intro_mechanics	3c_squalor_incident.png	rom_event_message.png	campaign_ui_message_neutral
3c_intro_mechanics		rom_Roman		3c_intro_mechanics	3c_squalor_incident.png	rom_event_message.png	campaign_ui_message_neutral
FT_birth		rom_Barbarian		rom_family_tree_baby_born	barb_FT_birth.png	rom_event_civil.png	campaign_ui_message_positive
FT_birth		rom_Eastern		rom_family_tree_baby_born	east_FT_birth.png	rom_event_civil.png	campaign_ui_message_positive
FT_birth		rom_Eastern	sc_rom_african_arabian	rom_family_tree_baby_born	dk_FT_birth.png	rom_event_civil.png	campaign_ui_message_positive
FT_birth		rom_Hellenistic		rom_family_tree_baby_born	greek_FT_birth.png	rom_event_civil.png	campaign_ui_message_positive
FT_birth		rom_Roman		rom_family_tree_baby_born	rom_FT_birth.png	rom_event_civil.png	campaign_ui_message_positive
FT_boy_adult		rom_Barbarian		rom_family_tree_boy_comes_out_of_age	barb_FT_son_grows.png	rom_event_civil.png	campaign_ui_message_positive
FT_boy_adult		rom_Eastern		rom_family_tree_boy_comes_out_of_age	east_FT_son_grows.png	rom_event_civil.png	campaign_ui_message_positive
FT_boy_adult		rom_Eastern	sc_rom_african_arabian	rom_family_tree_boy_comes_out_of_age	dk_FT_son_grows.png	rom_event_civil.png	campaign_ui_message_positive
FT_boy_adult		rom_Hellenistic		rom_family_tree_boy_comes_out_of_age	greek_FT_son_grows.png	rom_event_civil.png	campaign_ui_message_positive
FT_boy_adult		rom_Roman		rom_family_tree_boy_comes_out_of_age	rom_FT_son_grows.png	rom_event_civil.png	campaign_ui_message_positive
FT_child_dead		rom_Barbarian		rom_family_tree_child_dies	FT_death_of_child.png	rom_event_death.png	campaign_ui_message_neutral
FT_child_dead		rom_Eastern		rom_family_tree_child_dies	FT_death_of_child.png	rom_event_death.png	campaign_ui_message_neutral
FT_child_dead		rom_Hellenistic		rom_family_tree_child_dies	FT_death_of_child.png	rom_event_death.png	campaign_ui_message_neutral
FT_child_dead		rom_Roman		rom_family_tree_child_dies	FT_death_of_child.png	rom_event_death.png	campaign_ui_message_neutral
FT_female_leader		rom_Barbarian		rom_family_tree_new_faction_leader_female	barb_FT_female_leader.png	rom_event_civil.png	campaign_ui_message_positive
FT_female_leader		rom_Barbarian	sc_rom_barb_east	rom_family_tree_new_faction_leader_female	nomad_FT_female_leader.png	rom_event_civil.png	campaign_ui_message_positive
FT_female_leader		rom_Eastern	sc_rom_african_arabian	rom_family_tree_new_faction_leader_female	desert_faction_fem.png	rom_event_civil.png	campaign_ui_message_positive
FT_girl_adult		rom_Barbarian		rom_family_tree_girl_comes_out_of_age	barb_female_civil.png	rom_event_civil.png	campaign_ui_message_positive
FT_girl_adult		rom_Eastern		rom_family_tree_girl_comes_out_of_age	east_female_civil_2.png	rom_event_civil.png	campaign_ui_message_positive
FT_girl_adult		rom_Eastern	sc_rom_african_arabian	rom_family_tree_girl_comes_out_of_age	desert_female_civil.png	rom_event_civil.png	campaign_ui_message_positive
FT_girl_adult		rom_Eastern	sc_rom_barb_east	rom_family_tree_girl_comes_out_of_age	east_female_civil.png	rom_event_civil.png	campaign_ui_message_positive
FT_girl_adult		rom_Hellenistic		rom_family_tree_girl_comes_out_of_age	greek_female_civil.png	rom_event_civil.png	campaign_ui_message_positive
FT_girl_adult		rom_Roman		rom_family_tree_girl_comes_out_of_age	rom_female_civil.png	rom_event_civil.png	campaign_ui_message_positive
FT_male_leader		rom_Barbarian		rom_family_tree_new_faction_leader_male	barb_faction.png	rom_event_civil.png	campaign_ui_message_positive
FT_male_leader		rom_Eastern		rom_family_tree_new_faction_leader_male	east_faction.png	rom_event_civil.png	campaign_ui_message_positive
FT_male_leader		rom_Eastern	sc_rom_african_arabian	rom_family_tree_new_faction_leader_male	desert_faction.png	rom_event_civil.png	campaign_ui_message_positive
FT_male_leader		rom_Eastern	sc_rom_barb_east	rom_family_tree_new_faction_leader_male	desert_faction.png	rom_event_civil.png	campaign_ui_message_positive
FT_male_leader		rom_Hellenistic		rom_family_tree_new_faction_leader_male	greek_faction.png	rom_event_civil.png	campaign_ui_message_positive
FT_male_leader		rom_Roman		rom_family_tree_new_faction_leader_male	rom_faction.png	rom_event_civil.png	campaign_ui_message_positive
age_agent_theirs_trap_fail		rom_Barbarian		age_agent_theirs_trap_character_fail	agent_hire.png	rom_event_civil.png	campaign_ui_message_negative
age_agent_theirs_trap_fail		rom_Eastern		age_agent_theirs_trap_character_fail	agent_hire.png	rom_event_civil.png	campaign_ui_message_negative
age_agent_theirs_trap_fail		rom_Hellenistic		age_agent_theirs_trap_character_fail	agent_hire.png	rom_event_civil.png	campaign_ui_message_negative
age_agent_theirs_trap_fail		rom_Roman		age_agent_theirs_trap_character_fail	agent_hire.png	rom_event_civil.png	campaign_ui_message_negative
age_agent_your_trap_fail		rom_Barbarian		age_agent_your_trap_character_fail	agent_hire.png	rom_event_civil.png	campaign_ui_message_negative
age_agent_your_trap_fail		rom_Eastern		age_agent_your_trap_character_fail	agent_hire.png	rom_event_civil.png	campaign_ui_message_negative
age_agent_your_trap_fail		rom_Hellenistic		age_agent_your_trap_character_fail	agent_hire.png	rom_event_civil.png	campaign_ui_message_negative
age_agent_your_trap_fail		rom_Roman		age_agent_your_trap_character_fail	agent_hire.png	rom_event_civil.png	campaign_ui_message_negative
agent_action_dummy_event		rom_Barbarian		placeholder	barb_generic.png	rom_event_message.png	campaign_ui_message_neutral
agent_action_dummy_event		rom_Barbarian	sc_rom_barb_east	placeholder	disaster_volcano.png	rom_event_message.png	campaign_ui_message_neutral
agent_action_dummy_event		rom_Eastern		placeholder	east_generic.png	rom_event_message.png	campaign_ui_message_neutral
agent_action_dummy_event		rom_Eastern	sc_rom_african_arabian	placeholder	agent_hire.png	rom_event_message.png	campaign_ui_message_neutral
agent_action_dummy_event		rom_Eastern	sc_rom_numidian	placeholder	agent_hire.png	rom_event_message.png	campaign_ui_message_neutral
agent_action_dummy_event		rom_Hellenistic		placeholder	greek_generic.png	rom_event_message.png	campaign_ui_message_neutral
agent_action_dummy_event		rom_Roman		placeholder	rom_generic.png	rom_event_message.png	campaign_ui_message_neutral
agent_convalesced		rom_Barbarian		roman_agent_convalesced	barb_faction.png	rom_event_civil.png	campaign_ui_message_positive
agent_convalesced		rom_Barbarian	sc_rom_barb_east	roman_agent_convalesced	nomad_celebration.png	rom_event_civil.png	campaign_ui_message_positive
agent_convalesced		rom_Eastern		roman_agent_convalesced	east_faction.png	rom_event_civil.png	campaign_ui_message_positive
agent_convalesced		rom_Eastern	sc_rom_african_arabian	roman_agent_convalesced	agent_hire.png	rom_event_civil.png	campaign_ui_message_positive
agent_convalesced		rom_Eastern	sc_rom_numidian	roman_agent_convalesced	agent_hire.png	rom_event_civil.png	campaign_ui_message_positive
agent_convalesced		rom_Hellenistic		roman_agent_convalesced	greek_faction.png	rom_event_civil.png	campaign_ui_message_positive
agent_convalesced		rom_Roman		roman_agent_convalesced	rom_faction.png	rom_event_civil.png	campaign_ui_message_positive
agent_discovered_theirs		rom_Barbarian		roman_agent_discovered_theirs	barb_generic.png	rom_event_civil.png	campaign_ui_message_positive
agent_discovered_theirs		rom_Barbarian	sc_rom_barb_east	roman_agent_discovered_theirs	nomad_generic.png	rom_event_civil.png	campaign_ui_message_positive
agent_discovered_theirs		rom_Eastern		roman_agent_discovered_theirs	east_generic.png	rom_event_civil.png	campaign_ui_message_positive
agent_discovered_theirs		rom_Eastern	sc_rom_african_arabian	roman_agent_discovered_theirs	agent_hire.png	rom_event_civil.png	campaign_ui_message_positive
agent_discovered_theirs		rom_Eastern	sc_rom_numidian	roman_agent_discovered_theirs	agent_hire.png	rom_event_civil.png	campaign_ui_message_positive
agent_discovered_theirs		rom_Hellenistic		roman_agent_discovered_theirs	greek_generic.png	rom_event_civil.png	campaign_ui_message_positive
agent_discovered_theirs		rom_Roman		roman_agent_discovered_theirs	rom_generic.png	rom_event_civil.png	campaign_ui_message_positive
agent_discovered_yours		rom_Barbarian		roman_agent_discovered_yours	barb_generic.png	rom_event_civil.png	campaign_ui_message_negative
agent_discovered_yours		rom_Barbarian	sc_rom_barb_east	roman_agent_discovered_yours	nomad_generic.png	rom_event_civil.png	campaign_ui_message_negative
agent_discovered_yours		rom_Eastern		roman_agent_discovered_yours	east_generic.png	rom_event_civil.png	campaign_ui_message_negative
agent_discovered_yours		rom_Eastern	sc_rom_african_arabian	roman_agent_discovered_yours	agent_combat.png	rom_event_civil.png	campaign_ui_message_negative
agent_discovered_yours		rom_Eastern	sc_rom_numidian	roman_agent_discovered_yours	agent_combat.png	rom_event_civil.png	campaign_ui_message_negative
agent_discovered_yours		rom_Hellenistic		roman_agent_discovered_yours	greek_generic.png	rom_event_civil.png	campaign_ui_message_negative
agent_discovered_yours		rom_Roman		roman_agent_discovered_yours	rom_generic.png	rom_event_civil.png	campaign_ui_message_negative
agent_killed_with_army		rom_Barbarian		roman_agent_killed_with_army	barb_land_defeat.png	rom_event_death.png	campaign_ui_message_negative
agent_killed_with_army		rom_Barbarian	sc_rom_barb_east	roman_agent_killed_with_army	east_land_defeat.png	rom_event_death.png	campaign_ui_message_negative
agent_killed_with_army		rom_Eastern		roman_agent_killed_with_army	east_land_defeat.png	rom_event_death.png	campaign_ui_message_negative
agent_killed_with_army		rom_Hellenistic		roman_agent_killed_with_army	greek_land_defeat.png	rom_event_death.png	campaign_ui_message_negative
agent_killed_with_army		rom_Roman		roman_agent_killed_with_army	rom_land_defeat.png	rom_event_death.png	campaign_ui_message_negative
agent_killed_with_navy		rom_Barbarian		roman_agent_killed_with_navy	barb_sea_defeat.png	rom_event_death.png	campaign_ui_message_negative
agent_killed_with_navy		rom_Barbarian	sc_rom_barb_east	roman_agent_killed_with_navy	east_sea_defeat.png	rom_event_death.png	campaign_ui_message_negative
agent_killed_with_navy		rom_Eastern		roman_agent_killed_with_navy	east_sea_defeat.png	rom_event_death.png	campaign_ui_message_negative
agent_killed_with_navy		rom_Hellenistic		roman_agent_killed_with_navy	greek_sea_defeat.png	rom_event_death.png	campaign_ui_message_negative
agent_killed_with_navy		rom_Roman		roman_agent_killed_with_navy	rom_sea_defeat.png	rom_event_death.png	campaign_ui_message_negative
agent_recruited		rom_Barbarian		roman_agent_recruited	barb_faction.png	rom_event_message.png	campaign_ui_message_neutral
agent_recruited		rom_Barbarian	sc_rom_barb_east	roman_agent_recruited	agent_hire.png	rom_event_message.png	campaign_ui_message_neutral
agent_recruited		rom_Eastern		roman_agent_recruited	east_faction.png	rom_event_message.png	campaign_ui_message_neutral
agent_recruited		rom_Eastern	sc_rom_african_arabian	roman_agent_recruited	agent_hire.png	rom_event_message.png	campaign_ui_message_neutral
agent_recruited		rom_Eastern	sc_rom_numidian	roman_agent_recruited	agent_hire.png	rom_event_message.png	campaign_ui_message_neutral
agent_recruited		rom_Hellenistic		roman_agent_recruited	greek_faction.png	rom_event_message.png	campaign_ui_message_neutral
agent_recruited		rom_Roman		roman_agent_recruited	rom_faction.png	rom_event_message.png	campaign_ui_message_neutral
