event	instant_open	layout	requires_response	priority
#message_events_tables;1;db/message_events_tables/message_events				
3c_intro_mechanics	true	standard	false	100
FT_birth	true	standard	false	110
FT_boy_adult	true	standard	false	100
FT_child_dead	true	standard	false	100
FT_female_leader	true	standard	false	100
FT_girl_adult	true	standard	false	100
FT_male_leader	true	standard	false	100
age_agent_theirs_trap_fail	false	standard	false	100
age_agent_your_trap_fail	true	standard	false	100
agent_action_dummy_event	false	standard	false	100
agent_convalesced	true	standard	false	100
agent_discovered_theirs	false	standard	false	100
agent_discovered_yours	true	standard	false	100
agent_killed_with_army	true	standard	false	100
agent_killed_with_navy	true	standard	false	100
agent_recruited	false	recruitment	false	100
agent_their_any_kill_character_fail	false	standard	false	100
agent_their_any_kill_character_success	true	standard	false	100
agent_their_any_kill_character_wound	true	standard	false	100
agent_their_any_steal_character_fail	false	standard	false	100
agent_their_any_steal_character_kill	true	standard	false	100
agent_their_any_steal_character_stop	true	standard	false	100
agent_their_any_steal_character_success	true	standard	false	100
agent_their_champion_anti_army_authority_success	true	standard	false	100
agent_their_champion_anti_army_fail	false	standard	false	100
agent_their_champion_anti_army_subterfuge_success	true	standard	false	100
agent_their_champion_anti_army_zeal_success	true	standard	false	100
agent_their_champion_anti_settlement_authority_success	true	standard	false	100
agent_their_champion_anti_settlement_fail	false	standard	false	100
agent_their_champion_anti_settlement_subterfuge_success	true	standard	false	100
agent_their_champion_anti_settlement_zeal_success	true	standard	false	100
agent_their_champion_kill_character_authority_success	true	standard	false	100
agent_their_champion_kill_character_authority_wound	true	standard	false	100
agent_their_champion_kill_character_subterfuge_success	true	standard	false	100
agent_their_champion_kill_character_subterfuge_wound	true	standard	false	100
agent_their_champion_kill_character_zeal_success	true	standard	false	100
agent_their_champion_kill_character_zeal_wound	true	standard	false	100
agent_their_champion_steal_character_authority_stop	true	standard	false	100
agent_their_champion_steal_character_authority_success	true	standard	false	100
agent_their_champion_steal_character_subterfuge_stop	true	standard	false	100
agent_their_champion_steal_character_subterfuge_success	true	standard	false	100
agent_their_champion_steal_character_zeal_stop	true	standard	false	100
agent_their_champion_steal_character_zeal_success	true	standard	false	100
agent_their_dignitary_anti_army_authority_success	true	standard	false	100
agent_their_dignitary_anti_army_authority_success_critical	true	standard	false	100
agent_their_dignitary_anti_army_bribery_fail	true	standard	false	100
agent_their_dignitary_anti_army_fail	true	standard	false	100
agent_their_dignitary_anti_army_subterfuge_success	true	standard	false	100
agent_their_dignitary_anti_army_zeal_success	true	standard	false	100
agent_their_dignitary_anti_settlement_authority_success	true	standard	false	100
agent_their_dignitary_anti_settlement_fail	false	standard	false	100
agent_their_dignitary_anti_settlement_subterfuge_success	true	standard	false	100
agent_their_dignitary_anti_settlement_zeal_success	true	standard	false	100
agent_their_dignitary_discredit_character_zeal	true	standard	false	100
