key	culure_key	faction_key	is_army	subculture_key	icon	banner_decorator
#military_force_legacy_emblems_tables;2;db/military_force_legacy_emblems_tables/military_force_legacy_emblems						
barb_emblem_army_01	rom_Barbarian		true		barb_emblem_01	barb_emblem_01
barb_emblem_army_02	rom_Barbarian		true		barb_emblem_02	barb_emblem_02
barb_emblem_army_03	rom_Barbarian		true		barb_emblem_03	barb_emblem_03
barb_emblem_army_04	rom_Barbarian		true		barb_emblem_04	barb_emblem_04
barb_emblem_army_05	rom_Barbarian		true		barb_emblem_05	barb_emblem_05
barb_emblem_army_06	rom_Barbarian		true		barb_emblem_06	barb_emblem_06
barb_emblem_army_07	rom_Barbarian		true		barb_emblem_07	barb_emblem_07
barb_emblem_army_08	rom_Barbarian		true		barb_emblem_08	barb_emblem_08
barb_emblem_army_09	rom_Barbarian		true		barb_emblem_09	barb_emblem_09
barb_emblem_army_10	rom_Barbarian		true		barb_emblem_10	barb_emblem_10
barb_emblem_army_11	rom_Barbarian		true		barb_emblem_11	barb_emblem_11
barb_emblem_army_12	rom_Barbarian		true		barb_emblem_12	barb_emblem_12
barb_emblem_army_13	rom_Barbarian		true		barb_emblem_13	barb_emblem_13
barb_emblem_navy_01	rom_Barbarian		false		barb_emblem_01	barb_emblem_01
barb_emblem_navy_02	rom_Barbarian		false		barb_emblem_02	barb_emblem_02
barb_emblem_navy_03	rom_Barbarian		false		barb_emblem_03	barb_emblem_03
barb_emblem_navy_04	rom_Barbarian		false		barb_emblem_04	barb_emblem_04
barb_emblem_navy_05	rom_Barbarian		false		barb_emblem_05	barb_emblem_05
barb_emblem_navy_06	rom_Barbarian		false		barb_emblem_06	barb_emblem_06
barb_emblem_navy_07	rom_Barbarian		false		barb_emblem_07	barb_emblem_07
barb_emblem_navy_08	rom_Barbarian		false		barb_emblem_08	barb_emblem_08
barb_emblem_navy_09	rom_Barbarian		false		barb_emblem_09	barb_emblem_09
barb_emblem_navy_10	rom_Barbarian		false		barb_emblem_10	barb_emblem_10
barb_emblem_navy_11	rom_Barbarian		false		barb_emblem_11	barb_emblem_11
barb_emblem_navy_12	rom_Barbarian		false		barb_emblem_12	barb_emblem_12
barb_emblem_navy_13	rom_Barbarian		false		barb_emblem_13	barb_emblem_13
east_emblem_army_01	rom_Eastern		true		east_emblem_01	east_emblem_01
