key	subculture	for_army	campaign
#military_force_legacy_names_tables;2;db/military_force_legacy_names_tables/military_force_legacy_names			
3c_legacy_afro_arabian_allatu_heralds	sc_rom_african_arabian	true	main_3c
3c_legacy_afro_arabian_apedemak_pride	sc_rom_african_arabian	true	main_3c
3c_legacy_afro_arabian_beasts_burden	sc_rom_african_arabian	true	main_3c
3c_legacy_afro_arabian_bronze_warriors	sc_rom_african_arabian	true	main_3c
3c_legacy_afro_arabian_death_merchants	sc_rom_african_arabian	true	main_3c
3c_legacy_afro_arabian_desert_guardians	sc_rom_african_arabian	true	main_3c
3c_legacy_afro_arabian_desert_old_men	sc_rom_african_arabian	true	main_3c
3c_legacy_afro_arabian_desert_scorpions	sc_rom_african_arabian	true	main_3c
3c_legacy_afro_arabian_desert_snakes	sc_rom_african_arabian	true	main_3c
3c_legacy_afro_arabian_desert_wind	sc_rom_african_arabian	true	main_3c
3c_legacy_afro_arabian_gurzil_horns	sc_rom_african_arabian	true	main_3c
3c_legacy_afro_arabian_lords_war	sc_rom_african_arabian	true	main_3c
3c_legacy_afro_arabian_mahrem_sons	sc_rom_african_arabian	true	main_3c
3c_legacy_afro_arabian_nomads_dread	sc_rom_african_arabian	true	main_3c
3c_legacy_afro_arabian_sand_sentinels	sc_rom_african_arabian	true	main_3c
3c_legacy_afro_arabian_sands_burning	sc_rom_african_arabian	true	main_3c
3c_legacy_afro_arabian_stone_burners	sc_rom_african_arabian	true	main_3c
3c_legacy_afro_arabian_sun_children	sc_rom_african_arabian	true	main_3c
3c_legacy_afro_arabian_sun_warriors	sc_rom_african_arabian	true	main_3c
3c_legacy_afro_arabian_warriors_fortune	sc_rom_african_arabian	true	main_3c
3c_legacy_barb_east_agin_blades	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_api_defenders	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_battle_axes	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_blades_of_grass	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_blood_riders	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_bloodletters	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_drifters	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_gales_of_wind	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_golden_army	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_husbands_of_amazons	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_hyperboria	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_larch_children	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_nomads_dread	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_oitosyros_will	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_papaios_champions	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_poison_arrows	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_riders_rough	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_riders_swift	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_sacrificers	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_seekers_of_destiny	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_skulls_golden	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_steeds_doom	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_steppe_fury	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_steppe_scourge	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_steppe_storm	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_steppe_wanderers	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_steppe_wolves	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_strength_of_api	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_tabiti_flames	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_wayward_warriors	sc_rom_barb_east	true	main_3c
3c_legacy_barb_east_wild_ones	sc_rom_barb_east	true	main_3c
3c_legacy_briton_albion_champions	sc_rom_british	true	main_3c
3c_legacy_briton_andraste_will	sc_rom_british	true	main_3c
3c_legacy_briton_belatucadros_blades	sc_rom_british	true	main_3c
3c_legacy_briton_brutus_children	sc_rom_british	true	main_3c
3c_legacy_briton_burning_men	sc_rom_british	true	main_3c
3c_legacy_briton_camulos_horns	sc_rom_british	true	main_3c
3c_legacy_briton_cocidius_hunters	sc_rom_british	true	main_3c
3c_legacy_briton_ebraucus_vanquishers	sc_rom_british	true	main_3c
3c_legacy_briton_iron_fist	sc_rom_british	true	main_3c
3c_legacy_briton_mists_doom	sc_rom_british	true	main_3c
3c_legacy_briton_morrigan_consorts	sc_rom_british	true	main_3c
3c_legacy_briton_spear_runners	sc_rom_british	true	main_3c
3c_legacy_briton_stags_noble	sc_rom_british	true	main_3c
3c_legacy_briton_sword_power	sc_rom_british	true	main_3c
3c_legacy_briton_woad_warriors	sc_rom_british	true	main_3c
3c_legacy_celtic_mountain_men	sc_rom_british	true	main_3c
3c_legacy_celtic_spear_men	sc_rom_british	true	main_3c
3c_legacy_celtic_stone_crows	sc_rom_british	true	main_3c
3c_legacy_celtic_tumult	sc_rom_british	true	main_3c
3c_legacy_celtic_warmongers	sc_rom_british	true	main_3c
3c_legacy_celtic_warriors_wandering	sc_rom_british	true	main_3c
3c_legacy_eastern_army_immortals	sc_rom_eastern	true	main_3c
3c_legacy_eastern_bane_of_rome	sc_rom_eastern	true	main_3c
3c_legacy_eastern_brothers_arms	sc_rom_eastern	true	main_3c
3c_legacy_eastern_fire_steel	sc_rom_eastern	true	main_3c
3c_legacy_eastern_first_men	sc_rom_eastern	true	main_3c
3c_legacy_eastern_flames_pruifying	sc_rom_eastern	true	main_3c
3c_legacy_eastern_followers_of_shapur	sc_rom_eastern	true	main_3c
3c_legacy_eastern_forgotten_warriors	sc_rom_eastern	true	main_3c
3c_legacy_eastern_heroes_men	sc_rom_eastern	true	main_3c
3c_legacy_eastern_ishtar_champions	sc_rom_eastern	true	main_3c
3c_legacy_eastern_keepers_of_the_sacred_flame	sc_rom_eastern	true	main_3c
3c_legacy_eastern_light_bringers	sc_rom_eastern	true	main_3c
3c_legacy_eastern_manticore_claws	sc_rom_eastern	true	main_3c
3c_legacy_eastern_serpent_eyes	sc_rom_eastern	true	main_3c
3c_legacy_eastern_slayers_of_emperors	sc_rom_eastern	true	main_3c
3c_legacy_eastern_stone_cutters	sc_rom_eastern	true	main_3c
3c_legacy_eastern_truth_bearers	sc_rom_eastern	true	main_3c
3c_legacy_eastern_warriors_of_zoroaster	sc_rom_eastern	true	main_3c
3c_legacy_eastern_watchmen	sc_rom_eastern	true	main_3c
3c_legacy_eastern_watch	sc_rom_eastern	true	main_3c
3c_legacy_eastern_xerxes_scions	sc_rom_eastern	true	main_3c
3c_legacy_germanic_beholder_tuisto_skull	sc_rom_germanic	true	main_3c
3c_legacy_germanic_berserkers_dread	sc_rom_germanic	true	main_3c
3c_legacy_germanic_blood_embers	sc_rom_germanic	true	main_3c
3c_legacy_germanic_bloodaxes	sc_rom_germanic	true	main_3c
3c_legacy_germanic_bloodsworn	sc_rom_germanic	true	main_3c
3c_legacy_germanic_breakers_of_trees	sc_rom_germanic	true	main_3c
3c_legacy_germanic_brothers_metal	sc_rom_germanic	true	main_3c
3c_legacy_germanic_children_of_the_forest	sc_rom_germanic	true	main_3c
3c_legacy_germanic_doom_children	sc_rom_germanic	true	main_3c
3c_legacy_germanic_dragonslayers	sc_rom_germanic	true	main_3c
3c_legacy_germanic_einherjars	sc_rom_germanic	true	main_3c
3c_legacy_germanic_feeder_of_war_gull	sc_rom_germanic	true	main_3c
3c_legacy_germanic_feeders_of_eagle	sc_rom_germanic	true	main_3c
3c_legacy_germanic_fimmilena_victors	sc_rom_germanic	true	main_3c
3c_legacy_germanic_fires_sunna	sc_rom_germanic	true	main_3c
3c_legacy_germanic_friagabis_champions	sc_rom_germanic	true	main_3c
3c_legacy_germanic_frijjo_consorts	sc_rom_germanic	true	main_3c
3c_legacy_germanic_heralds_of_hymir	sc_rom_germanic	true	main_3c
3c_legacy_germanic_howling_wolves	sc_rom_germanic	true	main_3c
3c_legacy_germanic_icicles_of_blood	sc_rom_germanic	true	main_3c
3c_legacy_germanic_jotun_slayers	sc_rom_germanic	true	main_3c
3c_legacy_germanic_lightning_riders	sc_rom_germanic	true	main_3c
3c_legacy_germanic_men_of_war	sc_rom_germanic	true	main_3c
3c_legacy_germanic_minions_of_wolf_father	sc_rom_germanic	true	main_3c
3c_legacy_germanic_oak_children	sc_rom_germanic	true	main_3c
3c_legacy_germanic_oath_maker	sc_rom_germanic	true	main_3c
3c_legacy_germanic_raging_boars	sc_rom_germanic	true	main_3c
3c_legacy_germanic_skull_breaker	sc_rom_germanic	true	main_3c
3c_legacy_germanic_sons_of_bears	sc_rom_germanic	true	main_3c
3c_legacy_germanic_sons_of_gaut	sc_rom_germanic	true	main_3c
3c_legacy_germanic_swans_of_blood	sc_rom_germanic	true	main_3c
3c_legacy_germanic_thryms_chosen	sc_rom_germanic	true	main_3c
3c_legacy_germanic_thunaraz_hammer	sc_rom_germanic	true	main_3c
3c_legacy_germanic_thunaraz_thunderbolts	sc_rom_germanic	true	main_3c
3c_legacy_germanic_trees_woe	sc_rom_germanic	true	main_3c
3c_legacy_germanic_warrior_skalds	sc_rom_germanic	true	main_3c
3c_legacy_germanic_wild_hunters	sc_rom_germanic	true	main_3c
3c_legacy_germanic_wodanaz_host	sc_rom_germanic	true	main_3c
3c_legacy_germanic_wolves_war	sc_rom_germanic	true	main_3c
3c_legacy_germanic_wooden_men	sc_rom_germanic	true	main_3c
3c_legacy_navy_afro_arabian_sea_scourge	sc_rom_african_arabian	false	main_3c
3c_legacy_navy_amber_warrior	sc_rom_germanic	false	main_3c
3c_legacy_navy_atargatis_champions	sc_rom_eastern	false	main_3c
3c_legacy_navy_barb_east_agrimpasa_pride	sc_rom_barb_east	false	main_3c
3c_legacy_navy_barb_east_black_waters	sc_rom_barb_east	false	main_3c
3c_legacy_navy_barb_east_dark_tides	sc_rom_barb_east	false	main_3c
3c_legacy_navy_barb_east_four_wind_heralds	sc_rom_barb_east	false	main_3c
3c_legacy_navy_barb_east_larchen_prows	sc_rom_barb_east	false	main_3c
3c_legacy_navy_barb_east_sea_scourge	sc_rom_barb_east	false	main_3c
3c_legacy_navy_barb_east_storm_of_maeotis	sc_rom_barb_east	false	main_3c
3c_legacy_navy_barb_east_thagimasidas_children	sc_rom_barb_east	false	main_3c
3c_legacy_navy_brethren_of_ys	sc_rom_gaul	false	main_3c
3c_legacy_navy_briton_agrona_vengeance	sc_rom_british	false	main_3c
3c_legacy_navy_briton_nodens_wrath	sc_rom_british	false	main_3c
3c_legacy_navy_briton_sea_horses	sc_rom_british	false	main_3c
3c_legacy_navy_briton_sea_scourge	sc_rom_british	false	main_3c
3c_legacy_navy_briton_seekers_of_lyonesse	sc_rom_british	false	main_3c
3c_legacy_navy_briton_waves_crashing	sc_rom_british	false	main_3c
3c_legacy_navy_briton_winds_iron	sc_rom_british	false	main_3c
3c_legacy_navy_celtic_turbulence_divine	sc_rom_british	false	main_3c
3c_legacy_navy_celtic_waters_troubled	sc_rom_british	false	main_3c
3c_legacy_navy_celtic_widow_makers	sc_rom_british	false	main_3c
3c_legacy_navy_eastern_burning_waters	sc_rom_eastern	false	main_3c
3c_legacy_navy_eastern_dagon_will	sc_rom_eastern	false	main_3c
3c_legacy_navy_eastern_darius_pride	sc_rom_eastern	false	main_3c
3c_legacy_navy_eastern_salamis_grudge	sc_rom_eastern	false	main_3c
3c_legacy_navy_eastern_sea_dragons	sc_rom_eastern	false	main_3c
3c_legacy_navy_eastern_wanderers_windblown	sc_rom_eastern	false	main_3c
3c_legacy_navy_eastern_wave_cutters	sc_rom_eastern	false	main_3c
3c_legacy_navy_germanic_followers_of_the_whales_way	sc_rom_germanic	false	main_3c
3c_legacy_navy_germanic_jormungandr_eyes	sc_rom_germanic	false	main_3c
