key	generate	localised_description	localised_title	mission_type	ui_icon	ui_image	prioritised
#missions_tables;1;db/missions_tables/missions							
3c_alani_victory_mission_cultural_victory	false	Cultural Victory	Cultural Victory	CAPTURE_REGIONS	rom_event_mission.png	rom_faction.png	false
3c_alani_victory_mission_economic_victory	false	Economic Victory	Economic Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_hire.png	false
3c_alani_victory_mission_military_victory	false	Military Victory	Military Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_combat.png	false
3c_armenia_victory_mission_cultural_victory	false	Cultural Victory	Cultural Victory	CAPTURE_REGIONS	rom_event_mission.png	rom_faction.png	false
3c_armenia_victory_mission_economic_victory	false	Economic Victory	Economic Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_hire.png	false
3c_armenia_victory_mission_military_victory	false	Military Victory	Military Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_combat.png	false
3c_caledones_victory_mission_cultural_victory	false	Cultural Victory	Cultural Victory	CAPTURE_REGIONS	rom_event_mission.png	rom_faction.png	false
3c_caledones_victory_mission_economic_victory	false	Economic Victory	Economic Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_hire.png	false
3c_caledones_victory_mission_military_victory	false	Military Victory	Military Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_combat.png	false
3c_gallicemp_victory_mission_cultural_victory	false	Cultural Victory	Cultural Victory	CAPTURE_REGIONS	rom_event_mission.png	rom_faction.png	false
3c_gallicemp_victory_mission_economic_victory	false	Economic Victory	Economic Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_hire.png	false
3c_gallicemp_victory_mission_military_victory	false	Military Victory	Military Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_combat.png	false
3c_gothi_victory_mission_cultural_victory	false	Cultural Victory	Cultural Victory	CAPTURE_REGIONS	rom_event_mission.png	rom_faction.png	false
3c_gothi_victory_mission_economic_victory	false	Economic Victory	Economic Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_hire.png	false
3c_gothi_victory_mission_military_victory	false	Military Victory	Military Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_combat.png	false
3c_marcomanni_victory_mission_cultural_victory	false	Cultural Victory	Cultural Victory	CAPTURE_REGIONS	rom_event_mission.png	rom_faction.png	false
3c_marcomanni_victory_mission_economic_victory	false	Economic Victory	Economic Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_hire.png	false
3c_marcomanni_victory_mission_military_victory	false	Military Victory	Military Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_combat.png	false
3c_palmyra_victory_mission_cultural_victory	false	Cultural Victory	Cultural Victory	CAPTURE_REGIONS	rom_event_mission.png	rom_faction.png	false
3c_palmyra_victory_mission_economic_victory	false	Economic Victory	Economic Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_hire.png	false
3c_palmyra_victory_mission_military_victory	false	Military Victory	Military Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_combat.png	false
3c_rom_victory_mission_cultural_victory	false	Cultural Victory	Cultural Victory	CAPTURE_REGIONS	rom_event_mission.png	rom_faction.png	false
3c_rom_victory_mission_economic_victory	false	Economic Victory	Economic Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_hire.png	false
3c_rom_victory_mission_military_victory	false	Military Victory	Military Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_combat.png	false
3c_sassanid_victory_mission_cultural_victory	false	Cultural Victory	Cultural Victory	CAPTURE_REGIONS	rom_event_mission.png	rom_faction.png	false
3c_sassanid_victory_mission_economic_victory	false	Economic Victory	Economic Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_hire.png	false
3c_sassanid_victory_mission_military_victory	false	Military Victory	Military Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_combat.png	false
3c_saxones_victory_mission_cultural_victory	false	Cultural Victory	Cultural Victory	CAPTURE_REGIONS	rom_event_mission.png	rom_faction.png	false
3c_saxones_victory_mission_economic_victory	false	Economic Victory	Economic Victory	CAPTURE_REGIONS	rom_event_mission.png	agent_hire.png	false
