key	left_row	rigid_model	left_end	right_row	right_end
#models_oars_tables;1;db/models_oars_tables/models_oars					
eight_l1	RigidModels/naval/variant/Oars/egyptian_eight/oar_left_l2.anim	RigidModels/naval/variant/Oars/egyptian_eight/oar_left_l2.rigid_model_v2	RigidModels/naval/variant/Oars/egyptian_eight/oar_left_l2_end.anim	RigidModels/naval/variant/Oars/egyptian_eight/oar_right_l2.anim	RigidModels/naval/variant/Oars/egyptian_eight/oar_right_l2_end.anim
eight_l2	RigidModels/naval/variant/Oars/egyptian_eight/oar_left_l2.anim	RigidModels/naval/variant/Oars/egyptian_eight/oar_left_l2.rigid_model_v2	RigidModels/naval/variant/Oars/egyptian_eight/oar_left_l2_end.anim	RigidModels/naval/variant/Oars/egyptian_eight/oar_right_l2.anim	RigidModels/naval/variant/Oars/egyptian_eight/oar_right_l2_end.anim
eight_l3	RigidModels/naval/variant/Oars/egyptian_eight/oar_left_l3.anim	RigidModels/naval/variant/Oars/egyptian_eight/oar_left_l3.rigid_model_v2	RigidModels/naval/variant/Oars/egyptian_eight/oar_left_l3_end.anim	RigidModels/naval/variant/Oars/egyptian_eight/oar_right_l3.anim	RigidModels/naval/variant/Oars/egyptian_eight/oar_right_l3_end.anim
four_l1	RigidModels/naval/variant/Oars/roman_four/oar_left_l2.anim	RigidModels/naval/variant/Oars/roman_four/oar_left_l2.rigid_model_v2	RigidModels/naval/variant/Oars/roman_four/oar_left_l2_end.anim	RigidModels/naval/variant/Oars/roman_four/oar_right_l2.anim	RigidModels/naval/variant/Oars/roman_four/oar_right_l2_end.anim
four_l2	RigidModels/naval/variant/Oars/roman_four/oar_left_l2.anim	RigidModels/naval/variant/Oars/roman_four/oar_left_l2.rigid_model_v2	RigidModels/naval/variant/Oars/roman_four/oar_left_l2_end.anim	RigidModels/naval/variant/Oars/roman_four/oar_right_l2.anim	RigidModels/naval/variant/Oars/roman_four/oar_right_l2_end.anim
four_l3	RigidModels/naval/variant/Oars/roman_four/oar_left_l3.anim	RigidModels/naval/variant/Oars/roman_four/oar_left_l3.rigid_model_v2	RigidModels/naval/variant/Oars/roman_four/oar_left_l3_end.anim	RigidModels/naval/variant/Oars/roman_four/oar_right_l3.anim	RigidModels/naval/variant/Oars/roman_four/oar_right_l3_end.anim
oar_l1	RigidModels/naval/variant/Oars/roman_six/oar_left_l2.anim	RigidModels/naval/variant/Oars/roman_six/oar_left_l2.rigid_model_v2	RigidModels/naval/variant/Oars/roman_six/oar_left_l2_end.anim	RigidModels/naval/variant/Oars/roman_six/oar_right_l2.anim	RigidModels/naval/variant/Oars/roman_six/oar_right_l2_end.anim
oar_l2	RigidModels/naval/variant/Oars/roman_six/oar_left_l2.anim	RigidModels/naval/variant/Oars/roman_six/oar_left_l2.rigid_model_v2	RigidModels/naval/variant/Oars/roman_six/oar_left_l2_end.anim	RigidModels/naval/variant/Oars/roman_six/oar_right_l2.anim	RigidModels/naval/variant/Oars/roman_six/oar_right_l2_end.anim
oar_l3	RigidModels/naval/variant/Oars/roman_six/oar_left_l3.anim	RigidModels/naval/variant/Oars/roman_six/oar_left_l3.rigid_model_v2	RigidModels/naval/variant/Oars/roman_six/oar_left_l3_end.anim	RigidModels/naval/variant/Oars/roman_six/oar_right_l3.anim	RigidModels/naval/variant/Oars/roman_six/oar_right_l3_end.anim
