mount_key	display_key	weight
#mount_variants_tables;0;db/mount_variants_tables/mount_variants		
roman_horse_sword	Roman_Horse	1.0000
carthaginian_horse	Horse_Carthaginian	1.0000
african_elephant	Elephant_African	1.0000
roman_horse_spear_shield	Roman_Horse	1.0000
roman_horse_sword_shield	Roman_Horse	1.0000
roman_camel	Camel_Roman	1.0000
roman_camel_spear	Camel_Roman	1.0000
cataphract_horse	Horse_Cataphract	1.0000
roman_horse_lance	Roman_Horse	1.0000
rome_horse_lance_h	Roman_Horse	1.0000
rome_horse_lance_l	Roman_Horse	1.0000
rome_horse_lance_m	Roman_Horse	1.0000
rome_horse_lance_sh	Roman_Horse	1.0000
rome_horse_lance_vh	Roman_Horse	1.0000
rome_horse_lance_vl	Roman_Horse	1.0000
rome_horse_spear_shield_h	Roman_Horse	1.0000
rome_horse_spear_shield_l	Roman_Horse	1.0000
rome_horse_spear_shield_m	Roman_Horse	1.0000
rome_horse_spear_shield_sh	Roman_Horse	1.0000
rome_horse_spear_shield_vh	Roman_Horse	1.0000
rome_horse_spear_shield_vl	Roman_Horse	1.0000
rome_horse_sword_h	Roman_Horse	1.0000
rome_horse_sword_l	Roman_Horse	1.0000
rome_horse_sword_m	Roman_Horse	1.0000
rome_horse_sword_sh	Roman_Horse	1.0000
rome_horse_sword_shield_h	Roman_Horse	1.0000
rome_horse_sword_shield_l	Roman_Horse	1.0000
rome_horse_sword_shield_m	Roman_Horse	1.0000
rome_horse_sword_shield_sh	Roman_Horse	1.0000
rome_horse_sword_shield_vh	Roman_Horse	1.0000
rome_horse_sword_shield_vl	Roman_Horse	1.0000
rome_horse_sword_vh	Roman_Horse	1.0000
rome_horse_sword_vl	Roman_Horse	1.0000
indian_armoured_elephant	Elephant_Indian_Armoured	1.0000
indian_elephant	Elephant_Indian	1.0000
rome_camel_cataphract	Camel_Cataphracts	1.0000
cataphract_elite_horse	Horse_Cataphract_Elite	1.0000
rome_celtic_horse_lance_h	Celtic_Horse	1.0000
rome_celtic_horse_lance_l	Celtic_Horse	1.0000
rome_celtic_horse_lance_m	Celtic_Horse	1.0000
rome_celtic_horse_lance_sh	Celtic_Horse	1.0000
rome_celtic_horse_lance_vh	Celtic_Horse	1.0000
rome_celtic_horse_lance_vl	Celtic_Horse	1.0000
rome_celtic_horse_spear_shield_h	Celtic_Horse	1.0000
rome_celtic_horse_spear_shield_l	Celtic_Horse	1.0000
rome_celtic_horse_spear_shield_m	Celtic_Horse	1.0000
rome_celtic_horse_spear_shield_sh	Celtic_Horse	1.0000
rome_celtic_horse_spear_shield_vh	Celtic_Horse	1.0000
rome_celtic_horse_spear_shield_vl	Celtic_Horse	1.0000
rome_celtic_horse_sword_h	Celtic_Horse	1.0000
rome_celtic_horse_sword_l	Celtic_Horse	1.0000
rome_celtic_horse_sword_m	Celtic_Horse	1.0000
rome_celtic_horse_sword_sh	Celtic_Horse	1.0000
rome_celtic_horse_sword_shield_h	Celtic_Horse	1.0000
rome_celtic_horse_sword_shield_l	Celtic_Horse	1.0000
rome_celtic_horse_sword_shield_m	Celtic_Horse	1.0000
rome_celtic_horse_sword_shield_sh	Celtic_Horse	1.0000
rome_celtic_horse_sword_shield_vh	Celtic_Horse	1.0000
rome_celtic_horse_sword_shield_vl	Celtic_Horse	1.0000
rome_celtic_horse_sword_vh	Celtic_Horse	1.0000
rome_celtic_horse_sword_vl	Celtic_Horse	1.0000
rome_hellenic_horse_lance_h	Hellenic_Heavy_Horse	1.0000
rome_hellenic_horse_lance_l	Hellenic_Horse	1.0000
rome_hellenic_horse_lance_m	Hellenic_Horse	1.0000
rome_hellenic_horse_lance_sh	Hellenic_Heavy_Horse	1.0000
rome_hellenic_horse_lance_vh	Hellenic_Heavy_Horse	1.0000
rome_hellenic_horse_lance_vl	Hellenic_Horse	1.0000
rome_hellenic_horse_spear_shield_h	Hellenic_Heavy_Horse	1.0000
rome_hellenic_horse_spear_shield_l	Hellenic_Horse	1.0000
rome_hellenic_horse_spear_shield_m	Hellenic_Horse	1.0000
rome_hellenic_horse_spear_shield_sh	Hellenic_Heavy_Horse	1.0000
rome_hellenic_horse_spear_shield_vh	Hellenic_Heavy_Horse	1.0000
rome_hellenic_horse_spear_shield_vl	Hellenic_Horse	1.0000
rome_hellenic_horse_sword_h	Hellenic_Heavy_Horse	1.0000
rome_hellenic_horse_sword_l	Hellenic_Horse	1.0000
rome_hellenic_horse_sword_m	Hellenic_Horse	1.0000
rome_hellenic_horse_sword_sh	Hellenic_Heavy_Horse	1.0000
rome_hellenic_horse_sword_shield_h	Hellenic_Heavy_Horse	1.0000
rome_hellenic_horse_sword_shield_l	Hellenic_Horse	1.0000
rome_hellenic_horse_sword_shield_m	Hellenic_Horse	1.0000
rome_hellenic_horse_sword_shield_sh	Hellenic_Heavy_Horse	1.0000
rome_hellenic_horse_sword_shield_vh	Hellenic_Heavy_Horse	1.0000
rome_hellenic_horse_sword_shield_vl	Hellenic_Horse	1.0000
rome_hellenic_horse_sword_vh	Hellenic_Heavy_Horse	1.0000
rome_hellenic_horse_sword_vl	Hellenic_Horse	1.0000
rome_iberian_horse_lance_h	Iberian_Horse	1.0000
rome_iberian_horse_lance_l	Iberian_Horse	1.0000
rome_iberian_horse_lance_m	Iberian_Horse	1.0000
rome_iberian_horse_lance_sh	Iberian_Horse	1.0000
rome_iberian_horse_lance_vh	Iberian_Horse	1.0000
rome_iberian_horse_lance_vl	Iberian_Horse	1.0000
rome_iberian_horse_spear_shield_h	Iberian_Horse	1.0000
rome_iberian_horse_spear_shield_l	Iberian_Horse	1.0000
rome_iberian_horse_spear_shield_m	Iberian_Horse	1.0000
rome_iberian_horse_spear_shield_sh	Iberian_Horse	1.0000
rome_iberian_horse_spear_shield_vh	Iberian_Horse	1.0000
rome_iberian_horse_spear_shield_vl	Iberian_Horse	1.0000
rome_iberian_horse_sword_h	Iberian_Horse	1.0000
rome_iberian_horse_sword_l	Iberian_Horse	1.0000
rome_iberian_horse_sword_m	Iberian_Horse	1.0000
rome_iberian_horse_sword_sh	Iberian_Horse	1.0000
rome_iberian_horse_sword_shield_h	Iberian_Horse	1.0000
rome_iberian_horse_sword_shield_l	Iberian_Horse	1.0000
rome_iberian_horse_sword_shield_m	Iberian_Horse	1.0000
rome_iberian_horse_sword_shield_sh	Iberian_Horse	1.0000
rome_iberian_horse_sword_shield_vh	Iberian_Horse	1.0000
rome_iberian_horse_sword_shield_vl	Iberian_Horse	1.0000
rome_iberian_horse_sword_vh	Iberian_Horse	1.0000
rome_iberian_horse_sword_vl	Iberian_Horse	1.0000
rome_scythian_horse_lance_h	Scythian_Horse	1.0000
rome_scythian_horse_lance_l	Scythian_Horse	1.0000
rome_scythian_horse_lance_m	Scythian_Horse	1.0000
rome_scythian_horse_lance_sh	Scythian_Royal_Horse	1.0000
rome_scythian_horse_lance_vh	Scythian_Royal_Horse	1.0000
rome_scythian_horse_lance_vl	Scythian_Horse	1.0000
rome_scythian_horse_spear_shield_h	Scythian_Horse	1.0000
rome_scythian_horse_spear_shield_l	Scythian_Horse	1.0000
rome_scythian_horse_spear_shield_m	Scythian_Horse	1.0000
rome_scythian_horse_spear_shield_sh	Scythian_Royal_Horse	1.0000
rome_scythian_horse_spear_shield_vh	Scythian_Royal_Horse	1.0000
rome_scythian_horse_spear_shield_vl	Scythian_Horse	1.0000
rome_scythian_horse_sword_h	Scythian_Horse	1.0000
rome_scythian_horse_sword_l	Scythian_Horse	1.0000
rome_scythian_horse_sword_m	Scythian_Horse	1.0000
rome_scythian_horse_sword_sh	Scythian_Royal_Horse	1.0000
rome_scythian_horse_sword_shield_h	Scythian_Horse	1.0000
rome_scythian_horse_sword_shield_l	Scythian_Horse	1.0000
rome_scythian_horse_sword_shield_m	Scythian_Horse	1.0000
rome_scythian_horse_sword_shield_sh	Scythian_Royal_Horse	1.0000
rome_scythian_horse_sword_shield_vh	Scythian_Royal_Horse	1.0000
rome_scythian_horse_sword_shield_vl	Scythian_Horse	1.0000
rome_scythian_horse_sword_vh	Scythian_Royal_Horse	1.0000
rome_scythian_horse_sword_vl	Scythian_Horse	1.0000
rome_celtic_chariot_horse	Horse_Celtic_Chariot	1.0000
rome_scythed_chariot_horse	Horse_Scythed_Chariot	1.0000
rome_egyptian_chariot_horse	Horse_Egyptian_Chariot	1.0000
rome_generic_chariot_horse	Horse_Generic_Chariot	1.0000
cataphract_half_horse	Horse_Cataphract_Half	1.0000
rome_camel_lance	Camel_Roman	1.0000
african_tower_elephant	Elephant_African_Tower	1.0000
syrian_elephants	Elephant_Syrian_Armoured	1.0000
rome_eastern_horse_lance_h	Eastern_Heavy_Horse	1.0000
rome_eastern_horse_lance_l	Eastern_Horse	1.0000
rome_eastern_horse_lance_m	Eastern_Horse	1.0000
rome_eastern_horse_lance_sh	Eastern_Heavy_Horse	1.0000
rome_eastern_horse_lance_vh	Eastern_Heavy_Horse	1.0000
rome_eastern_horse_lance_vl	Eastern_Horse	1.0000
rome_eastern_horse_spear_shield_h	Eastern_Heavy_Horse	1.0000
rome_eastern_horse_spear_shield_l	Eastern_Horse	1.0000
rome_eastern_horse_spear_shield_m	Eastern_Horse	1.0000
rome_eastern_horse_spear_shield_sh	Eastern_Heavy_Horse	1.0000
rome_eastern_horse_spear_shield_vh	Eastern_Heavy_Horse	1.0000
rome_eastern_horse_spear_shield_vl	Eastern_Horse	1.0000
rome_eastern_horse_sword_h	Eastern_Heavy_Horse	1.0000
rome_eastern_horse_sword_l	Eastern_Horse	1.0000
rome_eastern_horse_sword_m	Eastern_Horse	1.0000
rome_eastern_horse_sword_sh	Eastern_Heavy_Horse	1.0000
rome_eastern_horse_sword_shield_h	Eastern_Heavy_Horse	1.0000
rome_eastern_horse_sword_shield_l	Eastern_Horse	1.0000
rome_eastern_horse_sword_shield_m	Eastern_Horse	1.0000
rome_eastern_horse_sword_shield_sh	Eastern_Heavy_Horse	1.0000
rome_eastern_horse_sword_shield_vh	Eastern_Heavy_Horse	1.0000
rome_eastern_horse_sword_shield_vl	Eastern_Horse	1.0000
rome_eastern_horse_sword_vh	Eastern_Heavy_Horse	1.0000
rome_eastern_horse_sword_vl	Eastern_Horse	1.0000
pel_greek_horse_h	Pel_Greek_Horse	1.0000
pel_greek_horse_l	Pel_Greek_Horse	1.0000
pel_persian_horse_h	Pel_Persian_Horse	1.0000
pel_persian_horse_l	Pel_Persian_Horse	1.0000
pel_thracian_horse_h	Pel_Thracian_Horse	1.0000
pel_thracian_horse_l	Pel_Thracian_Horse	1.0000
_test_horse	_test_horse	1.0000
3c_Sas_Masked_Horse_Half	3c_Sas_Cataphract_Horse	1.0000
3c_Sas_Cataphract_Horse_Officer	3c_Sas_Officer_Horse	1.0000
3c_Eas_Eastern_Horse_Spear	3c_Eas_Eastern_Horse	1.0000
3c_Eas_Eastern_Horse_Sword	3c_Eas_Eastern_Horse	1.0000
3c_Eas_Eastern_Noble_Horse_Spear	3c_Sas_Cataphract_Horse	1.0000
3c_Eas_Eastern_Noble_Horse_Sword	3c_Sas_Cataphract_Horse	1.0000
3c_Rom_Horse_Mask_Spear	3c_Rom_Horse_Mask	1.0000
3c_Rom_Horse_Mask_Sword	3c_Rom_Horse_Mask	1.0000
3c_Sas_Cataphract_Horse_Full	3c_Sas_Cataphract_Horse_Full	1.0000
3c_Got_Greuthungi_Horse	3c_Got_Greuthungi_Horse	1.0000
3c_Rom_Catafractarii_Horse	3c_Rom_Catafractarii_Horse	1.0000
3c_Got_Greuthungi_Horse_Lance	3c_Got_Greuthungi_Horse	1.0000
3c_Ala_Winged_Horse_Lance	3c_Ala_Winged_Horse	1.0000
3c_Ala_Winged_Horse_Spear	3c_Ala_Winged_Horse	1.0000
3c_Pal_Cataphract_Horse	3c_Pal_Cataphract_Horse	1.0000
rome_numidian_horse_lance_h	Hellenic_Heavy_Horse	1.0000
rome_numidian_horse_lance_m	Hellenic_Horse	1.0000
rome_numidian_horse_sword_shield_h	Hellenic_Heavy_Horse	1.0000
rome_numidian_horse_sword_shield_l	Hellenic_Horse	1.0000
rome_numidian_horse_sword_shield_m	Hellenic_Horse	1.0000
inv_ven_horse_light_spear	inv_ven_horse	1.0000
inv_ven_horse_light_sword	inv_ven_horse	1.0000
inv_ven_horse_heavy_spear	inv_ven_horse	1.0000
inv_ven_horse_heavy_sword	inv_ven_horse	1.0000
inv_ven_horse_light_lance	inv_ven_horse	1.0000
