mountable_artillery	faction	cap	probability
#mountable_artillery_units_custom_battles_tables;1;db/mountable_artillery_units_custom_battles_tables/mountable_artillery_units_custom_battles			
3c_Bri_Ballista_Bastion	3c_caledoni	2	100
3c_Bri_Onager_Bastion	3c_caledoni	2	50
3c_Bri_Scorpion_Bastion	3c_caledoni	4	150
3c_Eas_Ballista_Bastion	3c_armenia	2	100
3c_Eas_Ballista_Bastion	3c_sassanid	2	100
3c_Eas_Onager_Bastion	3c_armenia	2	50
3c_Eas_Onager_Bastion	3c_sassanid	2	50
3c_Eas_Scorpion_Bastion	3c_armenia	4	150
3c_Eas_Scorpion_Bastion	3c_sassanid	4	150
3c_Ger_Ballista_Bastion	3c_gothi	2	100
3c_Ger_Ballista_Bastion	3c_marcomanni	2	100
3c_Ger_Ballista_Bastion	3c_saxoni	2	100
3c_Ger_Onager_Bastion	3c_gothi	2	50
3c_Ger_Onager_Bastion	3c_marcomanni	2	50
3c_Ger_Onager_Bastion	3c_saxoni	2	50
3c_Ger_Scorpion_Bastion	3c_gothi	4	150
3c_Ger_Scorpion_Bastion	3c_marcomanni	4	150
3c_Ger_Scorpion_Bastion	3c_saxoni	4	150
3c_Rom_Ballista_Bastion	3c_gallicemp	2	100
3c_Rom_Ballista_Bastion	3c_palmyra	2	100
3c_Rom_Ballista_Bastion	3c_rome	2	100
3c_Rom_Onager_Bastion	3c_gallicemp	2	50
3c_Rom_Onager_Bastion	3c_palmyra	2	50
3c_Rom_Onager_Bastion	3c_rome	2	50
3c_Rom_Scorpion_Bastion	3c_gallicemp	4	150
3c_Rom_Scorpion_Bastion	3c_palmyra	4	150
3c_Rom_Scorpion_Bastion	3c_rome	4	150
3c_Ste_Ballista_Bastion	3c_alani	4	150
Afr_Ballista_Bastion	rom_kush	2	100
Afr_Ballista_Bastion	rom_masaesyli	2	100
Afr_Ballista_Bastion	test_westerners	2	100
Afr_Onager_Bastion	rom_kush	2	50
Afr_Onager_Bastion	rom_masaesyli	2	50
Afr_Onager_Bastion	test_westerners	2	50
Afr_Scorpion_Bastion	rom_kush	4	150
Afr_Scorpion_Bastion	rom_masaesyli	4	150
Afr_Scorpion_Bastion	test_westerners	4	150
Bri_Ballista_Bastion	emp_iceni	2	100
Bri_Ballista_Bastion	rom_iceni	2	100
Bri_Onager_Bastion	emp_iceni	2	50
Bri_Onager_Bastion	rom_iceni	2	50
Bri_Scorpion_Bastion	emp_iceni	4	150
Bri_Scorpion_Bastion	rom_iceni	4	150
Car_Ballista_Bastion	pun_carthage	2	100
Car_Ballista_Bastion	rom_carthage	2	100
Car_Onager_Bastion	pun_carthage	2	50
Car_Onager_Bastion	rom_carthage	2	50
Car_Polybolos_Bastion	rom_carthage	2	100
Car_Scorpion_Bastion	pun_carthage	4	150
Car_Scorpion_Bastion	rom_carthage	4	150
Cel_Ballista_Bastion	gaul_arverni	2	100
Cel_Ballista_Bastion	gaul_nervii	2	100
Cel_Ballista_Bastion	rom_arverni	2	100
Cel_Ballista_Bastion	rom_boii	2	100
Cel_Ballista_Bastion	rom_galatia	2	100
Cel_Ballista_Bastion	rom_nervii	2	100
Cel_Ballista_Bastion	rom_tylis	2	100
Cel_Onager_Bastion	gaul_arverni	2	50
Cel_Onager_Bastion	gaul_nervii	2	50
Cel_Onager_Bastion	rom_arverni	2	50
