key	animation	entity	mount_armour	variant	audio_armour_type
#mounts_tables;3;db/mounts_tables/mounts					
3c_Ala_Winged_Horse_Lance	rome_mount_horse_lance	rome_horse_medium	0	3c_Ala_Winged_Horse	body
3c_Ala_Winged_Horse_Spear	rome_mount_horse_spear_shield	rome_horse_medium	0	3c_Ala_Winged_Horse	body
3c_Eas_Eastern_Horse_Spear	rome_mount_horse_spear_shield	rome_horse_medium	0	3c_Eas_Eastern_Horse	body
3c_Eas_Eastern_Horse_Sword	rome_mount_horse_sword_shield	rome_horse_medium	0	3c_Eas_Eastern_Horse	body
3c_Eas_Eastern_Noble_Horse_Spear	rome_mount_horse_spear_shield	rome_horse_heavy	0	3c_Sas_Cataphract_Horse	body
3c_Eas_Eastern_Noble_Horse_Sword	rome_mount_horse_sword_shield	rome_horse_heavy	0	3c_Sas_Cataphract_Horse	body
3c_Got_Greuthungi_Horse	rome_mount_horse_spear_shield	rome_horse_medium	0	3c_Got_Greuthungi_Horse	body
3c_Got_Greuthungi_Horse_Lance	rome_mount_horse_lance	rome_horse_medium	0	3c_Got_Greuthungi_Horse	body
3c_Pal_Cataphract_Horse	rome_mount_horse_lance	rome_horse_very_heavy	0	3c_Pal_Cataphract_Horse	segmented
3c_Rom_Catafractarii_Horse	rome_mount_horse_lance	rome_horse_very_heavy	0	3c_Rom_Catafractarii_Horse	segmented
3c_Rom_Horse_Mask_Spear	rome_mount_horse_spear_shield	rome_horse_heavy	0	3c_Rom_Horse_Mask	body
3c_Rom_Horse_Mask_Sword	rome_mount_horse_sword_shield	rome_horse_heavy	0	3c_Rom_Horse_Mask	body
3c_Sas_Cataphract_Horse_Full	rome_mount_horse_lance	rome_horse_very_heavy	0	3c_Sas_Cataphract_Horse_Full	segmented
3c_Sas_Cataphract_Horse_Officer	rome_mount_horse_sword	rome_horse_very_heavy	0	3c_Sas_Officer_Horse	segmented
3c_Sas_Masked_Horse_Half	rome_mount_horse_sword_shield	rome_horse_heavy	0	3c_Sas_Cataphract_Horse	segmented
_test_horse	rome_mount_horse_sword	rome_horse_medium	0	_test_horse	body
african_elephant	rome_mount_elephant	elephant	0	Elephant_African	body
african_tower_elephant	rome_mount_elephant	elephant	0	Elephant_African_Tower	body
carthaginian_horse	rome_mount_horse	rome_horse_medium	0	Roman_Horse	body
cataphract_elite_horse	rome_mount_horse_lance	rome_horse_super_heavy	0	Horse_Cataphract_Elite	segmented
cataphract_half_horse	rome_mount_horse_sword	rome_horse_very_heavy	0	Horse_Cataphract_Half	segmented
cataphract_horse	rome_mount_horse_lance	rome_horse_super_heavy	0	Horse_Cataphract	segmented
indian_armoured_elephant	rome_mount_elephant	indian_armoured_elephant	0	Elephant_Indian_Armoured	segmented
indian_elephant	rome_mount_elephant	indian_elephant	0	Elephant_Indian	body
inv_ven_horse_heavy_spear	rome_mount_horse_spear_shield	rome_horse_venetian_heavy	0	inv_ven_horse	body
inv_ven_horse_heavy_sword	rome_mount_horse_sword_shield	rome_horse_venetian_heavy	0	inv_ven_horse	body
inv_ven_horse_light_lance	rome_mount_horse_lance	rome_horse_venetian_light	0	inv_ven_horse	body
inv_ven_horse_light_spear	rome_mount_horse_spear_shield	rome_horse_venetian_light	0	inv_ven_horse	body
inv_ven_horse_light_sword	rome_mount_horse_sword_shield	rome_horse_venetian_light	0	inv_ven_horse	body
pel_greek_horse_h	rome_mount_horse_lance	rome_horse_medium_shock	0	Pel_Greek_Horse	body
pel_greek_horse_l	rome_mount_horse_lance	rome_horse_light_shock	0	Pel_Greek_Horse	body
pel_persian_horse_h	rome_mount_horse_lance	rome_horse_heavy_shock	0	Pel_Persian_Horse	body
pel_persian_horse_l	rome_mount_horse_spear_shield	rome_horse_light	0	Pel_Persian_Horse	body
pel_thracian_horse_h	rome_mount_horse_spear_shield	rome_horse_heavy	0	Pel_Thracian_Horse	body
pel_thracian_horse_l	rome_mount_horse_sword_shield	rome_horse_light	0	Pel_Thracian_Horse	body
roman_camel	rome_mount_camel	rome_camel	0	Camel_Roman	body
roman_camel_spear	rome_mount_camel_spear	rome_camel	0	Camel_Roman	body
roman_horse_lance	rome_mount_horse_lance	rome_horse_medium	0	Roman_Horse	body
roman_horse_spear_shield	rome_mount_horse_spear_shield	rome_horse_medium	0	Roman_Horse	body
roman_horse_sword	rome_mount_horse_sword	rome_horse_medium	0	Roman_Horse	body
roman_horse_sword_shield	rome_mount_horse_sword_shield	rome_horse_medium	0	Roman_Horse	body
rome_camel_cataphract	rome_mount_camel_lance	rome_camel_cataphract	0	Camel_Roman	segmented
rome_camel_lance	rome_mount_camel_lance	rome_camel	0	Camel_Roman	body
rome_celtic_chariot_horse	rome_mount_horse_sword	rome_horse_medium	0	Horse_Celtic_Chariot	body
