event	culture	movie	id
#movie_event_strings_tables;0;db/movie_event_strings_tables/movie_event_strings			
civil_war_begin_barb	rom_Barbarian	RomeII/civil_war_begin_barb.bik	700
civil_war_begin_east	rom_Eastern	RomeII/civil_war_begin_east_egypt.bik	699
civil_war_begin_hellen_egypt	rom_Hellenistic	RomeII/civil_war_begin_east_egypt.bik	764
civil_war_begin_hellen	rom_Hellenistic	RomeII/civil_war_begin_rome_hellen.bik	696
civil_war_begin_rome	rom_Roman	RomeII/civil_war_begin_rome_hellen.bik	397
civil_war_ends_barb	rom_Barbarian	RomeII/civil_war_end_barb.bik	735
civil_war_ends_east	rom_Eastern	RomeII/civil_war_end_east.bik	726
civil_war_ends_hellen_egypt	rom_Hellenistic	RomeII/civil_war_end_egypt.bik	718
civil_war_ends_hellen	rom_Hellenistic	RomeII/civil_war_end_hellen.bik	768
civil_war_ends_rome	rom_Roman	RomeII/civil_war_end_hellen.bik	709
faction_win_3c_alani	rom_Barbarian	RomeII/faction_win_ed_alani.bik	1051
faction_win_3c_armenia	rom_Eastern	RomeII/faction_win_ed_armenia.bik	1061
faction_win_3c_gallicemp	rom_Roman	RomeII/faction_win_ed_gallic_rome.bik	1027
faction_win_3c_gothi	rom_Barbarian	RomeII/faction_win_ed_gothi.bik	1053
faction_win_3c_palmyra	rom_Roman	RomeII/faction_win_ed_palmyra.bik	1033
faction_win_3c_rome	rom_Roman	RomeII/faction_win_ed_rome.bik	1017
faction_win_3c_sassanid	rom_Eastern	RomeII/faction_win_ed_sassinid.bik	1041
faction_win_barb	rom_Barbarian	RomeII/faction_win_barb.bik	737
faction_win_east	rom_Eastern	RomeII/faction_win_east.bik	745
faction_win_emp_antony	rom_Roman	RomeII/imp_aug_win_ant.bik	1009
faction_win_emp_lepidus	rom_Roman	RomeII/imp_aug_win_lep.bik	1012
faction_win_emp_octavian	rom_Roman	RomeII/imp_aug_win_oct.bik	1005
faction_win_emp_pompey	rom_Roman	RomeII/imp_aug_win_pom.bik	1013
faction_win_hellen_egypt	rom_Hellenistic	RomeII/faction_win_egypt.bik	750
faction_win_hellen	rom_Hellenistic	RomeII/faction_win_hellen.bik	751
faction_win_inv_insubres	rom_Barbarian	RomeII/faction_win_inv_gallic.bik	1147
faction_win_inv_iolei	rom_Barbarian	RomeII/faction_win_inv_iolei.bik	1170
faction_win_inv_rome	rom_Roman	RomeII/faction_win_inv_rome.bik	1127
faction_win_inv_samnites	rom_Roman	RomeII/faction_win_inv_samnites.bik	1155
faction_win_inv_senones	rom_Barbarian	RomeII/faction_win_inv_gallic.bik	1141
faction_win_inv_syracuse	rom_Hellenistic	RomeII/faction_win_inv_greek.bik	1180
faction_win_inv_taranto	rom_Hellenistic	RomeII/faction_win_inv_greek.bik	1160
faction_win_inv_tarchuna	rom_Roman	RomeII/faction_win_inv_tarchuna.bik	1132
faction_win_inv_veneti	rom_Roman	RomeII/faction_win_inv_gallic.bik	1149
faction_win_pun_carthage	rom_Hellenistic	RomeII/hangates_carthage_win.bik	995
faction_win_pun_rome	rom_Roman	RomeII/hangates_rome_win.bik	990
