key	budget	budget_size_key	land	siege_defender
#mp_budgets_tables;0;db/mp_budgets_tables/mp_budgets				
ambush_custom	100000	custom	true	false
ambush_huge	16000	huge	true	false
ambush_large	11700	large	true	false
ambush_medium	7800	medium	true	false
ambush_small	4500	small	true	false
city_custom	100000	custom	true	true
city_huge	16000	huge	true	true
city_large	11700	large	true	true
city_medium	7800	medium	true	true
city_small	4500	small	true	true
coastal_custom	100000	custom	false	false
coastal_huge	16000	huge	false	false
coastal_large	11700	large	false	false
coastal_medium	7800	medium	false	false
coastal_small	4500	small	false	false
land_custom	100000	custom	true	false
land_huge	16000	huge	true	false
land_large	11700	large	true	false
land_medium	7800	medium	true	false
land_small	4500	small	true	false
naval_custom	100000	custom	false	false
naval_huge	16000	huge	false	false
naval_large	11700	large	false	false
naval_medium	7800	medium	false	false
naval_small	4500	small	false	false
port_custom	100000	custom	false	true
port_huge	16000	huge	false	true
port_large	11700	large	false	true
port_medium	7800	medium	false	true
port_small	4500	small	false	true
river_crossing_custom	100000	custom	true	false
river_crossing_huge	16000	huge	true	false
river_crossing_large	11700	large	true	false
river_crossing_medium	7800	medium	true	false
river_crossing_small	4500	small	true	false
unfortified_port_custom	100000	custom	false	true
unfortified_port_huge	16000	huge	false	true
unfortified_port_large	11700	large	false	true
unfortified_port_medium	7800	medium	false	true
unfortified_port_small	4500	small	false	true
unfortified_town_custom	100000	custom	true	true
unfortified_town_huge	16000	huge	true	true
unfortified_town_large	11700	large	true	true
unfortified_town_medium	7800	medium	true	true
unfortified_town_small	4500	small	true	true
