name_group	order	type
#name_orders_tables;0;db/name_orders_tables/name_orders		
170	1	clan_name
175	1	clan_name
184	1	clan_name
46	1	clan_name
55	1	clan_name
63	1	clan_name
64	1	clan_name
100	2	clan_name
108	2	clan_name
115	2	clan_name
125	2	clan_name
131	2	clan_name
141	2	clan_name
48	2	clan_name
73	2	clan_name
81	2	clan_name
87	2	clan_name
97	2	clan_name
141	1	family_name
170	2	family_name
175	2	family_name
184	2	family_name
46	2	family_name
55	2	family_name
63	2	family_name
64	2	family_name
100	3	family_name
108	3	family_name
115	3	family_name
125	3	family_name
131	3	family_name
48	3	family_name
73	3	family_name
81	3	family_name
87	3	family_name
97	3	family_name
100	0	forename
108	0	forename
115	0	forename
125	0	forename
131	0	forename
141	0	forename
170	0	forename
175	0	forename
184	0	forename
46	0	forename
48	0	forename
55	0	forename
63	0	forename
64	0	forename
73	0	forename
81	0	forename
87	0	forename
97	0	forename
100	1	other
108	1	other
115	1	other
125	1	other
131	1	other
48	1	other
73	1	other
81	1	other
87	1	other
97	1	other
141	3	other
170	3	other
175	3	other
184	3	other
46	3	other
55	3	other
63	3	other
64	3	other
