key	effect_name
#naval_effects_tables;0;db/naval_effects_tables/naval_effects	
beaching_heavy	library_vfx_naval_beaching_heavy
beaching_light	library_vfx_naval_beaching_heavy
beaching_medium	library_vfx_naval_beaching_heavy
bow_wave_heavy	naval_vfx_bow_wave_heavy
bow_wave_light	naval_vfx_bow_wave_light
bow_wave_medium	naval_vfx_bow_wave_medium
hull_splash	naval_vfx_hull_splashes
naval_fire_large	action_vfx_fire_smoke_large_loop
naval_fire_medium	action_vfx_fire_smoke_medium_loop
naval_fire_small	action_vfx_fire_smoke_small_loop
naval_smoke	naval_vfx_damage_smoke
oar_splash	naval_vfx_oar_splashes
ramming_heavy	naval_vfx_ramming_heavy
ramming_light	naval_vfx_ramming_light
ramming_medium	naval_vfx_ramming_heavy
stern_wash_heavy	
stern_wash_light	
stern_wash_medium	
