key	campaign_action_points	category	class	historical_description_text	ship	short_description_text	strengths_&_weaknesses_text	unit_type_icon	supports_first_person	primary_naval_weapon	secondary_naval_weapon	rank_depth	attribute_groups	can_board	unit_card	is_composite	ignition_threshold	can_ram
#naval_units_tables;17;db/naval_units_tables/naval_units																		
3c_barbarian_greek_five	4500	medium_ship	shp_mis	roman_five	barbarian_greek_five	roman_five	barbarian_five		false			1		true	3c_Ship_Quadreme	true	704	true
3c_barbarian_heavy_raider	4500	medium_ship	shp_mel	barbarian_heavy_raider	barbarian_heavy_raider	barbarian_heavy_raider	heavy_raider		false			1		true	3c_Ship_Heavy_Raider	true	1032	false
3c_barbarian_medium_raider_melee	4500	medium_ship	shp_mel	barbarian_heavy_raider	barbarian_medium_raider	barbarian_medium_raider_melee	medium_raider_melee		false			1		true	3c_Ship_Medium_Raider	true	854	false
3c_barbarian_medium_raider_ranged	4500	medium_ship	shp_mis	barbarian_heavy_raider	barbarian_medium_raider	barbarian_medium_raider_ranged	medium_raider_ranged		false			1		true	3c_Ship_Medium_Raider	true	854	false
3c_barbarian_persian_four	4500	medium_ship	shp_mel	roman_four	barbarian_persian_four	roman_four	barbarian_four		false			1		true	3c_Ship_Quadreme	true	608	true
3c_barbarian_raider_melee	4500	medium_ship	shp_mel	barbarian_heavy_raider	barbarian_raider	barbarian_raider_melee	raider_melee		false			1		true	3c_Ship_Raider	true	700	false
3c_barbarian_raider_ranged	4500	medium_ship	shp_mis	barbarian_heavy_raider	barbarian_raider	barbarian_raider_ranged	raider_ranged		false			1		true	3c_Ship_Raider	true	700	false
3c_barbarian_roman_ballista_five	4500	medium_ship	shp_art	roman_five	barbarian_roman_five_art	roman_ballista_five	ballista_five		false			1		true	3c_Ship_Quadreme_Ballista	false	654	true
3c_barbarian_roman_onager_five	4500	medium_ship	shp_art	roman_five	barbarian_roman_five_art	egyptian_onager_five	onager_five		false			1		true	3c_Ship_Quadreme_Onager	false	654	true
3c_barbarian_transport	4500	light_ship	shp_trn	barbarian_heavy_raider	barbarian_transport	barbarian_transport	barbarian_transport		false			1		true	3c_Ship_Heavy_Raider	true	512	false
3c_barbarian_transport_small	4500	light_ship	shp_trn	roman_transport	barbarian_transport_small	roman_transport	transport		false			1		true	3c_Ship_Medium_Raider	true	300	false
3c_egyptian_ballista_five	4500	medium_ship	shp_art	roman_five	egyptian_five_art	roman_ballista_five	ballista_five		false			1		true	3c_Ship_Quadreme	false	510	true
3c_egyptian_double_hft_eight	4500	heavy_ship	shp_mel	greek_seven	egyptian_eight	egyptian_double_hft_eight	double_hft_eight		false	egyptian_heavy_tower	egyptian_heavy_tower	1		true	3c_Ship_Octeres_Heavy_Tower	false	1026	true
3c_egyptian_eight	4500	heavy_ship	shp_mel	greek_seven	egyptian_eight	egyptian_eight	eight		false			1		true	3c_Ship_Octeres	true	1026	true
3c_egyptian_fire_pot_two	4500	light_ship	shp_mel	roman_two	egyptian_two	greek_fire_pot_two	fire_pot_two		false	fire_pots		1		true	3c_Ship_Hemiolia_Fire_Pot	false	251	true
3c_egyptian_five	4500	medium_ship	shp_mis	roman_five	egyptian_five	roman_five	five		false			1		true	3c_Ship_Quadreme	true	510	true
3c_egyptian_lft_five	4500	medium_ship	shp_mis	roman_five	egyptian_five	egyptian_lft_five	lft_five		false	egyptian_fighting_tower		1		true	3c_Ship_Quadreme_Tower	false	510	true
3c_egyptian_onager_five	4500	medium_ship	shp_art	roman_five	egyptian_five_art	egyptian_onager_five	onager_five		false			1		true	3c_Ship_Quadreme_Onager	false	510	true
