id	steamid	description	release_order
#pdlc_tables;3;db/pdlc_tables/pdlc			
beasts_of_war	267630	Beasts of War	5
black_sea	297831	Black Sea Colonies	9
blood_gore	259800	Blood & Gore	3
caesar_in_gaul	261050	Caesar in Gaul	4
daughters_of_mars	297830	Daughters of Mars	8
desert_kingdoms	792520	Desert Kingdoms	12
empire_divided	694880	Empire Divided	11
gallic_invasion	850010	Rise of the Republic	13
greek_states	212301	Greek States	1
hannibal_at_the_gates	273380	Hannibal at the Gates	6
nomadic_tribes	258270	Nomadic Tribes	2
pirates_raiders	273381	Pirates & Raiders	8
wrath_of_sparta	327280	Wrath of Sparta	10
