action	effect_bundle	duration
#political_actions_effect_bundles_tables;2;db/political_actions_effect_bundles_tables/political_actions_effect_bundles		
CAMPAIGN_POLITICS_ACTION_TYPE_DIVORCE	political_action_divorce	2
CAMPAIGN_POLITICS_ACTION_TYPE_FLIRT_INITIATOR	political_action_flirt_initiator	2
CAMPAIGN_POLITICS_ACTION_TYPE_FLIRT_INITIATOR_SPOUSE	political_action_flirt_initiator_spouse	2
CAMPAIGN_POLITICS_ACTION_TYPE_FLIRT_TARGET_SPOUSE	political_action_flirt_target_spouse	2
CAMPAIGN_POLITICS_ACTION_TYPE_LEISURE_TIME	political_action_leisure_time	1
CAMPAIGN_POLITICS_ACTION_TYPE_PROVOKE	political_action_provoke	4
CAMPAIGN_POLITICS_ACTION_TYPE_SECURE_LOYALTY_TARGET_CHARACTER	political_action_secure_loyalty_target	2
CAMPAIGN_POLITICS_ACTION_TYPE_SEEK_SPOUSE	political_action_seek_spouse	3
organize_games	political_action_organize_games	3
send_emissary	political_action_send_emissary	3
