bundle_key	loyalty
#political_parties_loyalty_effect_bundles_tables;0;db/political_parties_loyalty_effect_bundles_tables/political_parties_loyalty_effect_bundles	
loyalty_effect_bundle_character_tier_1	10
loyalty_effect_bundle_tier_1	10
loyalty_effect_bundle_character_tier_2	20
loyalty_effect_bundle_tier_2	20
loyalty_effect_bundle_character_tier_3	30
loyalty_effect_bundle_tier_3	30
loyalty_effect_bundle_character_tier_4	40
loyalty_effect_bundle_tier_4	40
loyalty_effect_bundle_character_tier_5	50
loyalty_effect_bundle_tier_5	50
