effect_bundle	political_party_key	power_level
#political_parties_power_effect_bundles_tables;0;db/political_parties_power_effect_bundles_tables/political_parties_power_effect_bundles		
political_support_average	3c_politics_alani_ruler	45
political_support_best	3c_politics_alani_ruler	60
political_support_high	3c_politics_alani_ruler	70
political_support_low	3c_politics_alani_ruler	30
political_support_max	3c_politics_alani_ruler	90
political_support_min	3c_politics_alani_ruler	0
political_support_very_high	3c_politics_alani_ruler	80
political_support_very_low	3c_politics_alani_ruler	15
political_support_average	3c_politics_armenia_ruler	45
political_support_best	3c_politics_armenia_ruler	60
political_support_high	3c_politics_armenia_ruler	70
political_support_low	3c_politics_armenia_ruler	30
political_support_max	3c_politics_armenia_ruler	90
political_support_min	3c_politics_armenia_ruler	0
political_support_very_high	3c_politics_armenia_ruler	80
political_support_very_low	3c_politics_armenia_ruler	15
political_support_average	3c_politics_caledones_ruler	45
political_support_best	3c_politics_caledones_ruler	60
political_support_high	3c_politics_caledones_ruler	70
political_support_low	3c_politics_caledones_ruler	30
political_support_max	3c_politics_caledones_ruler	90
political_support_min	3c_politics_caledones_ruler	0
political_support_very_high	3c_politics_caledones_ruler	80
political_support_very_low	3c_politics_caledones_ruler	15
political_support_average	3c_politics_gallicemp_ruler	45
political_support_best	3c_politics_gallicemp_ruler	60
political_support_high	3c_politics_gallicemp_ruler	70
political_support_low	3c_politics_gallicemp_ruler	30
political_support_max	3c_politics_gallicemp_ruler	90
political_support_min	3c_politics_gallicemp_ruler	0
political_support_very_high	3c_politics_gallicemp_ruler	80
political_support_very_low	3c_politics_gallicemp_ruler	15
political_support_average	3c_politics_gothi_ruler	45
political_support_best	3c_politics_gothi_ruler	60
political_support_high	3c_politics_gothi_ruler	70
political_support_low	3c_politics_gothi_ruler	30
political_support_max	3c_politics_gothi_ruler	90
political_support_min	3c_politics_gothi_ruler	0
political_support_very_high	3c_politics_gothi_ruler	80
political_support_very_low	3c_politics_gothi_ruler	15
political_support_average	3c_politics_marcomanni_ruler	45
political_support_best	3c_politics_marcomanni_ruler	60
political_support_high	3c_politics_marcomanni_ruler	70
political_support_low	3c_politics_marcomanni_ruler	30
political_support_max	3c_politics_marcomanni_ruler	90
political_support_min	3c_politics_marcomanni_ruler	0
political_support_very_high	3c_politics_marcomanni_ruler	80
political_support_very_low	3c_politics_marcomanni_ruler	15
political_support_average	3c_politics_palmyra_ruler	45
political_support_best	3c_politics_palmyra_ruler	60
political_support_high	3c_politics_palmyra_ruler	70
political_support_low	3c_politics_palmyra_ruler	30
political_support_max	3c_politics_palmyra_ruler	90
political_support_min	3c_politics_palmyra_ruler	0
political_support_very_high	3c_politics_palmyra_ruler	80
political_support_very_low	3c_politics_palmyra_ruler	15
political_support_average	3c_politics_rome_ruler	45
political_support_best	3c_politics_rome_ruler	60
political_support_high	3c_politics_rome_ruler	70
political_support_low	3c_politics_rome_ruler	30
political_support_max	3c_politics_rome_ruler	90
political_support_min	3c_politics_rome_ruler	0
political_support_very_high	3c_politics_rome_ruler	80
political_support_very_low	3c_politics_rome_ruler	15
political_support_average	3c_politics_sassanid_ruler	45
political_support_best	3c_politics_sassanid_ruler	60
political_support_high	3c_politics_sassanid_ruler	70
political_support_low	3c_politics_sassanid_ruler	30
political_support_max	3c_politics_sassanid_ruler	90
political_support_min	3c_politics_sassanid_ruler	0
political_support_very_high	3c_politics_sassanid_ruler	80
political_support_very_low	3c_politics_sassanid_ruler	15
political_support_average	3c_politics_saxones_ruler	45
political_support_best	3c_politics_saxones_ruler	60
political_support_high	3c_politics_saxones_ruler	70
political_support_low	3c_politics_saxones_ruler	30
political_support_max	3c_politics_saxones_ruler	90
