key	playable	ui_icon	effect_bundle	initial_power	r	g	b	trait1	trait2
#political_parties_tables;5;db/political_parties_tables/political_parties									
3c_politics_alani_party2	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000	polit_trait_thirst_for_power	
3c_politics_alani_party3	false	x	rom_dummy_effect_bundle	35	0.0000	158.0000	115.0000		
3c_politics_alani_party4	false	x	rom_dummy_effect_bundle	35	254.0000	229.0000	216.0000	polit_trait_militarist	
3c_politics_alani_party5	false	x	rom_dummy_effect_bundle	35	34.0000	112.0000	177.0000	polit_trait_pacifist	
3c_politics_alani_party6	false	x	rom_dummy_effect_bundle	35	229.0000	161.0000	44.0000		
3c_politics_alani_party7	false	x	rom_dummy_effect_bundle	35	237.0000	231.0000	73.0000		
3c_politics_alani_ruler	true	x	3c_faction_trait_alani	35	210.0000	99.0000	43.0000		
3c_politics_armenia_party2	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000	polit_trait_populist	polit_trait_thirst_for_power
3c_politics_armenia_party3	false	x	rom_dummy_effect_bundle	35	0.0000	158.0000	115.0000	polit_trait_hates_easterners	
3c_politics_armenia_party4	false	x	rom_dummy_effect_bundle	35	254.0000	229.0000	216.0000	polit_trait_xenophobe	
3c_politics_armenia_party5	false	x	rom_dummy_effect_bundle	35	34.0000	112.0000	177.0000	polit_trait_xenophile	polit_trait_diplomat
3c_politics_armenia_party6	false	x	rom_dummy_effect_bundle	35	229.0000	161.0000	44.0000	polit_trait_likes_greeks	
3c_politics_armenia_party7	false	x	rom_dummy_effect_bundle	35	237.0000	231.0000	73.0000	polit_trait_hates_greeks	
3c_politics_armenia_ruler	true	x	3c_faction_trait_armenia	35	210.0000	99.0000	43.0000		
3c_politics_caledones_party2	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000	polit_trait_xenophile	polit_trait_diplomat
3c_politics_caledones_party3	false	x	rom_dummy_effect_bundle	35	0.0000	158.0000	115.0000		
3c_politics_caledones_party4	false	x	rom_dummy_effect_bundle	35	254.0000	229.0000	216.0000	polit_trait_thirst_for_power	
3c_politics_caledones_party5	false	x	rom_dummy_effect_bundle	35	34.0000	112.0000	177.0000	polit_trait_pacifist	
3c_politics_caledones_party6	false	x	rom_dummy_effect_bundle	35	229.0000	161.0000	44.0000	polit_trait_militarist	polit_trait_xenophobe
3c_politics_caledones_party7	false	x	rom_dummy_effect_bundle	35	237.0000	231.0000	73.0000		
3c_politics_caledones_ruler	true	x	3c_faction_trait_caledoni	35	210.0000	99.0000	43.0000		
3c_politics_gallicemp_party2	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000	polit_trait_bigot	polit_trait_xenophobe
3c_politics_gallicemp_party3	false	x	rom_dummy_effect_bundle	35	0.0000	158.0000	115.0000	polit_trait_expansionist	
3c_politics_gallicemp_party4	false	x	rom_dummy_effect_bundle	35	254.0000	229.0000	216.0000	polit_trait_traditionalist	
3c_politics_gallicemp_party5	false	x	rom_dummy_effect_bundle	35	34.0000	112.0000	177.0000	polit_trait_thirst_for_power	
3c_politics_gallicemp_party6	false	x	rom_dummy_effect_bundle	35	229.0000	161.0000	44.0000	polit_trait_pacifist	
3c_politics_gallicemp_party7	false	x	rom_dummy_effect_bundle	35	237.0000	231.0000	73.0000	polit_trait_agriculturalist	polit_trait_populist
