government_type	political_action	is_available_for_faction_leader	is_available_for_non_ruling_party_leaders	is_available_for_non_ruling_party_members	is_available_for_ruling_party_members
#politics_government_type_political_action_junctions_tables;0;db/politics_government_type_political_action_junctions_tables/politics_government_type_political_action_junctions					
elected_monarchy	adopt	true	false	false	true
elected_monarchy	assassinate	false	true	true	true
elected_monarchy	divorce	true	true	true	true
elected_monarchy	do_a_favour	true	true	true	true
elected_monarchy	embezzle_funds	true	true	true	true
elected_monarchy	entice	true	false	false	true
elected_monarchy	flirt	true	true	true	true
elected_monarchy	gather_support	true	true	true	true
elected_monarchy	get_into_position	true	true	true	true
elected_monarchy	insult	true	false	false	true
elected_monarchy	leisure_time	true	true	true	true
elected_monarchy	make_heir	true	false	false	false
elected_monarchy	organize_games	true	true	true	true
elected_monarchy	party_provoke	false	true	false	false
elected_monarchy	party_purge	false	true	false	false
elected_monarchy	political_marriage	true	false	false	true
elected_monarchy	praise	true	false	false	true
elected_monarchy	provoke	true	true	true	true
elected_monarchy	secure_loyalty	true	true	true	true
elected_monarchy	seek_spouse	true	true	true	true
elected_monarchy	send_diplomat	false	true	true	true
elected_monarchy	send_emissary	true	true	true	true
elected_monarchy	send_gift	true	true	true	true
elected_monarchy	send_off_for_tutoring	true	false	false	false
elected_monarchy	spread_rumours	true	false	false	true
elected_monarchy	suicide	true	false	false	true
elected_monarchy	usurp_legacy	false	false	false	true
empire	adopt	true	false	false	true
empire	assassinate	false	true	true	true
empire	divorce	true	true	true	true
empire	do_a_favour	true	true	true	true
empire	embezzle_funds	true	true	true	true
empire	entice	true	false	false	true
empire	flirt	true	true	true	true
empire	gather_support	true	true	true	true
empire	get_into_position	true	true	true	true
empire	insult	true	false	false	true
empire	leisure_time	true	true	true	true
empire	make_heir	true	false	false	false
empire	organize_games	true	true	true	true
empire	party_provoke	false	true	false	false
empire	party_purge	false	true	false	false
empire	party_secure_loyalty	false	true	false	false
empire	political_marriage	true	false	false	true
empire	praise	true	false	false	true
empire	provoke	true	true	true	true
empire	secure_loyalty	true	true	true	true
empire	seek_spouse	true	true	true	true
empire	send_diplomat	false	true	true	true
empire	send_emissary	true	true	true	true
empire	send_gift	true	true	true	true
empire	send_off_for_tutoring	true	false	false	false
empire	spread_rumours	true	false	false	true
empire	suicide	true	false	false	true
empire	usurp_legacy	false	false	false	true
hereditary_monarchy	adopt	true	false	false	true
hereditary_monarchy	assassinate	false	true	true	true
hereditary_monarchy	divorce	true	true	true	true
hereditary_monarchy	do_a_favour	true	true	true	true
hereditary_monarchy	embezzle_funds	true	true	true	true
hereditary_monarchy	entice	true	false	false	true
hereditary_monarchy	flirt	true	true	true	true
hereditary_monarchy	gather_support	true	true	true	true
hereditary_monarchy	get_into_position	true	true	true	true
hereditary_monarchy	insult	true	false	false	true
hereditary_monarchy	leisure_time	true	true	true	true
hereditary_monarchy	make_heir	true	false	false	false
hereditary_monarchy	organize_games	true	true	true	true
hereditary_monarchy	party_purge	false	true	false	false
hereditary_monarchy	party_secure_loyalty	false	true	false	false
hereditary_monarchy	political_marriage	true	false	false	true
hereditary_monarchy	praise	true	false	false	true
hereditary_monarchy	provoke	true	true	true	true
hereditary_monarchy	secure_loyalty	true	true	true	true
hereditary_monarchy	seek_spouse	true	true	true	true
hereditary_monarchy	send_diplomat	false	true	true	true
hereditary_monarchy	send_emissary	true	true	true	true
hereditary_monarchy	send_gift	true	true	true	true
hereditary_monarchy	send_off_for_tutoring	true	false	false	false
hereditary_monarchy	spread_rumours	true	false	false	true
hereditary_monarchy	suicide	true	false	false	true
hereditary_monarchy	usurp_legacy	false	false	false	true
republic	adopt	true	false	false	true
republic	assassinate	false	true	true	true
republic	divorce	true	true	true	true
republic	do_a_favour	true	true	true	true
republic	embezzle_funds	true	true	true	true
republic	entice	true	false	false	true
republic	flirt	true	true	true	true
republic	gather_support	true	true	true	true
republic	get_into_position	true	true	true	true
republic	insult	true	false	false	true
republic	leisure_time	true	true	true	true
republic	make_heir	true	false	false	false
republic	organize_games	true	true	true	true
republic	party_provoke	false	true	false	false
republic	party_secure_loyalty	false	true	false	false
republic	political_marriage	true	false	false	true
republic	praise	true	false	false	true
republic	provoke	true	true	true	true
republic	secure_loyalty	true	true	true	true
republic	seek_spouse	true	true	true	true
republic	send_diplomat	false	true	true	true
republic	send_emissary	true	true	true	true
republic	send_gift	true	true	true	true
republic	send_off_for_tutoring	true	false	false	false
republic	spread_rumours	true	false	false	true
republic	suicide	true	false	false	true
republic	usurp_legacy	false	false	false	true
