key	text	type	parameter
#pre_battle_speeches_tables;1;db/pre_battle_speeches_tables/pre_battle_speeches			
S2_PBS_Allies_Clan_Ashikaga_Shogunate_Here_Adequate_01	text_rejected	0	FACTION_ASHIKAGA
S2_PBS_Allies_Clan_Ashikaga_Shogunate_Here_Adequate_02	text_rejected	0	FACTION_ASHIKAGA
S2_PBS_Allies_Clan_Ashikaga_Shogunate_Here_Adequate_03	text_rejected	0	FACTION_ASHIKAGA
S2_PBS_Allies_Clan_Ashikaga_Shogunate_Here_Strong_01	text_rejected	1	FACTION_ASHIKAGA
S2_PBS_Allies_Clan_Ashikaga_Shogunate_Here_Strong_02	text_rejected	1	FACTION_ASHIKAGA
S2_PBS_Allies_Clan_Ashikaga_Shogunate_Here_Strong_03	text_rejected	1	FACTION_ASHIKAGA
S2_PBS_Allies_Clan_Ashikaga_Shogunate_Here_Token_01	text_rejected	2	FACTION_ASHIKAGA
S2_PBS_Allies_Clan_Ashikaga_Shogunate_Here_Token_02	text_rejected	2	FACTION_ASHIKAGA
S2_PBS_Allies_Clan_Ashikaga_Shogunate_Here_Token_03	text_rejected	2	FACTION_ASHIKAGA
S2_PBS_Allies_Clan_Ashikaga_Shogunate_Near_Maybe_01	text_rejected	3	FACTION_ASHIKAGA
S2_PBS_Allies_Clan_Ashikaga_Shogunate_Near_Maybe_02	text_rejected	3	FACTION_ASHIKAGA
S2_PBS_Allies_Clan_Ashikaga_Shogunate_Near_Maybe_03	text_rejected	3	FACTION_ASHIKAGA
S2_PBS_Allies_Clan_Chosokabe_Here_Adequate_01	text_rejected	0	FACTION_CHOSOKABE
S2_PBS_Allies_Clan_Chosokabe_Here_Adequate_02	text_rejected	0	FACTION_CHOSOKABE
S2_PBS_Allies_Clan_Chosokabe_Here_Adequate_03	text_rejected	0	FACTION_CHOSOKABE
S2_PBS_Allies_Clan_Chosokabe_Here_Strong_01	text_rejected	1	FACTION_CHOSOKABE
S2_PBS_Allies_Clan_Chosokabe_Here_Strong_02	text_rejected	1	FACTION_CHOSOKABE
S2_PBS_Allies_Clan_Chosokabe_Here_Strong_03	text_rejected	1	FACTION_CHOSOKABE
S2_PBS_Allies_Clan_Chosokabe_Here_Token_01	text_rejected	2	FACTION_CHOSOKABE
S2_PBS_Allies_Clan_Chosokabe_Here_Token_02	text_rejected	2	FACTION_CHOSOKABE
S2_PBS_Allies_Clan_Chosokabe_Here_Token_03	text_rejected	2	FACTION_CHOSOKABE
S2_PBS_Allies_Clan_Chosokabe_Near_Maybe_01	text_rejected	3	FACTION_CHOSOKABE
S2_PBS_Allies_Clan_Chosokabe_Near_Maybe_02	text_rejected	3	FACTION_CHOSOKABE
S2_PBS_Allies_Clan_Chosokabe_Near_Maybe_03	text_rejected	3	FACTION_CHOSOKABE
S2_PBS_Allies_Clan_Date_Here_Adequate_01	text_rejected	0	FACTION_DATE
S2_PBS_Allies_Clan_Date_Here_Adequate_02	text_rejected	0	FACTION_DATE
S2_PBS_Allies_Clan_Date_Here_Adequate_03	text_rejected	0	FACTION_DATE
S2_PBS_Allies_Clan_Date_Here_Strong_01	text_rejected	1	FACTION_DATE
S2_PBS_Allies_Clan_Date_Here_Strong_02	text_rejected	1	FACTION_DATE
S2_PBS_Allies_Clan_Date_Here_Strong_03	text_rejected	1	FACTION_DATE
S2_PBS_Allies_Clan_Date_Here_Token_01	text_rejected	2	FACTION_DATE
S2_PBS_Allies_Clan_Date_Here_Token_02	text_rejected	2	FACTION_DATE
S2_PBS_Allies_Clan_Date_Here_Token_03	text_rejected	2	FACTION_DATE
S2_PBS_Allies_Clan_Date_Near_Maybe_01	text_rejected	3	FACTION_DATE
S2_PBS_Allies_Clan_Date_Near_Maybe_02	text_rejected	3	FACTION_DATE
S2_PBS_Allies_Clan_Date_Near_Maybe_03	text_rejected	3	FACTION_DATE
S2_PBS_Allies_Clan_Hattori_Here_Adequate_01	text_rejected	0	FACTION_HATTORI
S2_PBS_Allies_Clan_Hattori_Here_Adequate_02	text_rejected	0	FACTION_HATTORI
S2_PBS_Allies_Clan_Hattori_Here_Adequate_03	text_rejected	0	FACTION_HATTORI
S2_PBS_Allies_Clan_Hattori_Here_Strong_01	text_rejected	1	FACTION_HATTORI
S2_PBS_Allies_Clan_Hattori_Here_Strong_02	text_rejected	1	FACTION_HATTORI
S2_PBS_Allies_Clan_Hattori_Here_Strong_03	text_rejected	1	FACTION_HATTORI
S2_PBS_Allies_Clan_Hattori_Here_Token_01	text_rejected	2	FACTION_HATTORI
S2_PBS_Allies_Clan_Hattori_Here_Token_02	text_rejected	2	FACTION_HATTORI
