key	water	sails	mud	grass	road	rock	sand	cloth	snow	leather	wood	foliage	glass	blood	size	metal
#projectile_impacts_tables;5;db/projectile_impacts_tables/projectile_impacts																
arrow	impact_vfx_hit_water_small		impact_vfx_hit_mud_small	impact_vfx_hit_mud_small	impact_vfx_hit_stone_small	impact_vfx_hit_stone_small	impact_vfx_hit_sand_small	impact_vfx_hit_dust_small	impact_vfx_hit_snow_small	impact_vfx_hit_dust_small	impact_vfx_hit_wood_small			blood_arrow_v1	small	impact_vfx_hit_stone_small
arrow_fire	impact_vfx_hit_water_small		impact_vfx_hit_mud_small	impact_vfx_hit_mud_small	impact_vfx_hit_stone_small	impact_vfx_hit_stone_small	impact_vfx_hit_sand_small	impact_vfx_hit_dust_small	impact_vfx_hit_snow_small	impact_vfx_hit_dust_small	impact_vfx_hit_wood_small			blood_arrow_v1	small	impact_vfx_hit_stone_small
boiling_oil	impact_vfx_oil_impact		impact_vfx_oil_impact	impact_vfx_oil_impact	impact_vfx_oil_impact	impact_vfx_oil_impact	impact_vfx_oil_impact				impact_vfx_oil_impact				small	
carcass	impact_vfx_hit_water_standard		impact_vfx_hit_carcass	impact_vfx_hit_carcass	impact_vfx_hit_carcass	impact_vfx_hit_carcass	impact_vfx_hit_carcass		impact_vfx_hit_carcass		impact_vfx_hit_carcass				small	impact_vfx_hit_carcass
default_ball	impact_vfx_hit_water_standard		impact_vfx_hit_mud_standard	impact_vfx_hit_mud_standard	impact_vfx_hit_stone_standard	impact_vfx_hit_stone_standard	impact_vfx_hit_sand_standard	impact_vfx_hit_dust_standard	impact_vfx_hit_snow_standard	impact_vfx_hit_dust_standard	impact_vfx_hit_wood_standard			blood_rock_v1	small	impact_vfx_hit_stone_standard
large_ball	impact_vfx_hit_water_large		impact_vfx_hit_mud_large	impact_vfx_hit_mud_large	impact_vfx_hit_stone_large	impact_vfx_hit_stone_large	impact_vfx_hit_sand_large	impact_vfx_hit_dust_large	impact_vfx_hit_snow_large	impact_vfx_hit_dust_large	impact_vfx_hit_wood_large			blood_rock_v1	small	impact_vfx_hit_stone_large
large_ball_fire	impact_vfx_hit_water_large		impact_vfx_hit_mud_fire_large	impact_vfx_hit_mud_fire_large	impact_vfx_hit_stone_fire_large	impact_vfx_hit_stone_fire_large	impact_vfx_hit_sand_fire_large	impact_vfx_hit_dust_large	impact_vfx_hit_snow_fire_large	impact_vfx_hit_dust_large	impact_vfx_hit_wood_fire_large			blood_rock_v1	small	impact_vfx_hit_stone_fire_large
small_ball	impact_vfx_hit_water_small		impact_vfx_hit_mud_small	impact_vfx_hit_mud_small	impact_vfx_hit_stone_small	impact_vfx_hit_stone_small	impact_vfx_hit_sand_small	impact_vfx_hit_dust_small	impact_vfx_hit_snow_small	impact_vfx_hit_dust_small	impact_vfx_hit_wood_small			blood_slingshot_v1	small	impact_vfx_hit_stone_small
standard_ball	impact_vfx_hit_water_standard		impact_vfx_hit_mud_standard	impact_vfx_hit_mud_standard	impact_vfx_hit_stone_standard	impact_vfx_hit_stone_standard	impact_vfx_hit_sand_standard	impact_vfx_hit_dust_standard	impact_vfx_hit_snow_standard	impact_vfx_hit_dust_standard	impact_vfx_hit_wood_standard			blood_rock_v1	small	impact_vfx_hit_stone_standard
standard_ball_fire	impact_vfx_hit_water_standard		impact_vfx_hit_mud_fire_standard	impact_vfx_hit_mud_fire_standard	impact_vfx_hit_stone_fire_standard	impact_vfx_hit_stone_fire_standard	impact_vfx_hit_sand_fire_standard	impact_vfx_hit_dust_standard	impact_vfx_hit_snow_fire_standard	impact_vfx_hit_dust_standard	impact_vfx_hit_wood_fire_standard			blood_rock_v1	small	impact_vfx_hit_stone_fire_standard
