key	type	width	duration	min_aparent_width_distance	colour_r	colour_g	colour_b	opacity	fadeout_distance	distortion_cross_fade_start_distance	distortion_cross_fade_range
#projectile_trails_tables;0;db/projectile_trails_tables/projectile_trails											
additive_rocket_trail	add	0.3000	0.1000	70.0000	255.0000	38.0000	8.0000	150.0000	300.0000	0.0000	0.0000
additve_fire_arrow_trail	add	0.2000	0.0800	70.0000	255.0000	100.0000	8.0000	100.0000	300.0000	0.0000	0.0000
alpha	alpha	0.2000	0.1000	50.0000	192.0000	192.0000	192.0000	128.0000	300.0000	0.0000	0.0000
alpha_bullet	alpha	0.1000	0.0500	50.0000	192.0000	192.0000	192.0000	128.0000	300.0000	0.0000	0.0000
alpha_grenade	alpha	0.1000	0.1000	25.0000	128.0000	128.0000	128.0000	128.0000	300.0000	10.0000	10.0000
alpha_shrapnel	add	0.0500	0.0500	25.0000	192.0000	192.0000	192.0000	128.0000	300.0000	0.0000	0.0000
arrow_trail	alpha	0.1000	0.1000	25.0000	48.0000	48.0000	48.0000	128.0000	300.0000	20.0000	10.0000
hero_arrow_trail	alpha	0.1000	0.1000	25.0000	48.0000	48.0000	48.0000	128.0000	300.0000	20.0000	10.0000
naval_arrow_trail	alpha	0.1000	0.1000	25.0000	255.0000	255.0000	255.0000	128.0000	300.0000	20.0000	10.0000
none	none	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
