key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	penetration	incendiary	can_bounce	high_air_resistance	collision_radius	base_reload_time	below_waterline_damage_modifier	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_cavalry	bonus_v_elephant	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	is_grapple
#projectiles_tables;20;db/projectiles_tables/projectiles																																	
animal_carcass	artillery	artillery_poison	carcass_explosion	none	1	low	350	40	60	-1.0000	5.0000	0.0000	10	0	medium		false	false	0.5000	20.0000	0.0000	200.0000	50.0000	0	0	0	animal_carcass		carcass	1.5000	false	poison_weapon_effect	false
animal_carcass_bastion	artillery	artillery_poison	carcass_explosion	none	1	low	400	40	60	-1.0000	5.0000	0.0000	10	0	medium		false	false	0.5000	20.0000	0.0000	200.0000	40.0000	0	0	0	animal_carcass		carcass	1.5000	false	poison_weapon_effect	false
animal_carcass_debris	misc	explosives		grenade_spin	1	low	50	25	88	10.0000	5.0000	0.0000	0	5	medium		false	true	0.0080	0.0000	0.0000	50.0000	1.0000	0	0	0	animal_carcass_debris		carcass_debris	-1.0000	false		false
animal_carcass_onager_large	artillery	artillery_poison	carcass_explosion	none	3	low	480	50	60	-1.0000	5.0000	6.0000	20	0	medium		false	false	0.5000	27.0000	0.0000	200.0000	50.0000	0	0	0	animal_carcass		carcass	1.5000	false	poison_weapon_effect	false
arrow_composite	arrow	small_arm_default		none	1	low	150	0	88	45.0000	30.0000	0.0000	36	4			false	false	0.1000	12.0000	0.0000	50.0000	1.0000	0	0	0	arrow_eastern		arrow	-1.0000	false		false
arrow_composite_heavy	arrow	small_arm_heavy		none	1	low	110	0	88	45.0000	30.0000	0.0000	32	8			false	false	0.1000	12.0000	0.0000	50.0000	1.0000	0	0	0	arrow_eastern		arrow	-1.0000	false		false
arrow_composite_horse	arrow	small_arm_default		none	1	low	125	0	88	45.0000	30.0000	0.0000	36	4			false	false	0.1000	12.0000	0.0000	50.0000	1.0000	0	0	0	arrow_eastern		arrow	-1.0000	false		false
arrow_composite_horse_heavy	arrow	small_arm_heavy		none	1	low	100	0	88	45.0000	30.0000	0.0000	32	8			false	false	0.1000	12.0000	0.0000	50.0000	1.0000	0	0	0	arrow_eastern		arrow	-1.0000	false		false
arrow_fighting_tower	arrow	small_arm_flaming		none	1	low	125	10	88	45.0000	30.0000	0.0000	30	2		very_high	false	false	0.1000	6.0000	0.0000	50.0000	1.0000	0	0	0	arrow_flaming		arrow_flaming	-1.0000	false		false
