mercenary_set	province	optional_campaign_key
#province_to_mercenary_set_junctions_tables;1;db/province_to_mercenary_set_junctions_tables/province_to_mercenary_set_junctions		
3c_province_pool_hellas	emp_achaia	main_3c
rom_province_pool_hellas	emp_achaia	main_emperor
rom_province_pool_naval_hellas	emp_achaia	main_emperor
3c_province_pool_aegyptos	emp_aegyptos	main_3c
3c_province_pool_naval_aegyptos	emp_aegyptos	main_3c
rom_province_pool_aegyptos	emp_aegyptos	main_emperor
rom_province_pool_naval_aegyptos	emp_aegyptos	main_emperor
3c_province_pool_aethiopia	emp_aethiopia	main_3c
3c_province_pool_naval_aethiopia	emp_aethiopia	main_3c
rom_province_pool_aethiopia	emp_aethiopia	main_emperor
rom_province_pool_naval_aithiops	emp_aethiopia	main_emperor
3c_province_pool_africa	emp_africa	main_3c
3c_province_pool_naval_africa	emp_africa	main_3c
rom_province_pool_africa	emp_africa	main_emperor
3c_province_pool_galia	emp_aquitania	main_3c
rom_province_pool_aquitania	emp_aquitania	main_emperor
3c_province_pool_arabia	emp_arabia_felix	main_3c
3c_province_pool_naval_arabia	emp_arabia_felix	main_3c
rom_province_pool_arabia_felix	emp_arabia_felix	main_emperor
rom_province_pool_naval_arabia_felix	emp_arabia_felix	main_emperor
3c_province_pool_arabia	emp_arabia_magna	main_3c
3c_province_pool_naval_arabia	emp_arabia_magna	main_3c
rom_province_pool_arabia_magna	emp_arabia_magna	main_emperor
rom_province_pool_naval_arabia_magna	emp_arabia_magna	main_emperor
3c_province_pool_aria_and_gedrosia	emp_aria	main_3c
rom_province_pool_aria	emp_aria	main_emperor
3c_province_pool_armenia	emp_armenia	main_3c
rom_province_pool_armenia	emp_armenia	main_emperor
3c_province_pool_asia	emp_asia	main_3c
3c_province_pool_naval_roman	emp_asia	main_3c
rom_province_pool_asia	emp_asia	main_emperor
rom_province_pool_naval_asia	emp_asia	main_emperor
3c_province_pool_aria_and_gedrosia	emp_bactria	main_3c
rom_province_pool_bactria	emp_bactria	main_emperor
3c_province_pool_hispania	emp_baetica	main_3c
rom_province_pool_baetica	emp_baetica	main_emperor
3c_province_pool_galia	emp_belgica	main_3c
rom_province_pool_belgica	emp_belgica	main_emperor
3c_province_pool_pontus	emp_bithynia_et_pontus	main_3c
rom_province_pool_bithynia_et_pontus	emp_bithynia_et_pontus	main_emperor
rom_province_pool_naval_bithynia	emp_bithynia_et_pontus	main_emperor
3c_province_pool_naval_pontus_and_thracia	emp_bosporus	main_3c
3c_province_pool_naval_sarmatia_and_bosporous	emp_bosporus	main_3c
3c_province_pool_steppe	emp_bosporus	main_3c
rom_province_pool_bosporus	emp_bosporus	main_emperor
rom_province_pool_naval_bosporus	emp_bosporus	main_emperor
3c_province_pool_britannia	emp_britannia	main_3c
rom_province_pool_britannia	emp_britannia	main_emperor
3c_province_pool_persia	emp_carmania	main_3c
rom_province_pool_carmania	emp_carmania	main_emperor
3c_province_pool_armenia	emp_caucasia	main_3c
3c_province_pool_naval_pontus_and_thracia	emp_caucasia	main_3c
