key	effect_bundle	order	icon_path	campaign_vfx_id
#provincial_initiative_records_tables;2;db/provincial_initiative_records_tables/provincial_initiative_records				
rom_initiative_barbarian_migration	rom_initiative_barbarian_migration	5	icon_initiative_encourage_migration	settlement_province_edict_population
rom_initiative_barbarian_tribute	rom_initiative_barbarian_tribute	1	icon_initiative_demand_tribute	settlement_province_edict_money
rom_initiative_eastern_conscripts	rom_initiative_eastern_conscripts	5	icon_initiative_mass_conscription	settlement_province_edict_military
rom_initiative_festival	rom_initiative_festival	3	icon_initiative_host_games	settlement_province_edict_population
rom_initiative_hellenic_liturgies	rom_initiative_hellenic_liturgies	5	icon_initiative_promote_euergetism	settlement_province_edict_military
rom_initiative_mercenaries	rom_initiative_mercenaries	5	icon_initiative_rally_mercenaries	settlement_province_edict_military
rom_initiative_non_barbarian_taxes	rom_initiative_non_barbarian_taxes	1	icon_initiative_levy_taxes	settlement_province_edict_money
rom_initiative_political_party_loyalty	rom_initiative_political_party_loyalty	1	icon_initiative_political_party_loyalty	settlement_province_edict_money
rom_initiative_roman_romanisation	rom_initiative_roman_romanisation	5	icon_initiative_romanisation	settlement_province_edict_population
rom_initiative_trade	rom_initiative_trade	4	icon_initiative_hold_market_fair	settlement_province_edict_money
