provincial_initiative_key	subculture
#provincial_initiatives_to_subculture_junctions_tables;0;db/provincial_initiatives_to_subculture_junctions_tables/provincial_initiatives_to_subculture_junctions	
rom_initiative_barbarian_migration	sc_rom_barb_east
rom_initiative_barbarian_migration	sc_rom_british
rom_initiative_barbarian_migration	sc_rom_celtiberian
rom_initiative_barbarian_migration	sc_rom_celtic
rom_initiative_barbarian_migration	sc_rom_daco_thracian
rom_initiative_barbarian_migration	sc_rom_gaul
rom_initiative_barbarian_migration	sc_rom_germanic
rom_initiative_barbarian_migration	sc_rom_illyrian
rom_initiative_barbarian_migration	sc_rom_italic
rom_initiative_barbarian_migration	sc_rom_nuragic
rom_initiative_barbarian_tribute	sc_rom_african_arabian
rom_initiative_barbarian_tribute	sc_rom_barb_east
rom_initiative_barbarian_tribute	sc_rom_british
rom_initiative_barbarian_tribute	sc_rom_celtiberian
rom_initiative_barbarian_tribute	sc_rom_celtic
rom_initiative_barbarian_tribute	sc_rom_daco_thracian
rom_initiative_barbarian_tribute	sc_rom_gaul
rom_initiative_barbarian_tribute	sc_rom_germanic
rom_initiative_barbarian_tribute	sc_rom_illyrian
rom_initiative_barbarian_tribute	sc_rom_italic
rom_initiative_barbarian_tribute	sc_rom_numidian
rom_initiative_barbarian_tribute	sc_rom_nuragic
rom_initiative_eastern_conscripts	sc_rom_african_arabian
rom_initiative_eastern_conscripts	sc_rom_eastern
rom_initiative_eastern_conscripts	sc_rom_numidian
rom_initiative_eastern_conscripts	sc_rom_parthian
rom_initiative_eastern_conscripts	sc_rom_pontic
rom_initiative_festival	sc_rom_african_arabian
rom_initiative_festival	sc_rom_barb_east
rom_initiative_festival	sc_rom_british
rom_initiative_festival	sc_rom_carthaginian
rom_initiative_festival	sc_rom_celtiberian
rom_initiative_festival	sc_rom_celtic
rom_initiative_festival	sc_rom_daco_thracian
rom_initiative_festival	sc_rom_eastern
rom_initiative_festival	sc_rom_egyptian
rom_initiative_festival	sc_rom_etruscan
rom_initiative_festival	sc_rom_gaul
rom_initiative_festival	sc_rom_germanic
rom_initiative_festival	sc_rom_greek
rom_initiative_festival	sc_rom_illyrian
rom_initiative_festival	sc_rom_italic
rom_initiative_festival	sc_rom_numidian
rom_initiative_festival	sc_rom_nuragic
rom_initiative_festival	sc_rom_parthian
rom_initiative_festival	sc_rom_pontic
rom_initiative_festival	sc_rom_roman
rom_initiative_hellenic_liturgies	sc_rom_african_arabian
rom_initiative_hellenic_liturgies	sc_rom_carthaginian
rom_initiative_hellenic_liturgies	sc_rom_egyptian
rom_initiative_hellenic_liturgies	sc_rom_etruscan
rom_initiative_hellenic_liturgies	sc_rom_greek
rom_initiative_mercenaries	sc_rom_carthaginian
rom_initiative_mercenaries	sc_rom_egyptian
rom_initiative_mercenaries	sc_rom_greek
rom_initiative_mercenaries	sc_rom_italic
rom_initiative_mercenaries	sc_rom_nuragic
rom_initiative_non_barbarian_taxes	sc_rom_carthaginian
rom_initiative_non_barbarian_taxes	sc_rom_eastern
rom_initiative_non_barbarian_taxes	sc_rom_egyptian
rom_initiative_non_barbarian_taxes	sc_rom_etruscan
rom_initiative_non_barbarian_taxes	sc_rom_greek
rom_initiative_non_barbarian_taxes	sc_rom_parthian
rom_initiative_non_barbarian_taxes	sc_rom_pontic
rom_initiative_non_barbarian_taxes	sc_rom_roman
rom_initiative_political_party_loyalty	sc_rom_african_arabian
rom_initiative_political_party_loyalty	sc_rom_barb_east
rom_initiative_political_party_loyalty	sc_rom_british
rom_initiative_political_party_loyalty	sc_rom_carthaginian
rom_initiative_political_party_loyalty	sc_rom_celtiberian
rom_initiative_political_party_loyalty	sc_rom_celtic
rom_initiative_political_party_loyalty	sc_rom_daco_thracian
rom_initiative_political_party_loyalty	sc_rom_eastern
rom_initiative_political_party_loyalty	sc_rom_egyptian
rom_initiative_political_party_loyalty	sc_rom_etruscan
rom_initiative_political_party_loyalty	sc_rom_gaul
rom_initiative_political_party_loyalty	sc_rom_germanic
rom_initiative_political_party_loyalty	sc_rom_greek
rom_initiative_political_party_loyalty	sc_rom_iapygian
rom_initiative_political_party_loyalty	sc_rom_illyrian
rom_initiative_political_party_loyalty	sc_rom_italic
rom_initiative_political_party_loyalty	sc_rom_numidian
rom_initiative_political_party_loyalty	sc_rom_nuragic
rom_initiative_political_party_loyalty	sc_rom_parthian
rom_initiative_political_party_loyalty	sc_rom_pontic
rom_initiative_political_party_loyalty	sc_rom_roman
rom_initiative_roman_romanisation	sc_rom_roman
rom_initiative_trade	sc_rom_african_arabian
rom_initiative_trade	sc_rom_barb_east
rom_initiative_trade	sc_rom_british
rom_initiative_trade	sc_rom_carthaginian
rom_initiative_trade	sc_rom_celtiberian
rom_initiative_trade	sc_rom_celtic
rom_initiative_trade	sc_rom_daco_thracian
rom_initiative_trade	sc_rom_eastern
rom_initiative_trade	sc_rom_egyptian
rom_initiative_trade	sc_rom_etruscan
rom_initiative_trade	sc_rom_gaul
rom_initiative_trade	sc_rom_germanic
rom_initiative_trade	sc_rom_greek
rom_initiative_trade	sc_rom_illyrian
rom_initiative_trade	sc_rom_numidian
rom_initiative_trade	sc_rom_parthian
rom_initiative_trade	sc_rom_pontic
rom_initiative_trade	sc_rom_roman
