key	quote_onscreen	quote_person
#quotes_tables;0;db/quotes_tables/quotes		
2167	Come home with this shield or upon it.	spartan_woman
2174	Let them hate, as long as they fear.	accius
2182	Against danger it pays to be prepared.	aesop
2189	The Spartans do not ask how many but where they are.	agis
2197	Brave men are a city's strongest tower of defence.	alcaeus
2206	The corpse of an enemy always smells sweet.	vitellius
2208	War spares not the brave but the cowardly.	anacreon
2210	Necessity is the mother of invention.	apuleius
2213	It is the noblest and safest thing for a great army to be visibly animated by one spirit.	archidamus
2217	If we begin the war in haste, we'll have many delays before we end it, owing to our lack of preparation.	archidamus
2223	We should not build our hopes on the belief that they will make mistakes, but on our own careful foresight.	archidamus
2232	Remembering how great this city is which you are attacking, and what a fame you will bring on your ancestors and yourselves for good or evil according to the result, follow whithersoever you are led.	archidamus
2234	When invading an enemy's country, men should always be confident in spirit, but they should fear too, and take measures of precaution; and thus they will be at once most valorous in attack and impregnable in defence.	archidamus
2241	Give me somewhere to stand, and I will move the earth.	archimedes
2244	Do not disturb my circles.	archimedes_last
2254	Ah! The generals! They are numerous but not good for much!	aristophanes
2264	War, as the saying goes, is full of false alarms.	aristotle
2272	We make war so that we may live in peace.	aristotle
2275	The wise man speaks because he has something to say, the fool speaks because he has to say something.	aristotle
2283	A friend to all is a friend to none.	aristotle
2284	All men by nature desire knowledge.	aristotle
2290	Bad men are full of repentance.	aristotle
2294	It is the mark of an educated mind to be able to entertain a thought without accepting it.	aristotle
2303	No one loves the man whom he fears.	aristotle
2308	I think the slain care little if they sleep or rise again.	aeschylus
2312	A people's voice is dangerous when charged with wrath.	aeschylus
2313	In war, truth is the first casualty.	aeschylus
2315	If a man does not strike first, he will be the first struck.	athenagoras
2321	Make haste cautiously.	augustus
2323	Better a cautious commander, and not a rash one.	augustus
2333	Varus, give me back my legions.	augustus_teutobergerwald
2334	And into eternity, brother, hail and farewell.	catullus
2339	If one is strong be also merciful, so that one's neighbours may respect one rather than fear one.	chilon
2342	O happy Rome, born when I was consul!	cicero
2345	The sinews of war are infinite money.	cicero
2351	Armed forces abroad are of little value unless there is prudent counsel at home.	cicero
2358	Laws are silent in times of war.	cicero
2360	Danger gleams like sunshine to a brave man's eyes.	cicero
2367	The god of war hates those who hesitate.	cicero
2371	A large army is always disorderly.	cicero
2378	Nothing is so fortified that it can't be conquered with money.	cicero
2387	You'll reap what you sow.	cicero
2390	By this sign you will conquer.	constantine
2393	Only the brave enjoy noble and glorious deaths.	cicero
2395	I found Rome a city of bricks and left it a city of marble.	augustus
2401	Young men, hear an old man to whom old men hearkened when he was young.	augustus
2404	If I've done well, give loud applause, shouts of joy in this actor's cause.	augustus_last
2406	Every individual is the architect of his own fortune.	claudius
2411	Say not always what you know, but always know what you say.	claudius
2414	To do no evil is good, to intend none better.	claudius
2420	No one is free who does not lord over himself.	claudius
2422	I've made a mess of it.	claudius_last
2425	What are you doing comrades? I am yours, and you are mine.	galba
2426	Cowards die many times before their actual deaths.	caesar
2429	Experience is the teacher of all things. 	caesar
2435	As a rule, men worry more about what they can't see than about what they can.	caesar
2441	If you must break the law, do it to seize power: in all other cases observe it.	caesar
2449	It is easier to find men who will volunteer to die, than to find those who are willing to endure pain with patience.	caesar
2453	It is not these well-fed long-haired men that I fear, but the pale and the hungry-looking.	caesar
2461	Anger cannot be dishonest.	marcus_aurelius
2463	A man's worth is no greater than his ambitions.	marcus_aurelius
2472	Confine yourself to the present.	marcus_aurelius
2482	Despise not death, but welcome it, for nature wills it like all else.	marcus_aurelius
2488	Do every act of your life as if it were your last.	marcus_aurelius
2489	It is not death that a man should fear, but he should fear never beginning to live.	marcus_aurelius
2494	That which is not good for the bee-hive cannot be good for the bees.	marcus_aurelius
2501	The secret of all victory lies in the organization of the non-obvious.	marcus_aurelius
2506	To refrain from imitation is the best revenge.	marcus_aurelius
2509	Hidden talent counts for nothing.	nero
2511	What an artist dies with me!	nero_last
2515	It is the duty of a good shepherd to shear his sheep, not to skin them.	tiberius
2520	Power has no limits.	tiberius
2522	To have command is to have all the power you will ever need. To have all the power you will ever need, is to have the world in the palm of your hand.	tiberius
2532	An emperor ought to die standing.	vespasian_last
2533	To an imperial city nothing is inconsistent which is expedient.	euphemus
2539	Courage may be taught as a child is taught to speak.	euripides
2544	We give you war; and in the same spirit we will fight it to the end.	fabius_vs_carthage
2549	Let me have war, say I; It exceeds peace as far as day does night; It's spritely, waking, audible, and full of vent.	shakespeare_coriolanus
2559	You blocks, you stones, you worse than senseless things! O you hard hearts, you cruel men of Rome! Knew you not Pompey?	shakespeare_caesar
2564	Beware the Ides of March.	shakespeare_caesar
2566	Poor Brutus, with himself at war, forgets the shows of love to other men.	shakespeare_caesar
2574	Ambition's debt is paid.	shakespeare_caesar
2578	Cry, 'Havoc!' and let slip the dogs of war.	shakespeare_caesar
2584	Romans, countrymen, and lovers! Hear me for my cause, and be silent that you may hear.	shakespeare_caesar
2589	As he was valiant, I honour him: but, as he was ambitious, I slew him.	shakespeare_caesar
2599	I had rather have such men my friends than enemies.	shakespeare_caesar
2607	Sweet mercy is nobility’s true badge.	shakespeare_titus
2612	After the war is over, make alliances.	proverb_greek
2618	Divide and rule.	proverb_greek
2622	Summer, harvest, war.	proverb_greek
2632	From a bad crow, a bad egg.	proverb_greek
2635	I swear so soon as age will permit... I will use fire and steel to arrest the destiny of Rome.	hannibal
2642	The gods have given to man no sharper spur to victory than contempt of death.	hannibal
2647	We will either find a way, or make one.	hannibal
2649	There is only one omen, to fight for one's country.	homer
2659	The true contempt of an invader is shown by deeds of valour in the field.	hermocrates
2660	When there is mutual fear, men think twice before they make aggression upon one another.	hermocrates
2663	They have an abundance of gold and silver, and these make war, like other things, go smoothly.	hermocrates
2673	Nobody is driven in to war by ignorance, and no one who thinks he will gain anything from it is deterred by fear.	hermocrates
2679	In peace, sons bury their fathers; in war, fathers bury their sons.	herodotus
2686	Far better it is to have a stout heart always and suffer one's share of evils, than to be ever fearing what may happen.	herodotus
2692	Force has no place where there is need of skill.	herodotus
2702	Great deeds are usually wrought at great risks.	herodotus
2710	Haste in every business brings failures.	herodotus
2713	In soft regions are born soft men.	herodotus
2718	Even the bravest cannot fight beyond his strength.	homer
2720	Ye gods, what dastards would our host command? Swept to the war, the lumber of the land.	homer
2722	Noble and manly music invigorates the spirit, strengthens the wavering man, and incites him to great and worthy deeds.	homer
2723	He serves me most, who serves his country best.	homer
2728	To those that flee comes neither power nor glory.	homer
2730	Men grow tired of sleep, love, singing and dancing sooner than war.	homer
2731	The blade itself incites to violence.	homer
2734	So ends the bloody business of the day.	homer
2737	A glorious death is his who for his country falls.	homer
2744	In Rome you long for the country; in the country oh inconstant you praise the distant city to the stars.	horace
2748	Adversity reveals the genius of a general; good fortune conceals it.	horace
2751	A wise man in times of peace prepares for war.	horace
2752	Wars are the dread of mothers.	horace
2753	It is a sweet and seemly thing to die for one's country.	horace
2758	What coast knows not our blood?	horace
2767	Seize the day.	horace
2777	Anger is brief insanity.	horace
2778	Senators should not have to suffer abuse or foul language, but it is a proper and lawful response if the senator uses it first.	imperial
2780	As you are, I was. As I am, you will be.	inscription
2781	A wise captain does not let passengers aboard until the cargo is in the hold.	julia
2790	I would rather be first in a little village in Gaul than second in Rome.	caesar
2791	War gives the right of the conquerors to impose any conditions they please upon the vanquished.	caesar
2799	I came, I saw, I conquered.	caesar
2800	In war important events result from trivial causes.	caesar
2803	The die has been cast.	caesar
2811	Even you Brutus?	caesar_last
2813	This town is full of violent drunks who can't sleep until they have beaten someone up.	juvenal
2814	These are Sparta's walls.	agesilaus
2824	The conquered mourns, the conqueror is undone.	proverb_latin
2830	A coward's mother does not weep.	proverb_latin
2837	Arms keep peace.	proverb_latin
2840	A brave man may fall, but he cannot yield.	proverb_latin
2841	To blunder twice is not allowed in war.	proverb_latin
2844	Victory loves prudence.	proverb_latin
2848	Learn as if you will live forever, live as if you will die tomorrow.	proverb_latin
2856	The poison is in the tail.	proverb_latin
2865	It is a bad plan that cannot be changed.	proverb_latin
2873	Remember you will die.	proverb_latin
2876	Laws are silent in times of war	proverb_latin
2886	All roads lead to Rome.	proverb_latin
2893	Rome wasn't built in a day.	proverb_french
2899	Come and take them!	leonidas
2908	To a good general luck is important.	livy
2915	The outcome corresponds less to expectations in war than in any other case whatsoever.	livy
2918	Woe to the vanquished.	livy
2922	War was coming, and it would have to be fought in Italy, in defence of the walls of Rome, and against the world in arms.	livy_punic
2929	Never was one and the same spirit more skillful to meet opposition, to obey, or to command…	livy_hannibal
2934	While stands the Coliseum, Rome shall stand; When falls the Coliseum, Rome shall fall; And when Rome falls - the World.	byron
2942	To brave men, the prizes that war offers are liberty and fame.	lycurgus
2950	You know how to win victory, Hannibal, you do not know how to use it.	maharbal_cannae
2957	They will know that you are come before they know you are coming.	maharbal_rome
2963	I am dying, Egypt, dying.	marc_antony
2965	Every instant of time is a pinprick of eternity.	marcus_aurelius
2970	Time is a violent torrent; no sooner is a thing brought to sight than it is swept by and another takes its place.	marcus_aurelius
2971	Nothing happens to anybody which he is not fitted by nature to bear.	marcus_aurelius
2976	Mankind have been created for the sake of one another. Either instruct them, therefore, or endure them.	marcus_aurelius
2978	We do not hesitate to dutifully perform services for those whom we hope will assist us in the future.	cicero
2985	A home without books is a body without soul.	cicero
2991	Ability without honour is useless.	cicero
3000	An unjust peace is better than a just war.	cicero
3009	Any man can make mistakes, but only an idiot persists in his error.	cicero
3010	Before beginning, plan carefully. 	cicero
3014	Glory follows virtue as if it were its shadow.	cicero
3019	I am not ashamed to confess that I am ignorant of what I do not know.	cicero
3026	I prefer tongue-tied knowledge to ignorant loquacity.	cicero
3027	May the earth be light upon you… so that dogs can more easily dig you up.	martial
3033	The man who runs away will fight again.	menander
3041	A small country cannot contend with a great; the few cannot contend with the many; the weak cannot contend with the strong.	mencius
3046	March divided and fight concentrated.	maxim_military
3047	Food of the gods.	nero_mushrooms
3051	Soldiers do not like being under the command of one who is not of noble birth.	onosander
3060	It is convenient that there be gods, and, as it is convenient, let us believe that there are.	ovid
3066	Time, the devourer of everything.	ovid
3076	It is right to learn, even from the enemy.	ovid
3083	All things may corrupt when minds are prone to evil.	ovid
3091	Tears at times have all the weight of speech.	ovid
