campaign	region	religion	religion_zeal
#region_campaign_overrides_tables;0;db/region_campaign_overrides_tables/region_campaign_overrides			
main_3c	emp_achaia_athenae	rom_religion_latin	3
main_3c	emp_achaia_gortyna	rom_religion_latin	1
main_3c	emp_achaia_sparta	rom_religion_latin	3
main_3c	emp_aegyptos_alexandria	rom_religion_latin	1
main_3c	emp_aegyptos_diospolis	rom_religion_latin	1
main_3c	emp_aegyptos_memphis	rom_religion_latin	3
main_3c	emp_aegyptos_myos_hormos	rom_religion_african_arabian	1
main_3c	emp_aethiopia_aksum	rom_religion_african_arabian	1
main_3c	emp_aethiopia_meroe	rom_religion_african_arabian	1
main_3c	emp_aethiopia_ptolemais_theron	rom_religion_african_arabian	1
main_3c	emp_africa_carthago	rom_religion_african_arabian	1
main_3c	emp_africa_hadrumentum	rom_religion_african_arabian	1
main_3c	emp_africa_leptis_magna	rom_religion_african_arabian	1
main_3c	emp_africa_macomades	rom_religion_african_arabian	3
main_3c	emp_aquitania_burdigala	rom_religion_latin	1
main_3c	emp_aquitania_gergovia	rom_religion_latin	2
main_3c	emp_aquitania_limonum	rom_religion_latin	1
main_3c	emp_arabia_felix_eudaemon	rom_religion_african_arabian	1
main_3c	emp_arabia_felix_maas_gat	rom_religion_african_arabian	1
main_3c	emp_arabia_felix_marib	rom_religion_african_arabian	1
main_3c	emp_arabia_magna_adummatu	rom_religion_african_arabian	1
main_3c	emp_arabia_magna_gerrha	rom_religion_african_arabian	1
main_3c	emp_arabia_magna_yathrib	rom_religion_african_arabian	1
main_3c	emp_aria_amul	rom_religion_eastern	1
main_3c	emp_aria_artacoana	rom_religion_eastern	1
main_3c	emp_aria_merv	rom_religion_eastern	1
main_3c	emp_armenia_arsamosata	rom_religion_eastern	1
main_3c	emp_armenia_artaxa	rom_religion_eastern	1
main_3c	emp_armenia_carana	rom_religion_eastern	1
main_3c	emp_armenia_tigranocerta	rom_religion_eastern	3
main_3c	emp_asia_ephesus	rom_religion_latin	1
main_3c	emp_asia_pergamum	rom_religion_latin	1
main_3c	emp_asia_pessinus	rom_religion_latin	1
main_3c	emp_asia_rhodos	rom_religion_latin	1
main_3c	emp_bactria_baktria	rom_religion_eastern	1
main_3c	emp_bactria_eucratides	rom_religion_eastern	1
main_3c	emp_bactria_kapisene	rom_religion_eastern	1
main_3c	emp_baetica_corduba	rom_religion_latin	1
main_3c	emp_baetica_gades	rom_religion_latin	3
main_3c	emp_baetica_toletum	rom_religion_latin	1
main_3c	emp_belgica_nemecatum	rom_religion_latin	1
main_3c	emp_belgica_treverorum	rom_religion_latin	1
main_3c	emp_bithynia_et_pontus_amaseia	rom_religion_latin	1
main_3c	emp_bithynia_et_pontus_nicomedia	rom_religion_latin	1
main_3c	emp_bithynia_et_pontus_sinope	rom_religion_latin	1
main_3c	emp_bithynia_et_pontus_trapezos	rom_religion_latin	1
main_3c	emp_bosporus_panticapaeum	rom_religion_eastern	1
main_3c	emp_bosporus_phanagoria	rom_religion_eastern	1
main_3c	emp_bosporus_tanais	rom_religion_eastern	1
main_3c	emp_britannia_camulodunum	rom_religion_latin	2
main_3c	emp_britannia_iska	rom_religion_latin	1
main_3c	emp_britannia_mordiunon	rom_religion_latin	1
main_3c	emp_britannia_sleaford	rom_religion_latin	1
main_3c	emp_carmania_bam	rom_religion_eastern	1
main_3c	emp_carmania_harmozia	rom_religion_eastern	1
main_3c	emp_caucasia_gabata	rom_religion_eastern	1
main_3c	emp_caucasia_mtskheta	rom_religion_eastern	1
main_3c	emp_caucasia_phasis	rom_religion_eastern	1
main_3c	emp_chorasmia_akhur	rom_religion_nomadic	3
main_3c	emp_chorasmia_aktau	rom_religion_nomadic	3
main_3c	emp_cisalpina_genua	rom_religion_latin	1
main_3c	emp_cisalpina_mediolanium	rom_religion_latin	1
main_3c	emp_cisalpina_patavium	rom_religion_latin	1
main_3c	emp_corsica_et_sardinia_aleria	rom_religion_latin	1
main_3c	emp_corsica_et_sardinia_caralis	rom_religion_latin	1
main_3c	emp_dacia_pelendava	rom_religion_nomadic	1
main_3c	emp_dacia_petrodava	rom_religion_germanic	1
main_3c	emp_dacia_piscul	rom_religion_nomadic	1
main_3c	emp_dacia_zarmizegetusa	rom_religion_latin	3
main_3c	emp_galatia_et_cappadocia_ancyra	rom_religion_latin	1
main_3c	emp_galatia_et_cappadocia_iconium	rom_religion_latin	1
main_3c	emp_galatia_et_cappadocia_mazaca	rom_religion_latin	1
