group_key	camera_heading	camera_position_x	camera_position_y	camera_zoom	round
#region_groups_tables;1;db/region_groups_tables/region_groups					
roman_legacy_generic_adiutrix	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_alaudae	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_antiqua	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_apollinaris	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_augusta	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_concordialis	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_dialis	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_equestris	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_ferrata	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_fidelis	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_fretensis	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_fulminata	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_gemina	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_herculia	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_invicta	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_iovia	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_liberatrix	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_martia	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_minervia	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_primigenia	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_rapax	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_veneria	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_victrix	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_generic_vulcania	0.0000	0.0000	0.0000	0.0000	2
roman_legacy_navy_specific_alexandrina	0.0000	0.0000	0.0000	0.0000	1
roman_legacy_navy_specific_anderetianorum	0.0000	0.0000	0.0000	0.0000	1
roman_legacy_navy_specific_atlantica	0.0000	0.0000	0.0000	0.0000	1
roman_legacy_navy_specific_britannica	0.0000	0.0000	0.0000	0.0000	1
roman_legacy_navy_specific_carpathia	0.0000	0.0000	0.0000	0.0000	1
roman_legacy_navy_specific_misenensis	0.0000	0.0000	0.0000	0.0000	1
roman_legacy_navy_specific_perinthia	0.0000	0.0000	0.0000	0.0000	1
roman_legacy_navy_specific_ravennas	0.0000	0.0000	0.0000	0.0000	1
roman_legacy_navy_specific_rhodani	0.0000	0.0000	0.0000	0.0000	1
roman_legacy_navy_specific_sambrica	0.0000	0.0000	0.0000	0.0000	1
roman_legacy_navy_specific_venetum	0.0000	0.0000	0.0000	0.0000	1
roman_legacy_specific_adriatica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_aegypta	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_aethiopica	0.0000	0.0000	0.0000	0.0000	0
roman_legacy_specific_africana	0.0000	0.0000	0.0000	0.0000	0
