region	religion	religion_zeal
#region_religions_tables;0;db/region_religions_tables/region_religions		
emp_achaia_athenae	rom_religion_hellenic	3
emp_achaia_gortyna	rom_religion_hellenic	1
emp_achaia_sparta	rom_religion_hellenic	3
emp_aegyptos_alexandria	rom_religion_african_arabian	1
emp_aegyptos_diospolis	rom_religion_african_arabian	1
emp_aegyptos_memphis	rom_religion_african_arabian	3
emp_aegyptos_myos_hormos	rom_religion_african_arabian	1
emp_aethiopia_aksum	rom_religion_african_arabian	1
emp_aethiopia_meroe	rom_religion_african_arabian	1
emp_aethiopia_ptolemais_theron	rom_religion_african_arabian	1
emp_africa_carthago	rom_religion_african_arabian	1
emp_africa_hadrumentum	rom_religion_african_arabian	1
emp_africa_leptis_magna	rom_religion_african_arabian	1
emp_africa_macomades	rom_religion_african_arabian	3
emp_aquitania_burdigala	rom_religion_celtic	1
emp_aquitania_gergovia	rom_religion_celtic	3
emp_aquitania_limonum	rom_religion_celtic	1
emp_arabia_felix_eudaemon	rom_religion_african_arabian	1
emp_arabia_felix_maas_gat	rom_religion_african_arabian	1
emp_arabia_felix_marib	rom_religion_african_arabian	1
emp_arabia_magna_adummatu	rom_religion_african_arabian	1
emp_arabia_magna_gerrha	rom_religion_african_arabian	1
emp_arabia_magna_yathrib	rom_religion_african_arabian	1
emp_aria_amul	rom_religion_eastern	1
emp_aria_artacoana	rom_religion_eastern	1
emp_aria_merv	rom_religion_eastern	1
emp_armenia_arsamosata	rom_religion_eastern	1
emp_armenia_artaxa	rom_religion_eastern	1
emp_armenia_carana	rom_religion_eastern	1
emp_armenia_tigranocerta	rom_religion_eastern	3
emp_asia_ephesus	rom_religion_eastern	1
emp_asia_pergamum	rom_religion_eastern	1
emp_asia_pessinus	rom_religion_eastern	1
emp_asia_rhodos	rom_religion_hellenic	1
emp_bactria_baktria	rom_religion_eastern	1
emp_bactria_eucratides	rom_religion_eastern	1
emp_bactria_kapisene	rom_religion_eastern	1
emp_baetica_corduba	rom_religion_iberian	1
emp_baetica_gades	rom_religion_iberian	3
emp_baetica_toletum	rom_religion_iberian	1
emp_belgica_nemecatum	rom_religion_celtic	1
emp_belgica_treverorum	rom_religion_celtic	1
emp_bithynia_et_pontus_amaseia	rom_religion_eastern	1
emp_bithynia_et_pontus_nicomedia	rom_religion_eastern	1
emp_bithynia_et_pontus_sinope	rom_religion_eastern	1
emp_bithynia_et_pontus_trapezos	rom_religion_eastern	3
emp_bosporus_panticapaeum	rom_religion_nomadic	1
emp_bosporus_phanagoria	rom_religion_nomadic	1
emp_bosporus_tanais	rom_religion_nomadic	1
emp_britannia_camulodunum	rom_religion_celtic	3
emp_britannia_iska	rom_religion_celtic	1
emp_britannia_mordiunon	rom_religion_celtic	1
emp_britannia_sleaford	rom_religion_celtic	1
emp_carmania_bam	rom_religion_eastern	1
emp_carmania_harmozia	rom_religion_eastern	1
emp_caucasia_gabata	rom_religion_eastern	1
emp_caucasia_mtskheta	rom_religion_eastern	1
emp_caucasia_phasis	rom_religion_eastern	1
emp_chorasmia_akhur	rom_religion_nomadic	3
emp_chorasmia_aktau	rom_religion_nomadic	3
emp_cisalpina_genua	rom_religion_celtic	1
emp_cisalpina_mediolanium	rom_religion_celtic	1
emp_cisalpina_patavium	rom_religion_celtic	1
emp_corsica_et_sardinia_aleria	rom_religion_latin	1
emp_corsica_et_sardinia_caralis	rom_religion_latin	1
emp_dacia_pelendava	rom_religion_balkan	1
emp_dacia_petrodava	rom_religion_balkan	1
emp_dacia_piscul	rom_religion_balkan	1
emp_dacia_zarmizegetusa	rom_religion_balkan	3
emp_galatia_et_cappadocia_ancyra	rom_religion_eastern	1
emp_galatia_et_cappadocia_iconium	rom_religion_eastern	1
emp_galatia_et_cappadocia_mazaca	rom_religion_eastern	1
emp_galatia_et_cappadocia_side	rom_religion_eastern	1
emp_gallia_bibracte	rom_religion_celtic	3
emp_gallia_cenabum	rom_religion_celtic	1
emp_gallia_darioritum	rom_religion_celtic	1
emp_gallia_iuliobana	rom_religion_celtic	1
emp_gedrosia_oraea	rom_religion_eastern	1
emp_gedrosia_phrada	rom_religion_eastern	1
emp_gedrosia_pura	rom_religion_eastern	1
emp_germania_minor_bavay	rom_religion_celtic	1
emp_germania_minor_vesonto	rom_religion_celtic	1
emp_hercynia_bergium	rom_religion_germanic	1
emp_hercynia_budorgis	rom_religion_germanic	1
emp_hercynia_istros	rom_religion_germanic	1
emp_hispania_ibossim	rom_religion_iberian	3
emp_hispania_nova_carthago	rom_religion_iberian	1
emp_hispania_numantia	rom_religion_iberian	1
emp_hispania_saguntum	rom_religion_iberian	1
emp_illyricum_dyrrachium	rom_religion_balkan	1
emp_illyricum_narona	rom_religion_balkan	3
emp_illyricum_salona	rom_religion_balkan	1
emp_italia_beneventum	rom_religion_latin	3
emp_italia_brundisium	rom_religion_latin	1
emp_italia_cosentia	rom_religion_latin	1
emp_judea_jerusalem	rom_religion_eastern	1
emp_judea_salamis	rom_religion_eastern	1
emp_judea_tyros	rom_religion_eastern	1
emp_latium_ariminium	rom_religion_latin	1
emp_latium_arretium	rom_religion_latin	3
emp_latium_asculum	rom_religion_latin	1
emp_latium_roma	rom_religion_latin	3
emp_libya_ammonium	rom_religion_african_arabian	1
emp_libya_augila	rom_religion_african_arabian	1
emp_libya_cyrene	rom_religion_african_arabian	1
emp_libya_paraitonion	rom_religion_african_arabian	1
emp_lugii_arsenium	rom_religion_germanic	1
emp_lugii_carrodunum	rom_religion_germanic	1
emp_lugii_grinev	rom_religion_germanic	1
emp_lugii_oblin	rom_religion_germanic	1
emp_lusitania_ebora	rom_religion_iberian	1
emp_lusitania_olisipo	rom_religion_iberian	1
emp_macedonia_apollonia	rom_religion_hellenic	1
emp_macedonia_pharsalus	rom_religion_hellenic	1
emp_macedonia_thessalonica	rom_religion_hellenic	3
emp_magna_germania_flevium	rom_religion_germanic	1
emp_magna_germania_treva	rom_religion_germanic	3
emp_magna_germania_tulifurdum	rom_religion_germanic	1
emp_mauretania_rutubis	rom_religion_african_arabian	3
emp_mauretania_siga	rom_religion_african_arabian	1
emp_mauretania_tingis	rom_religion_african_arabian	1
emp_media_magna_arsakia	rom_religion_eastern	1
emp_media_magna_ekbatana	rom_religion_eastern	3
emp_media_magna_gazaca	rom_religion_eastern	1
emp_media_magna_phraaspa	rom_religion_eastern	1
emp_mesopotamia_charax	rom_religion_eastern	1
emp_mesopotamia_ctesiphon	rom_religion_eastern	3
emp_mesopotamia_edessa	rom_religion_eastern	1
emp_mesopotamia_hatra	rom_religion_eastern	1
emp_nabataea_charmuthas	rom_religion_african_arabian	1
emp_nabataea_hegra	rom_religion_african_arabian	1
emp_nabataea_petra	rom_religion_african_arabian	3
emp_narbonensis_massilia	rom_religion_celtic	1
emp_narbonensis_narbo	rom_religion_celtic	1
emp_narbonensis_tolosa	rom_religion_celtic	1
emp_numidia_capsa	rom_religion_african_arabian	1
emp_numidia_cirta	rom_religion_african_arabian	1
emp_numidia_dimmidi	rom_religion_african_arabian	1
emp_numidia_iol	rom_religion_african_arabian	1
emp_palmyra_dura	rom_religion_eastern	1
emp_palmyra_palmyra	rom_religion_eastern	3
emp_pannonia_aquincum	rom_religion_balkan	1
emp_pannonia_segestica	rom_religion_balkan	1
emp_pannonia_singidun	rom_religion_balkan	3
emp_parthia_hekatompylos	rom_religion_eastern	1
emp_parthia_nisa	rom_religion_eastern	1
emp_parthia_susia	rom_religion_eastern	1
emp_parthia_zadrakata	rom_religion_eastern	3
emp_persis_gor	rom_religion_eastern	1
emp_persis_persepolis	rom_religion_eastern	1
emp_persis_susa	rom_religion_eastern	1
emp_phazania_cydamus	rom_religion_african_arabian	3
emp_phazania_garama	rom_religion_african_arabian	3
emp_pretanic_isles_eilodon	rom_religion_celtic	3
emp_pretanic_isles_elbana	rom_religion_celtic	1
emp_pretanic_isles_stanwick	rom_religion_celtic	1
emp_raetia_et_noricum_kelheim	rom_religion_celtic	1
emp_raetia_et_noricum_koria	rom_religion_celtic	1
emp_raetia_et_noricum_noreia	rom_religion_celtic	1
emp_raetia_et_noricum_octoduris	rom_religion_celtic	3
emp_sarmatia_melgunov	rom_religion_nomadic	1
emp_sarmatia_olbia	rom_religion_nomadic	1
emp_sarmatia_solokha	rom_religion_nomadic	3
emp_scythia_gelonus	rom_religion_nomadic	1
emp_scythia_samandar	rom_religion_nomadic	3
emp_scythia_sarai	rom_religion_nomadic	1
emp_scythia_siracena	rom_religion_nomadic	1
emp_sicily_agrigentum	rom_religion_latin	1
emp_sicily_panormus	rom_religion_latin	1
emp_sicily_syracuse	rom_religion_latin	1
emp_suebia_calancorum	rom_religion_germanic	3
emp_suebia_pelplin	rom_religion_germanic	1
emp_suebia_setidava	rom_religion_germanic	1
emp_suebia_virunium	rom_religion_germanic	1
emp_syria_antioch	rom_religion_eastern	1
emp_syria_samosata	rom_religion_eastern	1
emp_syria_tarsus	rom_religion_eastern	1
emp_syria_thapsacus	rom_religion_eastern	1
emp_tarraconensis_aracillum	rom_religion_iberian	1
emp_tarraconensis_brigantium	rom_religion_iberian	3
emp_tarraconensis_tarraco	rom_religion_iberian	1
emp_thracia_antheia	rom_religion_balkan	1
emp_thracia_naissos	rom_religion_balkan	1
emp_thracia_odessos	rom_religion_balkan	1
emp_thracia_pulpudeva	rom_religion_balkan	3
emp_transoxania_bukhara	rom_religion_eastern	1
emp_transoxania_maracanda	rom_religion_eastern	1
gaul_aquitania_aquae_tarbellicae	rom_religion_celtic	1
gaul_aquitania_burdigala	rom_religion_celtic	1
gaul_aquitania_elimberris	rom_religion_celtic	1
gaul_aquitania_sotium	rom_religion_celtic	1
gaul_arduenna_silva_divoduron	rom_religion_celtic	1
gaul_arduenna_silva_durocorteron	rom_religion_celtic	1
gaul_arduenna_silva_noviodunon	rom_religion_celtic	1
gaul_arduenna_silva_treverorum	rom_religion_celtic	1
gaul_aremorica_condate	rom_religion_celtic	1
gaul_aremorica_darioritum	rom_religion_celtic	1
gaul_aremorica_namnetum	rom_religion_celtic	1
gaul_aremorica_vorgion	rom_religion_celtic	1
gaul_britannia_durovernon	rom_religion_celtic	1
gaul_britannia_iska	rom_religion_celtic	1
gaul_britannia_venta_belgarum	rom_religion_celtic	1
gaul_gergovia_avaricon	rom_religion_celtic	1
gaul_gergovia_durotincon	rom_religion_celtic	1
gaul_gergovia_nemossos	rom_religion_celtic	3
gaul_germania_inferior_atuatuca	rom_religion_celtic	1
gaul_germania_inferior_bagacum	rom_religion_celtic	3
gaul_helvetia_octoduron	rom_religion_celtic	3
gaul_helvetia_turicum	rom_religion_celtic	1
gaul_insubria_medhlan	rom_religion_latin	1
gaul_insubria_vercelum	rom_religion_latin	1
gaul_liguria_genua	rom_religion_latin	3
gaul_liguria_pollentia	rom_religion_latin	1
gaul_lugdunensis_bibracte	rom_religion_celtic	1
gaul_lugdunensis_vienna	rom_religion_celtic	1
gaul_lutetia_cenabum	rom_religion_celtic	3
gaul_lutetia_crociatonum	rom_religion_celtic	1
gaul_lutetia_lexovion	rom_religion_celtic	1
gaul_lutetia_suindinum	rom_religion_celtic	1
gaul_maxima_sequanorum_rauricon	rom_religion_celtic	1
gaul_maxima_sequanorum_vesontio	rom_religion_celtic	3
gaul_narbonensis_divona	rom_religion_celtic	1
gaul_narbonensis_narbo_martius	rom_religion_celtic	1
gaul_narbonensis_segodunum	rom_religion_celtic	1
gaul_narbonensis_tolosa	rom_religion_celtic	1
gaul_pictavis_ambatia	rom_religion_celtic	1
gaul_pictavis_lemonum	rom_religion_celtic	1
gaul_pictavis_mediolanum_santonum	rom_religion_celtic	1
gaul_senonia_agedineum	rom_religion_celtic	1
gaul_senonia_alesia	rom_religion_celtic	1
gaul_senonia_lutetia	rom_religion_celtic	1
gaul_silva_carbonaria_bratuspantion	rom_religion_celtic	1
gaul_silva_carbonaria_gesoriacum	rom_religion_celtic	1
gaul_silva_carbonaria_nemetocenna	rom_religion_celtic	1
gaul_silva_nigra_argentorate	rom_religion_germanic	1
gaul_silva_nigra_noviiomagos	rom_religion_germanic	1
gaul_silva_nigra_uburzis	rom_religion_germanic	3
gaul_transalpina_massalia	rom_religion_hellenic	3
gaul_transalpina_vasio	rom_religion_celtic	1
inv_apulia_barion	rom_religion_iapygian	2
inv_apulia_herdonia	rom_religion_iapygian	2
inv_apulia_siponto	rom_religion_iapygian	2
inv_apulia_sylbion	rom_religion_hellenic	1
inv_balaria_alghero	rom_religion_nuragic	2
inv_balaria_nurra	rom_religion_nuragic	2
inv_balaria_olbia	rom_religion_nuragic	2
inv_balaria_sassari	rom_religion_nuragic	2
inv_bruttium_consentia	rom_religion_italian	3
inv_bruttium_croton	rom_religion_hellenic	1
inv_bruttium_terina	rom_religion_hellenic	1
inv_bruttium_thurii	rom_religion_hellenic	1
inv_calabria_brentesion	rom_religion_iapygian	2
inv_calabria_hydrus	rom_religion_iapygian	2
inv_calabria_manduria	rom_religion_iapygian	2
inv_calabria_taranto	rom_religion_hellenic	3
inv_campania_capua	rom_religion_hellenic	2
inv_campania_neapolis	rom_religion_hellenic	2
inv_campania_pithecusae	rom_religion_hellenic	2
inv_campania_poseidonia	rom_religion_hellenic	2
inv_carthago_carthago	rom_religion_punic	3
inv_carthago_kerkouane	rom_religion_punic	3
inv_carthago_utica	rom_religion_punic	3
inv_corsica_aethalia	rom_religion_etruscan	1
inv_corsica_aleria	rom_religion_etruscan	1
inv_corsica_mantinorum	rom_religion_nuragic	2
inv_corsica_pallas	rom_religion_nuragic	2
inv_elymia_agrigento	rom_religion_hellenic	3
inv_elymia_entella	rom_religion_hellenic	3
inv_elymia_motya	rom_religion_punic	1
inv_elymia_panormus	rom_religion_hellenic	3
inv_etruria_luna	rom_religion_etruscan	3
inv_etruria_pisa	rom_religion_etruscan	3
inv_etruria_sarsina	rom_religion_etruscan	3
inv_etruria_viesul	rom_religion_etruscan	3
inv_frentania_aesernia	rom_religion_italian	3
inv_frentania_histonium	rom_religion_italian	3
inv_frentania_teate	rom_religion_italian	3
inv_gallia_cispadana_felsina	rom_religion_celtic	2
inv_gallia_cispadana_parma	rom_religion_celtic	2
inv_gallia_cispadana_placentia	rom_religion_celtic	2
inv_gallia_cispadana_ravenna	rom_religion_celtic	2
inv_gallia_transpadana_brixia	rom_religion_celtic	2
inv_gallia_transpadana_eporedia	rom_religion_celtic	2
inv_gallia_transpadana_mediolanum	rom_religion_celtic	2
inv_gallia_transpadana_vercelum	rom_religion_celtic	2
inv_ioleia_bosa	rom_religion_punic	1
inv_ioleia_caralis	rom_religion_punic	1
inv_ioleia_su_nuraxi	rom_religion_nuragic	3
inv_ioleia_sulci	rom_religion_punic	1
inv_italia_hipponion	rom_religion_hellenic	2
inv_italia_locri	rom_religion_hellenic	2
inv_italia_rhegion	rom_religion_hellenic	2
inv_italia_skyllition	rom_religion_hellenic	2
inv_latium_anagni	rom_religion_italian	2
inv_latium_antium	rom_religion_italian	2
inv_latium_casinum	rom_religion_italian	2
inv_latium_fregellae	rom_religion_italian	2
inv_lepontii_clavenna	rom_religion_celtic	3
inv_lepontii_comum	rom_religion_celtic	3
inv_lepontii_oscela	rom_religion_celtic	3
inv_liguria_albingaunum	rom_religion_celtic	2
inv_liguria_asta	rom_religion_celtic	2
inv_liguria_retovium	rom_religion_celtic	2
inv_liguria_stalia	rom_religion_celtic	2
inv_lucania_aceruntia	rom_religion_italian	3
inv_lucania_elea	rom_religion_hellenic	2
inv_lucania_herakleia	rom_religion_hellenic	2
inv_lucania_potentia	rom_religion_italian	3
inv_picenum_ausculum	rom_religion_italian	2
inv_picenum_firmum	rom_religion_italian	2
inv_picenum_hadria	rom_religion_italian	2
inv_raetia_bergamum	rom_religion_celtic	2
inv_raetia_feltria	rom_religion_etruscan	2
inv_raetia_sebatum	rom_religion_celtic	2
inv_raetia_tridentum	rom_religion_etruscan	2
inv_roma_ostia	rom_religion_latin	3
inv_roma_roma	rom_religion_latin	3
inv_sabinium_alba_fucens	rom_religion_latin	3
inv_sabinium_cures	rom_religion_latin	3
inv_sabinium_nursia	rom_religion_latin	3
inv_sabinium_reate	rom_religion_latin	3
inv_samnium_bovianum	rom_religion_italian	3
inv_samnium_compsa	rom_religion_italian	3
inv_samnium_corfinium	rom_religion_italian	3
inv_samnium_terventum	rom_religion_italian	3
inv_senonia_ariminum	rom_religion_celtic	2
inv_senonia_caesena	rom_religion_celtic	2
inv_senonia_sena	rom_religion_celtic	2
inv_sicania_agyrion	rom_religion_hellenic	2
inv_sicania_catana	rom_religion_hellenic	2
inv_sicania_cephaloidis	rom_religion_hellenic	2
inv_sicania_messene	rom_religion_hellenic	2
inv_sikelia_gela	rom_religion_hellenic	3
inv_sikelia_hybla_heraea	rom_religion_hellenic	3
inv_sikelia_leontini	rom_religion_hellenic	3
inv_sikelia_syracuse	rom_religion_hellenic	3
inv_tarchuna_fufluna	rom_religion_etruscan	3
inv_tarchuna_tarchuna	rom_religion_etruscan	3
inv_tarchuna_vatluna	rom_religion_etruscan	3
inv_tarchuna_velusna	rom_religion_etruscan	3
inv_tuscia_aritim	rom_religion_etruscan	3
inv_tuscia_clevsin	rom_religion_etruscan	3
inv_tuscia_felathri	rom_religion_etruscan	3
inv_tuscia_siena	rom_religion_etruscan	3
inv_umbria_iguvium	rom_religion_celtic	1
inv_umbria_perusia	rom_religion_etruscan	1
inv_umbria_sestinum	rom_religion_celtic	1
inv_umbria_spolettium	rom_religion_celtic	1
inv_vei_caere	rom_religion_etruscan	2
inv_vei_vei	rom_religion_etruscan	2
inv_venetia_patavium	rom_religion_italian	2
inv_venetia_tarvisium	rom_religion_italian	2
inv_venetia_tegeste	rom_religion_italian	2
inv_venetia_vedinum	rom_religion_italian	2
pel_aigian_khios	rom_religion_ionian	1
pel_aigian_mytilene	rom_religion_aiolian	1
pel_aigian_oinoi	rom_religion_ionian	1
pel_aigian_samos	rom_religion_ionian	1
pel_aitolia_naupaktos	rom_religion_ionian	1
pel_aitolia_thermon	rom_religion_aiolian	1
pel_ambrakia_ambrakia	rom_religion_dorian	1
pel_ambrakia_anaktorio	rom_religion_dorian	1
pel_ambrakia_pronnoi	rom_religion_akaian	1
pel_amphipolis_amphipolis	rom_religion_ionian	1
pel_amphipolis_krinides	rom_religion_ionian	1
pel_argolis_argos	rom_religion_dorian	1
pel_argolis_korinthos	rom_religion_dorian	1
pel_argolis_mantinea	rom_religion_dorian	1
pel_argolis_melos	rom_religion_dorian	1
pel_attike_athenai	rom_religion_dorian	1
pel_attike_laviro	rom_religion_dorian	1
pel_attike_naxos	rom_religion_dorian	1
pel_attike_paros	rom_religion_dorian	1
pel_boiotia_delphi	rom_religion_aiolian	1
pel_boiotia_lamia	rom_religion_aiolian	1
pel_boiotia_opos	rom_religion_aiolian	1
pel_boiotia_thebai	rom_religion_aiolian	1
pel_dodekanisa_karpathos	rom_religion_dorian	1
pel_dodekanisa_kos	rom_religion_dorian	1
pel_dodekanisa_lindos	rom_religion_dorian	1
pel_dodekanisa_rodos	rom_religion_dorian	1
pel_elis_elis	rom_religion_dorian	1
pel_elis_olympia	rom_religion_dorian	1
pel_elis_patrai	rom_religion_akaian	1
pel_elis_zakynthos	rom_religion_akaian	1
pel_epeiros_antigonia	rom_religion_other_greek	1
pel_epeiros_dodona	rom_religion_other_greek	1
pel_epeiros_elaea	rom_religion_other_greek	1
pel_epeiros_korkyra	rom_religion_dorian	1
pel_euboia_andros	rom_religion_ionian	1
pel_euboia_kalkis	rom_religion_ionian	1
pel_euboia_karystos	rom_religion_ionian	1
pel_euboia_oreos	rom_religion_ionian	1
pel_hellespontos_byzantion	rom_religion_dorian	1
pel_hellespontos_kypsela	rom_religion_barbarian	1
pel_hellespontos_perinthos	rom_religion_ionian	1
pel_hellespontos_sestos	rom_religion_ionian	1
pel_ionia_ephesos	rom_religion_ionian	1
