province	region
#region_to_province_junctions_tables;0;db/region_to_province_junctions_tables/region_to_province_junctions	
emp_achaia	emp_achaia_athenae
emp_achaia	emp_achaia_gortyna
emp_achaia	emp_achaia_sparta
emp_aegyptos	emp_aegyptos_alexandria
emp_aegyptos	emp_aegyptos_diospolis
emp_aegyptos	emp_aegyptos_memphis
emp_aegyptos	emp_aegyptos_myos_hormos
emp_aethiopia	emp_aethiopia_aksum
emp_aethiopia	emp_aethiopia_meroe
emp_aethiopia	emp_aethiopia_ptolemais_theron
emp_africa	emp_africa_carthago
emp_africa	emp_africa_hadrumentum
emp_africa	emp_africa_leptis_magna
emp_africa	emp_africa_macomades
emp_aquitania	emp_aquitania_burdigala
emp_aquitania	emp_aquitania_gergovia
emp_aquitania	emp_aquitania_limonum
emp_arabia_felix	emp_arabia_felix_eudaemon
emp_arabia_felix	emp_arabia_felix_maas_gat
emp_arabia_felix	emp_arabia_felix_marib
emp_arabia_magna	emp_arabia_magna_adummatu
emp_arabia_magna	emp_arabia_magna_gerrha
emp_arabia_magna	emp_arabia_magna_yathrib
emp_aria	emp_aria_amul
emp_aria	emp_aria_artacoana
emp_aria	emp_aria_merv
emp_armenia	emp_armenia_arsamosata
emp_armenia	emp_armenia_artaxa
emp_armenia	emp_armenia_carana
emp_armenia	emp_armenia_tigranocerta
emp_asia	emp_asia_ephesus
emp_asia	emp_asia_pergamum
emp_asia	emp_asia_pessinus
emp_asia	emp_asia_rhodos
emp_bactria	emp_bactria_baktria
emp_bactria	emp_bactria_eucratides
emp_bactria	emp_bactria_kapisene
emp_baetica	emp_baetica_corduba
emp_baetica	emp_baetica_gades
emp_baetica	emp_baetica_toletum
emp_belgica	emp_belgica_nemecatum
emp_belgica	emp_belgica_treverorum
emp_bithynia_et_pontus	emp_bithynia_et_pontus_amaseia
emp_bithynia_et_pontus	emp_bithynia_et_pontus_nicomedia
emp_bithynia_et_pontus	emp_bithynia_et_pontus_sinope
emp_bithynia_et_pontus	emp_bithynia_et_pontus_trapezos
emp_bosporus	emp_bosporus_panticapaeum
emp_bosporus	emp_bosporus_phanagoria
emp_bosporus	emp_bosporus_tanais
emp_britannia	emp_britannia_camulodunum
emp_britannia	emp_britannia_iska
emp_britannia	emp_britannia_mordiunon
emp_britannia	emp_britannia_sleaford
emp_carmania	emp_carmania_bam
emp_carmania	emp_carmania_harmozia
emp_caucasia	emp_caucasia_gabata
emp_caucasia	emp_caucasia_mtskheta
emp_caucasia	emp_caucasia_phasis
emp_chorasmia	emp_chorasmia_akhur
emp_chorasmia	emp_chorasmia_aktau
emp_cisalpina	emp_cisalpina_genua
emp_cisalpina	emp_cisalpina_mediolanium
emp_cisalpina	emp_cisalpina_patavium
emp_corsica_et_sardinia	emp_corsica_et_sardinia_aleria
emp_corsica_et_sardinia	emp_corsica_et_sardinia_caralis
emp_dacia	emp_dacia_pelendava
emp_dacia	emp_dacia_petrodava
emp_dacia	emp_dacia_piscul
emp_dacia	emp_dacia_zarmizegetusa
