key	is_sea	owner_bundle	unnamed colour group_1
#regions_tables;3;db/regions_tables/regions			
emp_achaia_athenae	false		010000
emp_achaia_gortyna	false		050000
emp_achaia_sparta	false	rom_wonder_olympia	0A0000
emp_aegyptos_alexandria	false	rom_wonder_pharos_alexandria	0F0000
emp_aegyptos_diospolis	false		140000
emp_aegyptos_memphis	false	rom_wonder_necropolis_giza	190000
emp_aegyptos_myos_hormos	false		1E0000
emp_aethiopia_aksum	false		230000
emp_aethiopia_meroe	false		280000
emp_aethiopia_ptolemais_theron	false		2D0000
emp_africa_carthago	false	settlement_carthago	320000
emp_africa_hadrumentum	false		370000
emp_africa_leptis_magna	false		3C0000
emp_africa_macomades	false		410000
emp_aquitania_burdigala	false		460000
emp_aquitania_gergovia	false		4B0000
emp_aquitania_limonum	false		500000
emp_arabia_felix_eudaemon	false		550000
emp_arabia_felix_maas_gat	false		5A0000
emp_arabia_felix_marib	false		5F0000
emp_arabia_magna_adummatu	false		640000
emp_arabia_magna_gerrha	false		690000
emp_arabia_magna_yathrib	false		6E0000
emp_aria_amul	false		730000
emp_aria_artacoana	false		780000
emp_aria_merv	false		7D0000
emp_armenia_arsamosata	false		820000
emp_armenia_artaxa	false		870000
emp_armenia_carana	false		8C0000
emp_armenia_tigranocerta	false		910000
emp_asia_ephesus	false	rom_wonder_mausoleum_mausolus	960000
emp_asia_pergamum	false	settlement_pergamon	FF00FF
emp_asia_pessinus	false		9B0000
emp_asia_rhodos	false	rom_wonder_colossus_rhodes	A06432
emp_bactria_baktria	false	settlement_baktra	A00000
emp_bactria_eucratides	false		A50000
emp_bactria_kapisene	false		AA0000
emp_baetica_corduba	false		AF0000
emp_baetica_gades	false	rom_wonder_pillars_hercules	B40000
emp_baetica_toletum	false		B90000
emp_belgica_nemecatum	false		BE0000
emp_belgica_treverorum	false		C30000
emp_bithynia_et_pontus_amaseia	false		C80000
emp_bithynia_et_pontus_nicomedia	false		CD0000
emp_bithynia_et_pontus_sinope	false		D20000
emp_bithynia_et_pontus_trapezos	false		D70000
emp_bosporus_panticapaeum	false		DC0000
emp_bosporus_phanagoria	false		E10000
emp_bosporus_tanais	false		E60000
emp_britannia_camulodunum	false		EB0000
emp_britannia_iska	false	rom_wonder_stonehenge	F00000
emp_britannia_mordiunon	false		F50000
emp_britannia_sleaford	false		FA0000
emp_carmania_bam	false	rom_wonder_bam_citadel	FF0000
emp_carmania_harmozia	false		000500
emp_caucasia_gabata	false		000A00
emp_caucasia_mtskheta	false		000F00
emp_caucasia_phasis	false		001400
emp_chorasmia_akhur	false		001900
emp_chorasmia_aktau	false		001E00
emp_cisalpina_genua	false		002300
emp_cisalpina_mediolanium	false		002800
emp_cisalpina_patavium	false		002D00
emp_corsica_et_sardinia_aleria	false		003200
emp_corsica_et_sardinia_caralis	false		003700
emp_dacia_pelendava	false		003C00
emp_dacia_petrodava	false		004100
emp_dacia_piscul	false		004600
emp_dacia_zarmizegetusa	false	rom_wonder_kogaionon	004B00
emp_galatia_et_cappadocia_ancyra	false		005000
emp_galatia_et_cappadocia_iconium	false		005500
emp_galatia_et_cappadocia_mazaca	false	rom_wonder_mount_argaeus	005A00
emp_galatia_et_cappadocia_side	false		005F00
emp_gallia_bibracte	false		006400
emp_gallia_cenabum	false		006900
emp_gallia_darioritum	false	rom_wonder_karnag	006E00
emp_gallia_iuliobana	false		007300
emp_gedrosia_oraea	false		007800
emp_gedrosia_phrada	false		007D00
emp_gedrosia_pura	false		008200
emp_germania_minor_bavay	false		008700
emp_germania_minor_vesonto	false		008C00
emp_hercynia_bergium	false		009100
emp_hercynia_budorgis	false		009600
emp_hercynia_istros	false		009B00
emp_hispania_ibossim	false		00A000
emp_hispania_nova_carthago	false		00A500
emp_hispania_numantia	false		00AA00
emp_hispania_saguntum	false		00AF00
emp_illyricum_dyrrachium	false		00B400
emp_illyricum_narona	false		00B900
emp_illyricum_salona	false		00BE00
emp_italia_beneventum	false	rom_wonder_mount_vesuvius	00C300
emp_italia_brundisium	false		00C800
emp_italia_cosentia	false		00CD00
emp_judea_jerusalem	false		00D200
emp_judea_salamis	false		00D700
emp_judea_tyros	false		00DC00
emp_latium_ariminium	false		00E100
emp_latium_arretium	false		00E600
emp_latium_asculum	false		00EB00
emp_latium_roma	false	settlement_rome	00F000
emp_libya_ammonium	false	rom_wonder_oracle_amun_re	00F500
emp_libya_augila	false		00FA00
emp_libya_cyrene	false		00FF00
emp_libya_paraitonion	false		000005
emp_lugii_arsenium	false		00000A
emp_lugii_carrodunum	false		00000F
emp_lugii_grinev	false		000014
emp_lugii_oblin	false		000019
emp_lusitania_ebora	false		00001E
emp_lusitania_olisipo	false		000023
emp_macedonia_apollonia	false		000028
emp_macedonia_pharsalus	false	rom_wonder_mount_olympus	00002D
emp_macedonia_thessalonica	false	settlement_pella	000032
emp_magna_germania_flevium	false		000037
emp_magna_germania_treva	false		00003C
emp_magna_germania_tulifurdum	false		000041
emp_mauretania_rutubis	false		000046
emp_mauretania_siga	false		00004B
emp_mauretania_tingis	false	rom_wonder_pillars_hercules	000050
emp_media_magna_arsakia	false		000055
emp_media_magna_ekbatana	false		00005A
emp_media_magna_gazaca	false		00005F
emp_media_magna_phraaspa	false		000064
emp_mesopotamia_charax	false		000069
emp_mesopotamia_ctesiphon	false	rom_wonder_babylon	00006E
emp_mesopotamia_edessa	false		000073
emp_mesopotamia_hatra	false		000078
emp_nabataea_charmuthas	false		00007D
emp_nabataea_hegra	false		000082
emp_nabataea_petra	false		000087
emp_narbonensis_massilia	false		00008C
emp_narbonensis_narbo	false		000091
emp_narbonensis_tolosa	false		000096
emp_numidia_capsa	false		00009B
emp_numidia_cirta	false		0000A0
emp_numidia_dimmidi	false		0000A5
emp_numidia_iol	false		0000AA
emp_palmyra_dura	false		0000AF
emp_palmyra_palmyra	false		0000B4
emp_pannonia_aquincum	false		0000B9
emp_pannonia_segestica	false		0000BE
emp_pannonia_singidun	false		0000C3
emp_parthia_hekatompylos	false		0000C8
emp_parthia_nisa	false		0000CD
emp_parthia_susia	false		0000D2
emp_parthia_zadrakata	false	rom_wonder_mount_damavand	0000D7
emp_persis_gor	false		0000DC
emp_persis_persepolis	false	rom_wonder_necropolis_rostam	0000F0
emp_persis_susa	false	rom_wonder_mount_behistun	0000F5
emp_phazania_cydamus	false		0000FA
emp_phazania_garama	false		0000FF
emp_pretanic_isles_eilodon	false		050500
emp_pretanic_isles_elbana	false		0A0A00
emp_pretanic_isles_stanwick	false		9B9B00
emp_raetia_et_noricum_kelheim	false		A0A000
emp_raetia_et_noricum_koria	false		A5A500
emp_raetia_et_noricum_noreia	false		AAAA00
emp_raetia_et_noricum_octoduris	false		AFAF00
emp_riv_danuvius	true		0000E1
emp_riv_nilos	true		0000E6
emp_riv_rhenus	true		0000EB
emp_sarmatia_melgunov	false		B4B400
emp_sarmatia_olbia	false		B9B900
emp_sarmatia_solokha	false		BEBE00
emp_scythia_gelonus	false		C3C300
emp_scythia_samandar	false		C8C800
emp_scythia_sarai	false		CDCD00
emp_scythia_siracena	false		D2D200
emp_sea_lake	true		0F0F00
emp_sea_mare_adriaticum	true		141400
emp_sea_mare_aegaeum	true		191900
emp_sea_mare_aegyptum	true		1E1E00
emp_sea_mare_africum	true		232300
emp_sea_mare_carpathium	true		282800
emp_sea_mare_caspium	true		2D2D00
emp_sea_mare_hibernicum	true		323200
