region	region_group
#regions_to_region_groups_junctions_tables;0;db/regions_to_region_groups_junctions_tables/regions_to_region_groups_junctions	
emp_aegyptos_alexandria	roman_legacy_navy_specific_alexandrina
rom_aegyptos_ta_mehu	roman_legacy_navy_specific_alexandrina
gaul_lutetia_crociatonum	roman_legacy_navy_specific_anderetianorum
gaul_silva_carbonaria_gesoriacum	roman_legacy_navy_specific_anderetianorum
emp_aquitania_burdigala	roman_legacy_navy_specific_atlantica
gaul_aquitania_burdigala	roman_legacy_navy_specific_atlantica
gaul_aremorica_darioritum	roman_legacy_navy_specific_atlantica
gaul_aremorica_namnetum	roman_legacy_navy_specific_atlantica
rom_baetica_turdetania	roman_legacy_navy_specific_atlantica
rom_lusitania_lusitania	roman_legacy_navy_specific_atlantica
rom_mauretania_atlas	roman_legacy_navy_specific_atlantica
rom_mauretania_tingitana	roman_legacy_navy_specific_atlantica
rom_tarraconensis_callaecia	roman_legacy_navy_specific_atlantica
emp_britannia_camulodunum	roman_legacy_navy_specific_britannica
emp_britannia_iska	roman_legacy_navy_specific_britannica
emp_britannia_mordiunon	roman_legacy_navy_specific_britannica
gaul_lutetia_crociatonum	roman_legacy_navy_specific_britannica
gaul_silva_carbonaria_gesoriacum	roman_legacy_navy_specific_britannica
rom_asia_lydia	roman_legacy_navy_specific_carpathia
rom_cilicia_pamphylia	roman_legacy_navy_specific_carpathia
rom_hellas_creta	roman_legacy_navy_specific_carpathia
gaul_liguria_genua	roman_legacy_navy_specific_misenensis
pro_campania_campania	roman_legacy_navy_specific_misenensis
pro_campania_cilento	roman_legacy_navy_specific_misenensis
pro_latium_latium	roman_legacy_navy_specific_misenensis
pro_latium_volsci	roman_legacy_navy_specific_misenensis
pro_magna_grecia_calabria	roman_legacy_navy_specific_misenensis
pro_magna_grecia_italia	roman_legacy_navy_specific_misenensis
pro_magna_grecia_lucania	roman_legacy_navy_specific_misenensis
pro_samnium_apulia	roman_legacy_navy_specific_misenensis
pro_samnium_irpinia	roman_legacy_navy_specific_misenensis
pro_samnium_pentria	roman_legacy_navy_specific_misenensis
pro_samnium_umbria	roman_legacy_navy_specific_misenensis
rom_corsica_et_sardinia_corsica	roman_legacy_navy_specific_misenensis
rom_corsica_et_sardinia_sardinia	roman_legacy_navy_specific_misenensis
rom_italia_samnium	roman_legacy_navy_specific_misenensis
rom_bithynia_et_pontus_bythynia	roman_legacy_navy_specific_perinthia
rom_thracia_byzantion	roman_legacy_navy_specific_perinthia
emp_latium_ariminium	roman_legacy_navy_specific_ravennas
emp_latium_asculum	roman_legacy_navy_specific_ravennas
rom_illyria_liburnia	roman_legacy_navy_specific_ravennas
rom_italia_picenum	roman_legacy_navy_specific_ravennas
gaul_transalpina_massalia	roman_legacy_navy_specific_rhodani
rom_provincia_transalpina	roman_legacy_navy_specific_rhodani
gaul_silva_carbonaria_gesoriacum	roman_legacy_navy_specific_sambrica
emp_illyricum_narona	roman_legacy_navy_specific_venetum
emp_illyricum_salona	roman_legacy_navy_specific_venetum
rom_illyria_liburnia	roman_legacy_navy_specific_venetum
rom_italia_picenum	roman_legacy_navy_specific_venetum
inv_apulia_barion	roman_legacy_specific_adriatica
inv_apulia_herdonia	roman_legacy_specific_adriatica
inv_apulia_siponto	roman_legacy_specific_adriatica
inv_apulia_sylbion	roman_legacy_specific_adriatica
inv_frentania_aesernia	roman_legacy_specific_adriatica
inv_frentania_histonium	roman_legacy_specific_adriatica
inv_frentania_teate	roman_legacy_specific_adriatica
inv_picenum_ausculum	roman_legacy_specific_adriatica
inv_picenum_firmum	roman_legacy_specific_adriatica
inv_picenum_hadria	roman_legacy_specific_adriatica
emp_aegyptos_alexandria	roman_legacy_specific_aegypta
emp_aegyptos_diospolis	roman_legacy_specific_aegypta
emp_aegyptos_memphis	roman_legacy_specific_aegypta
emp_aegyptos_myos_hormos	roman_legacy_specific_aegypta
rom_aegyptos_ta_abt	roman_legacy_specific_aegypta
rom_aegyptos_ta_ament	roman_legacy_specific_aegypta
