rel_from	rel_to	modifier
#religion_conversion_mods_tables;0;db/religion_conversion_mods_tables/religion_conversion_mods		
3c_christian	3c_manichaean	0.0000
3c_christian	3c_mithraic	0.0000
3c_christian	rom_religion_aiolian	0.0000
3c_christian	rom_religion_akaian	0.0000
3c_christian	rom_religion_balkan	0.0000
3c_christian	rom_religion_barbarian	0.0000
3c_christian	rom_religion_celtic	0.0000
3c_christian	rom_religion_dorian	0.0000
3c_christian	rom_religion_eastern	0.0000
3c_christian	rom_religion_germanic	0.0000
3c_christian	rom_religion_hellenic	0.0000
3c_christian	rom_religion_iberian	0.0000
3c_christian	rom_religion_ionian	0.0000
3c_christian	rom_religion_italian	0.0000
3c_christian	rom_religion_latin	0.0000
3c_christian	rom_religion_makedonian	0.0000
3c_christian	rom_religion_nomadic	0.0000
3c_christian	rom_religion_other_greek	0.0000
3c_christian	rom_religion_persian	0.0000
3c_christian	rom_religion_punic	0.0000
3c_manichaean	3c_christian	0.0000
3c_manichaean	3c_mithraic	0.0000
3c_manichaean	rom_religion_aiolian	0.0000
3c_manichaean	rom_religion_akaian	0.0000
3c_manichaean	rom_religion_balkan	0.0000
3c_manichaean	rom_religion_barbarian	0.0000
3c_manichaean	rom_religion_celtic	0.0000
3c_manichaean	rom_religion_dorian	0.0000
3c_manichaean	rom_religion_eastern	0.0000
3c_manichaean	rom_religion_germanic	0.0000
3c_manichaean	rom_religion_hellenic	0.0000
3c_manichaean	rom_religion_iberian	0.0000
3c_manichaean	rom_religion_ionian	0.0000
3c_manichaean	rom_religion_italian	0.0000
3c_manichaean	rom_religion_latin	0.0000
3c_manichaean	rom_religion_makedonian	0.0000
3c_manichaean	rom_religion_nomadic	0.0000
3c_manichaean	rom_religion_other_greek	0.0000
3c_manichaean	rom_religion_persian	0.0000
3c_manichaean	rom_religion_punic	0.0000
3c_mithraic	3c_christian	0.0000
3c_mithraic	3c_manichaean	0.0000
3c_mithraic	rom_religion_aiolian	0.0000
3c_mithraic	rom_religion_akaian	0.0000
3c_mithraic	rom_religion_balkan	0.0000
3c_mithraic	rom_religion_barbarian	0.0000
3c_mithraic	rom_religion_celtic	0.0000
3c_mithraic	rom_religion_dorian	0.0000
3c_mithraic	rom_religion_eastern	0.0000
3c_mithraic	rom_religion_germanic	0.0000
3c_mithraic	rom_religion_hellenic	0.0000
3c_mithraic	rom_religion_iberian	0.0000
3c_mithraic	rom_religion_ionian	0.0000
3c_mithraic	rom_religion_italian	0.0000
3c_mithraic	rom_religion_latin	0.0000
3c_mithraic	rom_religion_makedonian	0.0000
3c_mithraic	rom_religion_nomadic	0.0000
3c_mithraic	rom_religion_other_greek	0.0000
3c_mithraic	rom_religion_persian	0.0000
3c_mithraic	rom_religion_punic	0.0000
rom_religion_african_arabian	rom_religion_aiolian	0.0000
rom_religion_african_arabian	rom_religion_akaian	0.0000
rom_religion_african_arabian	rom_religion_balkan	0.5000
rom_religion_african_arabian	rom_religion_barbarian	0.0000
rom_religion_african_arabian	rom_religion_celtic	0.5000
rom_religion_african_arabian	rom_religion_dorian	0.0000
