key	character_for_vo
#scripted_subtitles_tables;2;db/scripted_subtitles_tables/scripted_subtitles	
Rom.HB.AL.Intro_01	none
Rom.HB.AL.Intro_02	narrator
Rom.HB.AL.Intro_03	narrator
Rom.HB.AL.Intro_04	narrator
Rom.HB.AL.Intro_05	narrator
Rom.HB.AL.Post_01	narrator
Rom.HB.AL.Post_02	narrator
Rom.HB.AL.Post_03	narrator
Rom.HB.AL.Pre_01	narrator
Rom.HB.AL.Pre_02	narrator
Rom.HB.AL.Pre_03	narrator
Rom.HB.AL.Pre_04	narrator
Rom.HB.AL.Pre_05	narrator
Rom.HB.CN.Intro_01	none
Rom.HB.CN.Intro_02	narrator
Rom.HB.CN.Intro_03	narrator
Rom.HB.CN.Intro_04	narrator
Rom.HB.CN.Intro_05	narrator
Rom.HB.CN.Intro_06	narrator
Rom.HB.CN.Post_01	narrator
Rom.HB.CN.Post_02	narrator
Rom.HB.CN.Post_03	narrator
Rom.HB.CN.Post_04	narrator
Rom.HB.CN.Pre_01	narrator
Rom.HB.CN.Pre_02	narrator
Rom.HB.CN.Pre_03	narrator
Rom.HB.CN.Pre_04	narrator
Rom.HB.CN.Pre_05	narrator
Rom.HB.CR.Intro_01	none
Rom.HB.CR.Intro_02	narrator
Rom.HB.CR.Intro_03	narrator
Rom.HB.CR.Intro_04	narrator
Rom.HB.CR.Intro_05	narrator
Rom.HB.CR.Intro_06	narrator
Rom.HB.CR.Intro_07	narrator
Rom.HB.CR.Post_01	narrator
Rom.HB.CR.Post_02	narrator
Rom.HB.CR.Post_03	narrator
Rom.HB.CR.Post_04	narrator
Rom.HB.CR.Pre_00	narrator
Rom.HB.CR.Pre_01	narrator
Rom.HB.CR.Pre_02	narrator
Rom.HB.CR.Pre_03	narrator
Rom.HB.CR.Pre_04	narrator
Rom.HB.CR.Pre_05	narrator
Rom.HB.CR.Pre_06	narrator
Rom.HB.CY.Intro_01	none
Rom.HB.CY.Intro_02	narrator
Rom.HB.CY.Intro_03	narrator
Rom.HB.CY.Intro_04	narrator
Rom.HB.CY.Intro_05	narrator
Rom.HB.CY.Intro_06	narrator
Rom.HB.CY.Post_01	narrator
Rom.HB.CY.Post_02	narrator
Rom.HB.CY.Post_03	narrator
Rom.HB.CY.Post_04	narrator
Rom.HB.CY.Pre_01	narrator
Rom.HB.CY.Pre_02	narrator
Rom.HB.CY.Pre_03	narrator
Rom.HB.CY.Pre_04	narrator
Rom.HB.CY.Pre_05	narrator
Rom.HB.NI.E3_Intro_02	narrator
Rom.HB.NI.E3_Intro_03	narrator
Rom.HB.NI.E3_Intro_04	narrator
Rom.HB.NI.E3_Intro_05	narrator
Rom.HB.NI.E3_Intro_06	narrator
Rom.HB.NI.E3_Intro_07	narrator
Rom.HB.NI.E3_Intro_08	narrator
Rom.HB.NI.E3_Intro_09	narrator
Rom.HB.NI.E3_Intro_10	battle_advisor
Rom.HB.NI.E3_Intro_11	battle_advisor
Rom.HB.NI.E3_Intro_13	battle_advisor
Rom.HB.NI.E3_Intro_14	battle_advisor
Rom.HB.NI.E3_Intro_15	battle_advisor
Rom.HB.NI.E3_Intro_16	battle_advisor
Rom.HB.NI.Intro_01	none
Rom.HB.NI.Intro_02	narrator
Rom.HB.NI.Intro_03	narrator
Rom.HB.NI.Intro_04	narrator
Rom.HB.NI.Post_01	narrator
Rom.HB.NI.Post_02	narrator
Rom.HB.NI.Pre_01	narrator
Rom.HB.NI.Pre_02	narrator
Rom.HB.NI.Pre_03	narrator
Rom.HB.NI.Pre_04	narrator
Rom.HB.NI.Pre_05	narrator
Rom.HB.PH.Intro_01	none
Rom.HB.PH.Intro_02	narrator
Rom.HB.PH.Intro_03	narrator
Rom.HB.PH.Intro_04	narrator
Rom.HB.PH.Intro_05	narrator
Rom.HB.PH.Post_01	narrator
Rom.HB.PH.Post_02	narrator
Rom.HB.PH.Post_03	narrator
Rom.HB.PH.Post_04	narrator
Rom.HB.PH.Pre_01	narrator
Rom.HB.PH.Pre_02	narrator
Rom.HB.PH.Pre_03	narrator
Rom.HB.PH.Pre_04	narrator
Rom.HB.PH.Pre_05	narrator
Rom.HB.PH.Pre_06	narrator
Rom.HB.PY.Intro_01	none
Rom.HB.PY.Intro_02	narrator
Rom.HB.PY.Intro_03	narrator
Rom.HB.PY.Intro_04	narrator
Rom.HB.PY.Intro_05	narrator
Rom.HB.PY.Intro_06	narrator
Rom.HB.PY.Intro_07	narrator
Rom.HB.PY.Post_01	narrator
Rom.HB.PY.Post_02	narrator
Rom.HB.PY.Pre_01	narrator
Rom.HB.PY.Pre_02	narrator
Rom.HB.PY.Pre_03	narrator
Rom.HB.PY.Pre_04	narrator
Rom.HB.RA.Intro_01	none
Rom.HB.RA.Intro_02	narrator
Rom.HB.RA.Intro_03	narrator
Rom.HB.RA.Intro_04	narrator
Rom.HB.RA.Intro_05	narrator
Rom.HB.RA.Intro_06	narrator
Rom.HB.RA.Post_01	narrator
Rom.HB.RA.Post_02	narrator
Rom.HB.RA.Pre_01	narrator
Rom.HB.RA.Pre_02	narrator
Rom.HB.RA.Pre_03	narrator
Rom.HB.RA.Pre_04	narrator
Rom.HB.SC.Intro_01	none
Rom.HB.SC.Post_01	narrator
Rom.HB.SC.Post_02	narrator
Rom.HB.SC.Pre_01	narrator
