attrition_type	campaign	enable	season
#season_attritions_tables;0;db/season_attritions_tables/season_attritions			
mountain	main_3c	false	season_autumn
mountain	main_emperor	false	season_autumn
mountain	main_gaul	false	season_autumn
mountain	main_punic	false	season_autumn
mountain	main_rome	false	season_autumn
mountain	main_greek	true	season_autumn
snow	main_3c	false	season_autumn
snow	main_emperor	false	season_autumn
snow	main_gaul	false	season_autumn
snow	main_greek	false	season_autumn
snow	main_punic	false	season_autumn
snow	main_rome	false	season_autumn
swamp	main_gaul	true	season_autumn
swamp	main_greek	true	season_autumn
swamp	main_punic	true	season_autumn
mountain	main_3c	true	season_spring
mountain	main_emperor	true	season_spring
mountain	main_gaul	true	season_spring
mountain	main_greek	true	season_spring
mountain	main_punic	true	season_spring
mountain	main_rome	true	season_spring
snow	main_3c	false	season_spring
snow	main_emperor	false	season_spring
snow	main_gaul	false	season_spring
snow	main_greek	false	season_spring
snow	main_punic	false	season_spring
snow	main_rome	false	season_spring
swamp	main_gaul	true	season_spring
swamp	main_greek	true	season_spring
swamp	main_punic	true	season_spring
mountain	main_3c	false	season_summer
mountain	main_emperor	false	season_summer
mountain	main_gaul	false	season_summer
mountain	main_punic	false	season_summer
mountain	main_rome	false	season_summer
mountain	main_greek	true	season_summer
snow	main_3c	false	season_summer
snow	main_emperor	false	season_summer
snow	main_gaul	false	season_summer
snow	main_greek	false	season_summer
snow	main_punic	false	season_summer
snow	main_rome	false	season_summer
swamp	main_gaul	true	season_summer
swamp	main_greek	true	season_summer
swamp	main_punic	true	season_summer
mountain	main_3c	true	season_winter
mountain	main_emperor	true	season_winter
mountain	main_gaul	true	season_winter
mountain	main_greek	true	season_winter
mountain	main_punic	true	season_winter
mountain	main_rome	true	season_winter
snow	main_3c	true	season_winter
snow	main_emperor	true	season_winter
snow	main_gaul	true	season_winter
snow	main_greek	true	season_winter
snow	main_punic	true	season_winter
snow	main_rome	true	season_winter
swamp	main_gaul	true	season_winter
swamp	main_greek	true	season_winter
swamp	main_punic	true	season_winter
