incident	outcome	culture	weight
#send_diplomat_incidents_tables;0;db/send_diplomat_incidents_tables/send_diplomat_incidents			
send_diplomat_killed_war_declared	CRITICAL_FAILURE	rom_Barbarian	1
send_diplomat_killed_war_declared	CRITICAL_FAILURE	rom_Eastern	1
send_diplomat_killed_war_declared	CRITICAL_FAILURE	rom_Hellenistic	1
send_diplomat_killed_war_declared	CRITICAL_FAILURE	rom_Roman	1
send_diplomat_land	CRITICAL_SUCCESS	rom_Barbarian	1
send_diplomat_land	CRITICAL_SUCCESS	rom_Eastern	1
send_diplomat_land	CRITICAL_SUCCESS	rom_Hellenistic	1
send_diplomat_land	CRITICAL_SUCCESS	rom_Roman	1
send_diplomat_betrayal_1	FAILURE	rom_Barbarian	1
send_diplomat_betrayal_2	FAILURE	rom_Barbarian	1
send_diplomat_betrayal_3	FAILURE	rom_Barbarian	1
send_diplomat_wounded	FAILURE	rom_Barbarian	1
send_diplomat_betrayal_1	FAILURE	rom_Eastern	1
send_diplomat_betrayal_2	FAILURE	rom_Eastern	1
send_diplomat_betrayal_3	FAILURE	rom_Eastern	1
send_diplomat_wounded	FAILURE	rom_Eastern	1
send_diplomat_betrayal_1	FAILURE	rom_Hellenistic	1
send_diplomat_betrayal_2	FAILURE	rom_Hellenistic	1
send_diplomat_betrayal_3	FAILURE	rom_Hellenistic	1
send_diplomat_wounded	FAILURE	rom_Hellenistic	1
send_diplomat_betrayal_1	FAILURE	rom_Roman	1
send_diplomat_betrayal_2	FAILURE	rom_Roman	1
send_diplomat_betrayal_3	FAILURE	rom_Roman	1
send_diplomat_wounded	FAILURE	rom_Roman	1
send_diplomat_master_horseman	SUCCESS	rom_Barbarian	1
send_diplomat_tactician	SUCCESS	rom_Barbarian	1
send_diplomat_tribute	SUCCESS	rom_Barbarian	1
send_diplomat_famous_bard	SUCCESS	rom_Eastern	1
send_diplomat_master_horseman	SUCCESS	rom_Eastern	1
send_diplomat_tribute	SUCCESS	rom_Eastern	1
send_diplomat_famous_bard	SUCCESS	rom_Hellenistic	1
send_diplomat_famous_scholar	SUCCESS	rom_Hellenistic	1
send_diplomat_tribute	SUCCESS	rom_Hellenistic	1
send_diplomat_famous_scholar	SUCCESS	rom_Roman	1
send_diplomat_tactician	SUCCESS	rom_Roman	1
send_diplomat_tribute	SUCCESS	rom_Roman	1
