key	entity	model	spacing
#ship_dbs_tables;0;db/ship_dbs_tables/ship_dbs			
athenai_three	athenai_three	pel_three	ship_three
barbarian_greek_five	barbarian_greek_five	barbarian_greek_five	ship_five
barbarian_heavy_raider	barbarian_heavy_raider	barbarian_heavy_raider	ship_heavy_raider
barbarian_medium_raider	barbarian_medium_raider_ranged	barbarian_medium_raider	ship_medium_raider
barbarian_persian_four	barbarian_persian_four	barbarian_persian_four	ship_four
barbarian_raider	barbarian_raider_ranged	barbarian_raider	ship_raider
barbarian_roman_five	barbarian_roman_five	barbarian_roman_five	ship_five
barbarian_roman_five_art	barbarian_roman_five_art	barbarian_roman_five	ship_five
barbarian_transport	barbarian_transport	barbarian_transport	ship_five
barbarian_transport_small	barbarian_transport_small	barbarian_transport_small	ship_two
egyptian_eight	egyptian_eight	egyptian_eight	ship_eight
egyptian_five	egyptian_five	egyptian_five	ship_five
egyptian_five_art	egyptian_five_art	egyptian_five	ship_five
egyptian_one_halfer	egyptian_one_halfer	egyptian_one_halfer	ship_one_halfer
egyptian_six	egyptian_six	egyptian_six	ship_six
egyptian_three	egyptian_three	egyptian_three	ship_three
egyptian_transport	egyptian_transport	egyptian_transport	ship_five
egyptian_transport_small	egyptian_transport_small	egyptian_transport_small	ship_two
egyptian_two	egyptian_two	egyptian_two	ship_two
egyptian_two_halfer	egyptian_two_halfer	egyptian_two_halfer	ship_two_halfer
greek_five	greek_five	greek_five	ship_five
greek_five_art	greek_five_art	greek_five	ship_five
greek_four	greek_four	greek_four	ship_four
greek_one_halfer	greek_one_halfer	greek_one_halfer	ship_one_halfer
greek_seven	greek_seven	greek_seven	ship_seven
greek_six	greek_six	greek_six	ship_six
greek_three	greek_three	greek_three	ship_three
greek_transport	greek_transport	greek_transport	ship_five
greek_transport_small	greek_transport_small	greek_transport_small	ship_two
greek_two	greek_two	greek_two	ship_two
greek_two_halfer	greek_two_halfer	greek_two_halfer	ship_two_halfer
korinthos_three	korinthos_three	pel_three	ship_three
pel_three	roman_three	pel_three	ship_three
pel_transport	roman_transport	pel_transport	ship_five
pel_two	roman_two	pel_two	ship_two
persian_five	persian_five	persian_five	ship_five
persian_five_art	persian_five_art	persian_five	ship_five
persian_four	persian_four	persian_four	ship_four
persian_one_halfer	persian_one_halfer	persian_one_halfer	ship_one_halfer
persian_six	persian_six	persian_six	ship_six
persian_three	persian_three	persian_three	ship_three
persian_transport	persian_transport	persian_transport	ship_five
persian_transport_small	persian_transport_small	persian_transport_small	ship_two
persian_two	persian_two	persian_two	ship_two
persian_two_halfer	persian_two_halfer	persian_two_halfer	ship_two_halfer
roman_five	roman_five	roman_five	ship_five
roman_five_art	roman_five_art	roman_five	ship_five
roman_four	roman_four	roman_four	ship_four
roman_harpax_six	roman_harpax_six	roman_harpax_six	ship_six
roman_one_halfer	roman_one_halfer	roman_one_halfer	ship_one_halfer
roman_six	roman_six	roman_six	ship_six
roman_three	roman_three	roman_three	ship_three
roman_transport	roman_transport	roman_transport	ship_five
roman_transport_small	roman_transport_small	roman_transport_small	ship_two
roman_two	roman_two	roman_two	ship_two
roman_two_halfer	roman_two_halfer	roman_two_halfer	ship_two_halfer
