id	building_superchain	slot_template
#slot_template_to_building_superchain_junctions_tables;0;db/slot_template_to_building_superchain_junctions_tables/slot_template_to_building_superchain_junctions		
0	SuperchainPortTEST	portTEST
101	rom_PortMajor	rom_major_port
1063	CityCentre	3c_major_navalbuff
1071	MilitaryMain	3c_major_navalbuff
1079	MilitaryBuff	3c_major_navalbuff
1088	MilitarySiege	3c_major_navalbuff
109	rom_SettlementMinor	rom_minor_primary
1096	Sanitation	3c_major_navalbuff
1101	Temple	3c_major_navalbuff
1108	Industry	3c_major_navalbuff
1116	AgricultureBarb	3c_major_navalbuff
1118	MilitarySecondary	3c_major_navalbuff
1128	Administration	3c_major_navalbuff
1138	NavalBuff	3c_major_navalbuff
1144	3c_rom_Agriculture	3c_major_navalbuff
1145	3c_rom_administration	3c_major_navalbuff
1150	3c_rom_cults	3c_major_navalbuff
1158	Mine	3c_minor_navalbuff
116	rom_EconomicPrimaryMinor	rom_minor_secondary
1164	TownCentre	3c_minor_navalbuff
1167	Tax	3c_minor_navalbuff
1168	Agriculture	3c_minor_navalbuff
1169	MilitaryMain	3c_minor_navalbuff
1174	Temple	3c_minor_navalbuff
1179	MilitarySecondary	3c_minor_navalbuff
118	rom_EconomicSecondaryMinor	rom_minor_secondary
1186	SanitationBarb	3c_minor_navalbuff
1190	NavalBuff	3c_minor_navalbuff
1196	3c_rom_Agriculture	3c_minor_navalbuff
12	SuperchainFinanceTEST	secondaryTEST
1200	3c_rom_administration	3c_minor_navalbuff
1208	3c_rom_cults	3c_minor_navalbuff
1216	ResourceSpice	minor_primary
1218	dk_saba_marib_dam	major_secondary
1220	inv_etr_main_agriculture	major_secondary
1227	inv_etr_main_city	major_primary
1235	inv_etr_main_military	major_secondary
124	rom_MilitaryEquipment	rom_minor_secondary
1241	inv_etr_main_port	port
1244	inv_etr_main_religion	major_secondary
1247	inv_etr_main_administration	major_secondary
1248	ResourceSalt	minor_primary
1254	inv_etr_minor_agriculture	minor_secondary
1255	inv_etr_minor_military	minor_secondary
126	rom_TempleMinor	rom_minor_secondary
1264	inv_etr_minor_religious	minor_secondary
1274	inv_etr_main_industry	major_secondary
1277	inv_etr_minor_industry	minor_secondary
133	rom_PortMinor	rom_minor_port
143	rom_Sanitation	rom_major_secondary
17	SuperchainMilitaryTEST	secondaryTEST
25	SuperchainFinanceTEST	rom_primaryTEST
3	SuperchainFarmTEST	secondaryTEST
414	rom_GENERIC_city_minor_olives	rom_minor_primary
43	SuperchainFinanceTEST	car_primaryTEST
434	rom_GENERIC_city_minor_fish	rom_minor_primary
435	rom_GENERIC_city_minor_glass	rom_minor_primary
442	rom_GENERIC_city_minor_gold	rom_minor_primary
445	rom_GENERIC_city_minor_grain	rom_minor_primary
456	rom_GENERIC_city_minor_hides	rom_minor_primary
466	rom_GENERIC_city_minor_holy_site	rom_minor_primary
47	SuperchainMilitaryTEST	rom_primaryTEST
475	rom_GENERIC_city_minor_iron	rom_minor_primary
484	rom_GENERIC_city_minor_limestone	rom_minor_primary
493	rom_GENERIC_city_minor_marble	rom_minor_primary
494	rom_GENERIC_city_minor_military_tradition	rom_minor_primary
503	rom_GENERIC_city_minor_purple_dye	rom_minor_primary
509	rom_GENERIC_city_minor_silk	rom_minor_primary
510	rom_GENERIC_city_minor_silver	rom_minor_primary
528	rom_GENERIC_city_minor_timber	rom_minor_primary
538	rom_GENERIC_city_minor_township	rom_minor_primary
539	rom_GENERIC_city_minor_wine	rom_minor_primary
57	SuperchainFarmTEST	rom_primaryTEST
63	rom_SettlementMajor	rom_major_primary
65	rom_CityLotMajor	rom_major_secondary
652	rom_TempleLocal	rom_minor_secondary
659	rom_TempleLocal	rom_major_secondary
667	rom_MilitaryAnimals	rom_minor_secondary
671	rom_MilitaryAnimals	rom_major_secondary
673	rom_MilitaryMainMajor	rom_minor_secondary
684	rom_IndustryMinor	rom_minor_secondary
686	CityCentre	major_secondary
691	SettlementMajor	major_primary
701	SettlementMinor	minor_primary
704	MilitaryMain	major_secondary
709	MilitaryBuff	major_secondary
713	MilitarySiege	major_secondary
721	Port	port
724	Sanitation	major_secondary
731	Temple	major_secondary
733	Industry	major_secondary
739	Mine	minor_secondary
74	rom_EconomicPrimaryMajor	rom_major_secondary
745	TownCentre	minor_secondary
748	Tax	minor_secondary
75	rom_EconomicSecondaryMajor	rom_major_secondary
756	Agriculture	minor_secondary
766	ResourceAmber	minor_primary
768	ResourceGlass	minor_primary
770	ResourceGold	minor_primary
776	ResourceGrain	minor_primary
782	ResourceHorse	minor_primary
787	ResourceIron	minor_primary
792	ResourceLead	minor_primary
796	ResourceLeather	minor_primary
797	ResourceLumber	minor_primary
80	rom_MilitaryBuffMajor	rom_major_secondary
804	ResourceMarble	minor_primary
811	ResourceOlive	minor_primary
817	ResourceDye	minor_primary
82	rom_MilitaryEquipment	rom_major_secondary
821	ResourceSilk	minor_primary
827	ResourceWine	minor_primary
831	ResourceMine	minor_primary
839	MilitaryMain	minor_secondary
842	Temple	minor_secondary
849	AgricultureBarb	major_secondary
85	rom_MilitaryMainMajor	rom_major_secondary
863	MilitarySecondary	major_secondary
873	MilitarySecondary	minor_secondary
878	SanitationBarb	minor_secondary
879	Administration	major_secondary
887	3c_rom_Agriculture	major_secondary
897	3c_rom_Agriculture	minor_secondary
899	3c_rom_administration	major_secondary
909	3c_rom_administration	minor_secondary
913	3c_rom_cults	major_secondary
92	rom_TempleMajor	rom_major_secondary
921	3c_rom_cults	minor_secondary
