level	port	gdp_value	building_gdp_modifier
#slots_gdp_values_tables;0;db/slots_gdp_values_tables/slots_gdp_values			
0	SHO_region_specialty_armourmaking	0.0000	1.0000
1	SHO_region_specialty_armourmaking	0.0000	1.0000
2	SHO_region_specialty_armourmaking	0.0000	1.0000
3	SHO_region_specialty_armourmaking	0.0000	1.0000
4	SHO_region_specialty_armourmaking	0.0000	1.0000
5	SHO_region_specialty_armourmaking	0.0000	1.0000
0	SHO_region_specialty_artisans	0.0000	1.0000
1	SHO_region_specialty_artisans	0.0000	1.0000
2	SHO_region_specialty_artisans	0.0000	1.0000
3	SHO_region_specialty_artisans	0.0000	1.0000
4	SHO_region_specialty_artisans	0.0000	1.0000
5	SHO_region_specialty_artisans	0.0000	1.0000
0	SHO_region_specialty_farm	0.0000	1.0000
1	SHO_region_specialty_farm	0.0000	1.2000
2	SHO_region_specialty_farm	0.0000	1.4000
3	SHO_region_specialty_farm	0.0000	1.6000
4	SHO_region_specialty_farm	0.0000	1.8000
5	SHO_region_specialty_farm	0.0000	2.0000
0	SHO_region_specialty_gold_mining	0.0000	1.0000
1	SHO_region_specialty_gold_mining	0.0000	1.0000
2	SHO_region_specialty_gold_mining	0.0000	1.0000
3	SHO_region_specialty_gold_mining	0.0000	1.0000
4	SHO_region_specialty_gold_mining	0.0000	1.0000
5	SHO_region_specialty_gold_mining	0.0000	1.0000
0	SHO_region_specialty_holy_site	0.0000	1.0000
1	SHO_region_specialty_holy_site	0.0000	1.0000
2	SHO_region_specialty_holy_site	0.0000	1.0000
3	SHO_region_specialty_holy_site	0.0000	1.0000
4	SHO_region_specialty_holy_site	0.0000	1.0000
5	SHO_region_specialty_holy_site	0.0000	1.0000
0	SHO_region_specialty_horses	0.0000	1.0000
1	SHO_region_specialty_horses	0.0000	1.0000
2	SHO_region_specialty_horses	0.0000	1.0000
3	SHO_region_specialty_horses	0.0000	1.0000
4	SHO_region_specialty_horses	0.0000	1.0000
5	SHO_region_specialty_horses	0.0000	1.0000
0	SHO_region_specialty_iron_mining	0.0000	1.0000
1	SHO_region_specialty_iron_mining	0.0000	1.0000
2	SHO_region_specialty_iron_mining	0.0000	1.0000
3	SHO_region_specialty_iron_mining	0.0000	1.0000
4	SHO_region_specialty_iron_mining	0.0000	1.0000
5	SHO_region_specialty_iron_mining	0.0000	1.0000
0	SHO_region_specialty_naval_tradition	0.0000	1.0000
1	SHO_region_specialty_naval_tradition	0.0000	1.0000
2	SHO_region_specialty_naval_tradition	0.0000	1.0000
3	SHO_region_specialty_naval_tradition	0.0000	1.0000
4	SHO_region_specialty_naval_tradition	0.0000	1.0000
5	SHO_region_specialty_naval_tradition	0.0000	1.0000
0	SHO_region_specialty_ninja	0.0000	1.0000
1	SHO_region_specialty_ninja	0.0000	1.0000
2	SHO_region_specialty_ninja	0.0000	1.0000
3	SHO_region_specialty_ninja	0.0000	1.0000
4	SHO_region_specialty_ninja	0.0000	1.0000
5	SHO_region_specialty_ninja	0.0000	1.0000
0	SHO_region_specialty_philosophical_tradition	0.0000	1.0000
1	SHO_region_specialty_philosophical_tradition	0.0000	1.0000
2	SHO_region_specialty_philosophical_tradition	0.0000	1.0000
3	SHO_region_specialty_philosophical_tradition	0.0000	1.0000
4	SHO_region_specialty_philosophical_tradition	0.0000	1.0000
5	SHO_region_specialty_philosophical_tradition	0.0000	1.0000
0	SHO_region_specialty_prime_forest	0.0000	1.0000
1	SHO_region_specialty_prime_forest	0.0000	1.0000
2	SHO_region_specialty_prime_forest	0.0000	1.0000
3	SHO_region_specialty_prime_forest	0.0000	1.0000
4	SHO_region_specialty_prime_forest	0.0000	1.0000
5	SHO_region_specialty_prime_forest	0.0000	1.0000
0	SHO_region_specialty_smithing	0.0000	1.0000
1	SHO_region_specialty_smithing	0.0000	1.0000
2	SHO_region_specialty_smithing	0.0000	1.0000
3	SHO_region_specialty_smithing	0.0000	1.0000
4	SHO_region_specialty_smithing	0.0000	1.0000
5	SHO_region_specialty_smithing	0.0000	1.0000
0	SHO_region_specialty_stone	0.0000	1.0000
1	SHO_region_specialty_stone	0.0000	1.0000
2	SHO_region_specialty_stone	0.0000	1.0000
3	SHO_region_specialty_stone	0.0000	1.0000
4	SHO_region_specialty_stone	0.0000	1.0000
5	SHO_region_specialty_stone	0.0000	1.0000
0	port	0.0000	1.0000
1	port	0.0000	1.0000
2	port	0.0000	1.0000
3	port	0.0000	1.0000
4	port	0.0000	1.0000
5	port	0.0000	1.0000
0	rice	0.0000	1.0000
1	rice	0.0000	1.0000
2	rice	0.0000	1.3000
3	rice	0.0000	1.5000
4	rice	0.0000	2.0000
5	rice	0.0000	3.0000
1	settlement	0.0000	1.0000
2	settlement	0.0000	1.0000
3	settlement	0.0000	1.0000
4	settlement	0.0000	1.0000
5	settlement	0.0000	1.0000
0	settlement_castle	0.0000	1.0000
1	settlement_castle	0.0000	1.0000
2	settlement_castle	0.0000	1.0000
3	settlement_castle	0.0000	1.0000
0	settlement_sho_generic	0.0000	1.0000
1	settlement_sho_generic	0.0000	1.0000
2	settlement_sho_generic	0.0000	1.0000
3	settlement_sho_generic	0.0000	1.0000
