special_ability_groups	unit_special_abilities
#special_ability_groups_to_unit_abilities_junctions_tables;1;db/special_ability_groups_to_unit_abilities_junctions_tables/special_ability_groups_to_unit_abilities_junctions	
Ariovistus	com_fast_charge
Ariovistus	com_pride
Boduognatus	com_force_concentration
Boduognatus	com_spirit
Caesar	com_loyalty
Caesar	com_presence
Commander	com_raise_banner
Commander	com_rally
Strategist	com_battle_rhythm
Strategist	com_second_wind
Vercingetorix	com_relentless
Vercingetorix	com_unity
Warmonger	com_the_fear_group
Warmonger	com_war_cry
