id	duration	effect_type	requested_stance	unbreakable	cant_move	kill_own_unit	freeze_fatigue	fatigue_change_ratio	inspiration_aura_range_mod	ability_recharge_change	minor_casualties	major_casualties	ui_vfx	rally_amount
#special_ability_phases_tables;11;db/special_ability_phases_tables/special_ability_phases														
Bloodlust_1	15.0000	positive		false	false	false	false	0.0000	0.0000	0.0000	false	false	buff	0
Make_it_Count_1	20.0000	positive		false	false	false	false	0.0000	0.0000	0.0000	false	false	buff	0
aquila_1	20.0000	positive		false	false	false	false	0.0000	0.0000	0.0000	false	false	buff	0
barrage_1	15.0000	positive		false	false	false	false	0.0000	0.0000	0.0000	false	false	buff	0
battle_cry_1	10.0000	positive		false	false	false	false	0.0000	0.0000	0.0000	false	false	buff	0
beehive	40.0000	negative		false	false	false	false	0.0000	0.0000	0.0000	false	false	debuff	0
brace_yourself_1	4.0000	positive		false	true	false	false	0.0000	0.0000	0.0000	false	false	buff	0
cantabrian_circle	-1.0000	positive		false	false	false	false	0.0000	0.0000	0.0000	false	false	buff	0
cavalry_charge_1	10.0000	positive		false	false	false	false	0.0000	0.0000	0.0000	false	false	buff	0
chant	30.0000	positive	raise_weapon	false	false	false	false	0.0000	0.0000	0.0000	false	false	buff	0
com_battle_rhythm_1	5.0000	positive	bash_weapon	false	false	false	false	0.0000	0.0000	0.0000	false	false	buff	0
com_battle_rhythm_2	10.0000	positive		false	false	false	false	0.0000	0.0000	0.0000	false	false	buff	0
com_battle_rhythm_3	10.0000	positive		false	false	false	false	0.0000	0.0000	0.0000	false	false	buff	0
com_battle_rhythm_4	10.0000	positive		false	false	false	false	0.0000	0.0000	0.0000	false	false	buff	0
com_battle_rhythm_5	10.0000	negative		false	false	false	false	0.0000	0.0000	0.0000	false	false	debuff	0
com_brace	10.0000	positive		false	true	false	false	0.0000	0.0000	0.0000	false	false	debuff	0
com_fast_charge_1	15.0000	positive	raise_weapon	false	false	false	false	0.0000	0.0000	0.0000	false	false	heavy_buff	0
com_fast_charge_2	45.0000	positive		false	false	false	false	0.0000	0.0000	0.0000	false	false	heavy_buff	0
com_fear	60.0000	negative		false	false	false	false	0.0000	0.0000	60.0000	false	false	debuff	0
com_force_concentration	60.0000	positive	raise_weapon	false	false	false	false	0.0000	0.0000	0.0000	false	false	heavy_buff	0
com_inspire	10.0000	positive	cheer	false	false	false	false	0.0000	0.0000	0.0000	false	false	buff	0
com_into_the_breach	10.0000	positive		false	false	false	false	0.0000	0.0000	0.0000	false	false	buff	0
com_loyalty	60.0000	positive	bash_weapon	true	false	false	false	0.0000	0.0000	0.0000	false	false	heavy_buff	0
com_presence	60.0000	positive	cheer	false	false	false	false	0.0000	0.0000	-60.0000	false	false	heavy_buff	0
com_pride	60.0000	positive	taunt	false	false	false	false	0.0000	0.0000	0.0000	false	false	heavy_buff	0
com_push	30.0000	positive		false	false	false	true	0.0000	0.0000	0.0000	false	false	buff	0
