invalid_usage_flag	special_ability
#special_ability_to_invalid_usage_flags_tables;0;db/special_ability_to_invalid_usage_flags_tables/special_ability_to_invalid_usage_flags	
dismounted	cantabrian_circle
embarked_on_a_ship	cantabrian_circle
manning_equipment	cantabrian_circle
embarked_on_a_ship	cavalry_counter_tactics
officer_dead	com_battle_rhythm
manning_equipment	com_brace
officer_dead	com_brace
officer_dead	com_inspire_group
officer_dead	com_inspire_unit
officer_dead	com_into_the_breach
officer_dead	com_push
officer_dead	com_rally_position
officer_dead	com_rally
officer_dead	com_second_wind_group
officer_dead	com_second_wind
disembarked_from_a_ship	com_shock_and_awe
officer_dead	com_taunt_group
officer_dead	com_taunt
officer_dead	com_the_fear_group
officer_dead	com_the_fear
officer_dead	com_war_cry_group
officer_dead	com_war_cry
embarked_on_a_ship	com_we_stand_and_fight
officer_dead	com_we_stand_and_fight
embarked_on_a_ship	draco
dismounted	form_cavalry_testudo
embarked_on_a_ship	form_cavalry_testudo
enemy_in_proximity	form_cavalry_testudo
manning_equipment	form_cavalry_testudo
dismounted	form_diamond
embarked_on_a_ship	form_diamond
enemy_in_proximity	form_diamond
manning_equipment	form_diamond
dismounted	form_flying_wedge
embarked_on_a_ship	form_flying_wedge
enemy_in_proximity	form_flying_wedge
manning_equipment	form_flying_wedge
defending_a_zone	form_hollow_square
embarked_on_a_ship	form_hollow_square
enemy_in_proximity	form_hollow_square
manning_equipment	form_hollow_square
defending_a_zone	form_hoplite_phalanx
embarked_on_a_ship	form_hoplite_phalanx
enemy_in_proximity	form_hoplite_phalanx
manning_equipment	form_hoplite_phalanx
defending_a_zone	form_pike_square
embarked_on_a_ship	form_pike_square
enemy_in_proximity	form_pike_square
manning_equipment	form_pike_square
defending_a_zone	form_pike_wall
embarked_on_a_ship	form_pike_wall
enemy_in_proximity	form_pike_wall
manning_equipment	form_pike_wall
defending_a_zone	form_shield_screen
embarked_on_a_ship	form_shield_screen
enemy_in_proximity	form_shield_screen
manning_equipment	form_shield_screen
defending_a_zone	form_shield_wall
embarked_on_a_ship	form_shield_wall
enemy_in_proximity	form_shield_wall
manning_equipment	form_shield_wall
defending_a_zone	form_testudo_defensive
embarked_on_a_ship	form_testudo_defensive
enemy_in_proximity	form_testudo_defensive
manning_equipment	form_testudo_defensive
defending_a_zone	form_testudo
embarked_on_a_ship	form_testudo
enemy_in_proximity	form_testudo
manning_equipment	form_testudo
embarked_on_a_ship	form_wedge
enemy_in_proximity	form_wedge
manning_equipment	form_wedge
embarked_on_a_ship	frenzied_charge_inf
embarked_on_a_ship	frenzied_charge
disembarked_from_a_ship	hard_10
disembarked_from_a_ship	hard_20
disembarked_from_a_ship	hard_30
embarked_on_a_ship	kill_elephants
not_yet_enraged	kill_elephants
cannot_perform_missile_attack	precision_shot
cannot_perform_missile_attack	quick_reload
embarked_on_a_ship	rapid_advance
manning_equipment	rapid_advance
cannot_perform_missile_attack	rapid_volley
embarked_on_a_ship	stampede
embarked_on_a_ship	steady_advance
embarked_on_a_ship	steady_retreat
manning_equipment	steady_retreat
dismounted	trample
embarked_on_a_ship	trample
phase_is_deployment	use_the_whip
