character	related_to	relationship	bastard	adopted
#start_pos_family_relationships_tables;1;db/start_pos_family_relationships_tables/start_pos_family_relationships				
2140781682	2140787538	child	false	false
2140781682	2140787550	spouse	false	false
2140781687	2140786651	spouse	false	false
2140781720	2140785535	spouse	false	false
2140781720	2140786391	child	false	false
2140781723	2140787610	child	false	false
2140781723	2140787622	spouse	false	false
2140781731	2140787576	child	false	false
2140781731	2140787586	spouse	false	false
2140781736	2140787658	spouse	false	false
2140781736	2140787669	child	false	false
2140781744	2140787265	child	false	false
2140781744	2140787277	spouse	false	false
2140781794	2140787331	child	false	false
2140781802	2140786913	spouse	false	false
2140781802	2140786926	child	false	false
2140781813	2140787023	child	false	false
2140781813	2140787033	spouse	false	false
2140781815	2140787117	child	false	false
2140781849	2140787043	spouse	false	false
2140781922	2140786551	child	false	false
2140781922	2140786568	spouse	false	false
2140781929	2140786589	child	false	false
2140781929	2140786599	child	false	false
2140781993	2140787157	child	false	false
2140781993	2140787163	spouse	false	false
2140782020	2140783170	spouse	false	false
2140782020	2140787074	child	false	false
2140782040	2140786426	spouse	false	false
2140782040	2140786441	child	false	false
2140782120	2140787354	child	false	false
2140782120	2140787366	spouse	false	false
2140782136	2140786730	child	false	false
2140782148	2140787388	spouse	false	false
2140782150	2140787242	child	false	false
2140782183	2140786754	child	false	false
2140782191	2140787084	child	false	false
2140782219	2140786493	child	false	false
2140782219	2140786495	child	false	false
2140782219	2140786499	spouse	false	false
2140782232	2140786622	sibling	false	false
2140782232	2140786699	child	false	false
2140782238	2140786979	spouse	false	false
2140782262	2140787410	child	false	false
2140782267	2140786776	child	false	false
2140782279	2140787471	spouse	false	false
2140782279	2140787489	child	false	false
2140782301	2140787104	child	false	false
2140782328	2140786503	spouse	false	false
2140782358	2140787288	child	false	false
2140782358	2140787304	spouse	false	false
2140782393	2140787555	child	false	false
2140782561	2140787518	child	false	false
2140782566	2140786669	child	false	false
2140782592	2140781720	child	false	false
2140782675	2140786660	child	false	false
2140782675	2140786665	spouse	false	false
2140782691	2140786931	child	false	false
2140782692	2140786931	child	false	false
2140782692	2140786938	spouse	false	false
2140782703	2140786371	spouse	false	false
2140782703	2140786391	child	false	false
2140782719	2140781813	child	false	false
2140782748	2140782756	spouse	false	false
2140782748	2140787104	child	false	false
2140782758	2140781744	child	false	false
2140782841	2140787418	child	false	false
2140783147	2140782882	child	false	true
2140783153	2140782882	child	false	true
2140783158	2140782882	child	false	true
2140783161	2140782883	child	false	true
2140783172	2140787084	child	false	false
2140783200	2140787568	spouse	false	false
2140783206	2140782954	child	false	true
2140783216	2140782954	child	false	true
2140783220	2140782954	child	false	true
2140783234	2140782883	child	false	true
