event	source	target	turns_ago
#start_pos_past_events_tables;0;db/start_pos_past_events_tables/start_pos_past_events			
RAIDING	3c_alani	3c_ardhan	10
RAIDING	3c_alani	3c_bosporou	10
RAIDING	3c_alani	3c_colchis	15
STATE_GIFT_REFUSED	3c_alani	3c_dahae	15
BATTLE_ATTACK	3c_alani	3c_gothi	10
RAIDING	3c_alani	3c_gothi	12
TROOPS_ENSLAVED	3c_alani	3c_gothi	10
BATTLE_ALLY_SUPPORT_REFUSED	3c_alani	3c_heruli	10
STATE_GIFT_SMALL	3c_alani	3c_iastae	8
PEACE	3c_armenia	3c_ardhan	10
STATE_GIFT_REFUSED	3c_armenia	3c_colchis	15
HOSTILE_AGENT_ACTION	3c_armenia	3c_kartli	10
BATTLE_ATTACK	3c_franci	3c_langobardi	2
TROOPS_EXECUTED	3c_franci	3c_langobardi	2
HOSTILE_AGENT_ACTION	3c_franci	3c_varini	2
RAIDING	3c_franci	3c_varini	2
BATTLE_ALLY_SUPPORT_REFUSED	3c_gallicemp	3c_britannia	10
STATE_GIFT_REFUSED	3c_gallicemp	3c_britannia	15
TRADE_AGREEMENT_BROKEN	3c_gallicemp	3c_britannia	12
STATE_GIFT_SMALL	3c_gallicemp	3c_caledoni	5
HOSTILE_AGENT_ACTION	3c_gallicemp	3c_mauretania	10
CLIENT_STATE_BROKEN	3c_gallicemp	3c_rome	30
BATTLE_ATTACK	3c_gothi	3c_alani	10
TROOPS_ENSLAVED	3c_gothi	3c_alani	10
RAIDING	3c_gothi	3c_bosporou	10
TROOPS_ENSLAVED	3c_gothi	3c_bosporou	10
TRESSPASSING	3c_gothi	3c_buri	12
RAIDING	3c_gothi	3c_colchis	8
TROOPS_ENSLAVED	3c_gothi	3c_colchis	8
PEACE	3c_gothi	3c_heruli	10
TRESSPASSING	3c_langobardi	3c_franci	3
BATTLE_SUPPORT	3c_langobardi	3c_varini	4
TRESSPASSING	3c_marcomanni	3c_alemanni	10
BATTLE_SUPPORT	3c_marcomanni	3c_gallicemp	10
STATE_GIFT_SMALL	3c_marcomanni	3c_langobardi	15
TRADE_AGREEMENT_PAST	3c_marcomanni	3c_quadi	12
STATE_GIFT_REFUSED	3c_marcomanni	3c_semnones	8
STATE_GIFT_REFUSED	3c_marcomanni	3c_vandali	8
MILITARY_ACCESS_BROKEN	3c_marcomanni	3c_varini	15
STATE_GIFT_REFUSED	3c_media	3c_armenia	15
STATE_GIFT_SMALL	3c_palmyra	3c_gallicemp	15
STATE_GIFT_SMALL	3c_palmyra	3c_lakhmids	5
STATE_GIFT_SMALL	3c_palmyra	3c_nabatea	5
CLIENT_STATE_BROKEN	3c_palmyra	3c_rome	30
BATTLE_ATTACK	3c_quadi	3c_vandali	11
TROOPS_EXECUTED	3c_quadi	3c_vandali	11
TROOPS_EXECUTED	3c_rome	3c_marcomanni	4
MILITARY_ALLIANCE_BROKEN	3c_rome	3c_roman_pretender	2
WAR	3c_rome	3c_roman_pretender	1
WAR_PAST	3c_sakastan	3c_margiana	18
WAR_PAST	3c_sassanid	3c_armenia	10
CITY_RAZED	3c_sassanid	3c_sakastan	10
CULTURAL_DIFFERENCES	3c_sassanid	3c_sakastan	2
DIPLOMAT_CRITICAL_FAILURE	3c_sassanid	3c_sakastan	2
DIPLOMAT_CRITICAL_FAILURE	3c_sassanid	3c_sakastan	3
TRESSPASSING	3c_sassanid	3c_sakastan	10
TROOPS_ENSLAVED	3c_sassanid	3c_sakastan	10
TROOPS_EXECUTED	3c_sassanid	3c_sakastan	10
VASSALAGE_FORCED	3c_sassanid	3c_sakastan	10
WAR_PAST	3c_sassanid	3c_sakastan	18
BATTLE_ATTACK	3c_vandali	3c_quadi	9
TROOPS_EXECUTED	3c_vandali	3c_vandali	9
TRESSPASSING	3c_varini	3c_franci	3
STATE_GIFT_SMALL	3c_varini	3c_langobardi	4
BATTLE_ATTACK	emp_antony	emp_dacia	5
STATE_GIFT_LARGE	emp_antony	emp_galatia	10
TRESSPASSING	emp_antony	emp_pompey	5
STATE_GIFT_MEDIUM	emp_arii	emp_quadi	10
BATTLE_ATTACK	emp_armenia	emp_antony	10
BATTLE_ATTACK	emp_armenia	emp_pontus	10
BATTLE_ATTACK	emp_axum	emp_meroe	10
BATTLE_ATTACK	emp_belgae	emp_octavian	4
STATE_GIFT_MEDIUM	emp_breuci	emp_scordisci	10
BATTLE_ATTACK	emp_brigantes	emp_caledones	5
BATTLE_ATTACK	emp_caledones	emp_brigantes	16
STATE_GIFT_LARGE	emp_caledones	emp_brigantes	12
HOSTILE_AGENT_ACTION	emp_caledones	emp_ebdani	7
TRESSPASSING	emp_caledones	emp_ebdani	10
TRESSPASSING	emp_cherusci	emp_belgae	10
TRESSPASSING	emp_corieltauvi	emp_demetae	10
HOSTILE_AGENT_ACTION	emp_corieltauvi	emp_iceni	13
TRESSPASSING	emp_corieltauvi	emp_iceni	9
BATTLE_ATTACK	emp_dacia	emp_boii	10
BATTLE_ATTACK	emp_dumonii	emp_corieltauvi	12
STATE_GIFT_MEDIUM	emp_dumonii	emp_iceni	8
HOSTILE_AGENT_ACTION	emp_ebdani	emp_brigantes	10
TRADE_AGREEMENT	emp_ebdani	emp_caledones	100
TRADE_AGREEMENT_BROKEN	emp_ebdani	emp_caledones	15
TRESSPASSING	emp_ebdani	emp_caledones	8
HOSTILE_AGENT_ACTION	emp_ebdani	emp_demetae	12
HOSTILE_AGENT_ACTION	emp_ebdani	emp_dumonii	15
RAIDING	emp_ebdani	emp_dumonii	20
BATTLE_ATTACK	emp_gaul	emp_octavian	7
STATE_GIFT_LARGE	emp_gerrhea	emp_parthia	10
BATTLE_ATTACK	emp_iceni	emp_corieltauvi	12
TRESSPASSING	emp_iceni	emp_corieltauvi	5
BATTLE_SUPPORT	emp_iceni	emp_dumonii	12
STATE_GIFT_SMALL	emp_iceni	emp_dumonii	8
BATTLE_ATTACK	emp_judea	emp_nabatea	10
TRESSPASSING	emp_lazyges	emp_bastarnae	10
BATTLE_ATTACK	emp_lepidus	emp_cantabri	10
STATE_GIFT_SMALL	emp_lepidus	emp_gaetuli	10
BATTLE_ATTACK	emp_lepidus	emp_iberia	10
BATTLE_ATTACK	emp_lepidus	emp_numidia	5
TRESSPASSING	emp_lepidus	emp_octavian	5
HOSTILE_AGENT_ACTION	emp_lepidus	emp_pompey	10
TRESSPASSING	emp_marcomanni	emp_raeti	10
TRESSPASSING	emp_marcomanni	emp_vindelici	10
BATTLE_ATTACK	emp_media_atropatene	emp_armenia	5
BATTLE_ATTACK	emp_meroe	emp_axum	10
BATTLE_ATTACK	emp_nabatea	emp_judea	10
STATE_GIFT_MEDIUM	emp_nori	emp_octavian	10
HOSTILE_AGENT_ACTION	emp_octavian	emp_antony	10
BATTLE_ATTACK	emp_octavian	emp_belgae	10
BATTLE_ATTACK	emp_octavian	emp_gaul	10
STATE_GIFT_SMALL	emp_octavian	emp_helvetii	10
TRESSPASSING	emp_octavian	emp_lepidus	5
BATTLE_ATTACK	emp_octavian	emp_pompey	10
HOSTILE_AGENT_ACTION	emp_octavian	emp_pompey	5
STATE_GIFT_MEDIUM	emp_palmyra	emp_parthia	10
BATTLE_ATTACK	emp_parthia	emp_antony	5
TRESSPASSING	emp_parthia	emp_armenia	10
BATTLE_ATTACK	emp_parthia	emp_dahae	10
BATTLE_ATTACK	emp_pontus	emp_antony	10
BATTLE_ATTACK	emp_pontus	emp_galatia	10
BATTLE_ATTACK	emp_pontus	emp_kartli	10
TRESSPASSING	emp_quadi	emp_boii	10
TRESSPASSING	emp_quadi	emp_nori	10
STATE_GIFT_LARGE	emp_raeti	emp_octavian	10
STATE_GIFT_SMALL	emp_rugii	emp_cherusci	10
STATE_GIFT_MEDIUM	emp_siraces	emp_roxolani	10
BATTLE_ATTACK	emp_thrace	emp_dacia	5
HOSTILE_AGENT_ACTION	gaul_aedui	gaul_arverni	1
HOSTILE_AGENT_ACTION	gaul_aedui	gaul_arverni	2
TRESSPASSING	gaul_aedui	gaul_arverni	1
TRESSPASSING	gaul_aedui	gaul_helvetii	5
STATE_GIFT_LARGE	gaul_aedui	gaul_rome	1
HOSTILE_AGENT_ACTION	gaul_aedui	gaul_sequani	1
HOSTILE_AGENT_ACTION	gaul_aedui	gaul_suebi	3
TRESSPASSING	gaul_aedui	gaul_suebi	2
STATE_GIFT_MEDIUM	gaul_allobroges	gaul_rome	20
HOSTILE_AGENT_ACTION	gaul_arverni	gaul_aedui	1
HOSTILE_AGENT_ACTION	gaul_arverni	gaul_aedui	2
HOSTILE_AGENT_ACTION	gaul_arverni	gaul_aedui	3
TRESSPASSING	gaul_arverni	gaul_aedui	6
TRESSPASSING	gaul_arverni	gaul_bituriges	10
