campaign	id	region	slot_template	slot_type
#start_pos_region_slot_templates_tables;0;db/start_pos_region_slot_templates_tables/start_pos_region_slot_templates				
main_rome	0	rom_magna_graecia_bruttium	minor_primary	primary
main_rome	1003	rom_cartaginensis_edetania	minor_primary	primary
main_rome	100	rom_italia_picenum	minor_primary	primary
main_rome	1011	rom_cartaginensis_edetania	port	port
main_rome	1015	rom_cartaginensis_edetania	minor_secondary	secondary
main_rome	1021	rom_cartaginensis_bastetania	major_primary	primary
main_rome	1027	rom_cartaginensis_bastetania	port	port
main_rome	1031	rom_cartaginensis_bastetania	major_secondary	secondary
main_rome	1039	rom_cartaginensis_baleareis	minor_primary	primary
main_rome	1041	rom_cartaginensis_baleareis	port	port
main_rome	1045	rom_cartaginensis_baleareis	minor_secondary	secondary
main_rome	1051	rom_provincia_narbonensis	minor_primary	primary
main_rome	1060	rom_provincia_narbonensis	minor_secondary	secondary
main_rome	1063	rom_provincia_transalpina	major_primary	primary
main_rome	106	rom_italia_samnium	minor_primary	primary
main_rome	1071	rom_provincia_transalpina	port	port
main_rome	1080	rom_provincia_transalpina	major_secondary	secondary
main_rome	1088	rom_aquitania_aquitania	major_primary	primary
main_rome	1094	rom_aquitania_aquitania	port	port
main_3c	10958	emp_transoxania_maracanda	major_secondary	secondary
main_3c	10960	emp_transoxania_maracanda	major_primary	primary
main_3c	10970	emp_transoxania_bukhara	minor_secondary	secondary
main_3c	10971	emp_transoxania_bukhara	minor_primary	primary
main_3c	10973	emp_thracia_pulpudeva	3c_major_navalbuff	secondary
main_3c	10982	emp_thracia_pulpudeva	major_primary	primary
main_3c	10985	emp_thracia_odessos	port	port
main_rome	1098	rom_aquitania_aquitania	major_secondary	secondary
main_3c	10994	emp_thracia_odessos	minor_secondary	secondary
main_3c	10998	emp_thracia_odessos	minor_primary	primary
main_rome	109	rom_cisalpina_insubria	major_primary	primary
main_3c	11008	emp_thracia_naissos	minor_secondary	secondary
main_3c	11018	emp_thracia_naissos	minor_primary	primary
main_rome	1101	rom_aquitania_gergovia	minor_primary	primary
main_3c	11024	emp_thracia_antheia	port	port
main_3c	11033	emp_thracia_antheia	minor_secondary	secondary
main_3c	11041	emp_thracia_antheia	minor_primary	primary
main_3c	11043	emp_tarraconensis_tarraco	port	port
main_3c	11049	emp_tarraconensis_tarraco	3c_major_navalbuff	secondary
main_3c	11058	emp_tarraconensis_tarraco	major_primary	primary
main_3c	11060	emp_tarraconensis_brigantium	port	port
main_3c	11066	emp_tarraconensis_brigantium	minor_secondary	secondary
main_3c	11072	emp_tarraconensis_brigantium	minor_primary	primary
main_3c	11081	emp_tarraconensis_aracillum	minor_secondary	secondary
main_3c	11084	emp_tarraconensis_aracillum	minor_primary	primary
main_3c	11085	emp_syria_thapsacus	minor_secondary	secondary
main_rome	1108	rom_aquitania_gergovia	minor_secondary	secondary
main_3c	11094	emp_syria_thapsacus	minor_primary	primary
main_3c	11096	emp_syria_tarsus	minor_secondary	secondary
main_3c	11104	emp_syria_tarsus	minor_primary	primary
main_3c	11105	emp_syria_samosata	minor_secondary	secondary
main_3c	11110	emp_syria_samosata	minor_primary	primary
main_3c	11115	emp_syria_antioch	port	port
main_3c	11122	emp_syria_antioch	3c_major_navalbuff	secondary
main_3c	11125	emp_syria_antioch	major_primary	primary
main_3c	11128	emp_suebia_virunium	port	port
main_3c	11137	emp_suebia_virunium	minor_secondary	secondary
main_3c	11145	emp_suebia_virunium	minor_primary	primary
main_rome	1114	rom_aquitania_pictavis	minor_primary	primary
main_3c	11154	emp_suebia_setidava	minor_secondary	secondary
main_3c	11162	emp_suebia_setidava	minor_primary	primary
main_3c	11167	emp_suebia_pelplin	minor_secondary	secondary
main_3c	11177	emp_suebia_pelplin	minor_primary	primary
main_3c	11186	emp_suebia_calancorum	3c_major_navalbuff	secondary
main_3c	11188	emp_suebia_calancorum	major_primary	primary
main_3c	11198	emp_sicily_syracuse	port	port
main_rome	111	rom_cisalpina_liguria	minor_primary	primary
main_3c	11208	emp_sicily_syracuse	3c_major_navalbuff	secondary
main_rome	1120	rom_aquitania_pictavis	minor_secondary	secondary
main_3c	11213	emp_sicily_syracuse	major_primary	primary
main_3c	11219	emp_sicily_panormus	port	port
main_3c	11221	emp_sicily_panormus	minor_secondary	secondary
main_3c	11228	emp_sicily_panormus	minor_primary	primary
main_3c	11233	emp_sicily_agrigentum	port	port
main_3c	11243	emp_sicily_agrigentum	minor_secondary	secondary
main_rome	1124	rom_celtica_aremorica	minor_primary	primary
main_3c	11252	emp_sicily_agrigentum	minor_primary	primary
main_3c	11258	emp_scythia_siracena	minor_secondary	secondary
main_rome	1125	rom_celtica_aremorica	port	port
main_3c	11266	emp_scythia_siracena	minor_primary	primary
main_3c	11269	emp_scythia_sarai	major_secondary	secondary
main_3c	11272	emp_scythia_sarai	major_primary	primary
main_3c	11275	emp_scythia_samandar	minor_secondary	secondary
main_3c	11280	emp_scythia_samandar	minor_primary	primary
main_3c	11287	emp_scythia_gelonus	minor_secondary	secondary
main_3c	11290	emp_scythia_gelonus	minor_primary	primary
main_3c	11300	emp_sarmatia_solokha	3c_major_navalbuff	secondary
main_3c	11302	emp_sarmatia_solokha	major_primary	primary
main_rome	1130	rom_celtica_aremorica	minor_secondary	secondary
main_3c	11311	emp_sarmatia_olbia	port	port
main_3c	11314	emp_sarmatia_olbia	minor_secondary	secondary
main_3c	11324	emp_sarmatia_olbia	minor_primary	primary
main_3c	11333	emp_sarmatia_melgunov	minor_secondary	secondary
main_rome	1133	rom_celtica_lutetia	minor_primary	primary
main_3c	11340	emp_sarmatia_melgunov	minor_primary	primary
main_3c	11349	emp_raetia_et_noricum_octoduris	minor_secondary	secondary
main_3c	11352	emp_raetia_et_noricum_octoduris	minor_primary	primary
main_3c	11359	emp_raetia_et_noricum_noreia	major_secondary	secondary
main_3c	11362	emp_raetia_et_noricum_noreia	major_primary	primary
main_3c	11368	emp_raetia_et_noricum_koria	minor_secondary	secondary
main_3c	11371	emp_raetia_et_noricum_koria	minor_primary	primary
main_3c	11377	emp_raetia_et_noricum_kelheim	minor_secondary	secondary
main_3c	11385	emp_raetia_et_noricum_kelheim	minor_primary	primary
main_rome	1138	rom_celtica_lutetia	minor_secondary	secondary
main_3c	11395	emp_pretanic_isles_stanwick	3c_major_navalbuff	secondary
main_3c	11405	emp_pretanic_isles_stanwick	major_primary	primary
main_3c	11413	emp_pretanic_isles_elbana	port	port
main_3c	11423	emp_pretanic_isles_elbana	minor_secondary	secondary
main_3c	11424	emp_pretanic_isles_elbana	minor_primary	primary
main_3c	11430	emp_pretanic_isles_eilodon	minor_secondary	secondary
main_3c	11436	emp_pretanic_isles_eilodon	minor_primary	primary
main_3c	11439	emp_phazania_garama	major_secondary	secondary
main_3c	11448	emp_phazania_garama	major_primary	primary
main_3c	11452	emp_phazania_cydamus	minor_secondary	secondary
main_3c	11458	emp_phazania_cydamus	minor_primary	primary
main_3c	11468	emp_persis_susa	minor_secondary	secondary
main_rome	1146	rom_celtica_lugdunensis	major_primary	primary
main_3c	11475	emp_persis_susa	minor_primary	primary
main_rome	1147	rom_celtica_lugdunensis	major_secondary	secondary
main_3c	11481	emp_persis_persepolis	major_secondary	secondary
main_3c	11491	emp_persis_persepolis	major_primary	primary
main_3c	11495	emp_persis_gor	minor_secondary	secondary
main_3c	11502	emp_persis_gor	minor_primary	primary
main_3c	11504	emp_parthia_zadrakata	minor_secondary	secondary
main_3c	11508	emp_parthia_zadrakata	minor_primary	primary
main_3c	11512	emp_parthia_susia	minor_secondary	secondary
main_3c	11519	emp_parthia_susia	minor_primary	primary
main_rome	1151	rom_belgica_silva_carbonaria	major_primary	primary
main_3c	11528	emp_parthia_nisa	minor_secondary	secondary
main_3c	11533	emp_parthia_nisa	minor_primary	primary
main_3c	11541	emp_parthia_hekatompylos	major_secondary	secondary
main_rome	1154	rom_belgica_silva_carbonaria	major_secondary	secondary
main_3c	11550	emp_parthia_hekatompylos	major_primary	primary
main_3c	11558	emp_pannonia_singidun	major_secondary	secondary
main_3c	11563	emp_pannonia_singidun	major_primary	primary
main_3c	11566	emp_pannonia_segestica	minor_secondary	secondary
main_3c	11567	emp_pannonia_segestica	minor_primary	primary
main_3c	11570	emp_pannonia_aquincum	minor_secondary	secondary
main_3c	11575	emp_pannonia_aquincum	minor_primary	primary
main_3c	11576	emp_palmyra_palmyra	major_secondary	secondary
main_3c	11586	emp_palmyra_palmyra	major_primary	primary
main_3c	11587	emp_palmyra_dura	minor_secondary	secondary
main_3c	11593	emp_palmyra_dura	minor_primary	primary
main_3c	11597	emp_numidia_iol	port	port
main_3c	11599	emp_numidia_iol	minor_secondary	secondary
main_3c	11602	emp_numidia_iol	minor_primary	primary
main_3c	11609	emp_numidia_dimmidi	minor_secondary	secondary
main_3c	11611	emp_numidia_dimmidi	minor_primary	primary
main_3c	11612	emp_numidia_cirta	minor_secondary	secondary
main_3c	11615	emp_numidia_cirta	minor_primary	primary
main_3c	11625	emp_numidia_capsa	3c_major_navalbuff	secondary
main_rome	1162	rom_belgica_arduenna_silva	minor_primary	primary
main_3c	11634	emp_numidia_capsa	major_primary	primary
main_3c	11641	emp_narbonensis_tolosa	minor_secondary	secondary
main_3c	11646	emp_narbonensis_tolosa	minor_primary	primary
main_3c	11654	emp_narbonensis_narbo	port	port
main_3c	11655	emp_narbonensis_narbo	minor_secondary	secondary
