key	label	public	ladder
#stats_clans_tables;1;db/stats_clans_tables/stats_clans			
stats_clan_best_clan_map_rank	stats_clan_best_clan_map_rank	true	false
stats_clan_clan_leader	stats_clan_clan_leader	true	false
stats_clan_clan_total_ranked_game_losses	stats_clan_clan_total_ranked_game_losses	true	false
stats_clan_clan_total_ranked_game_wins	stats_clan_clan_total_ranked_game_wins	true	false
stats_clan_current_clan_ladder_rank	stats_clan_current_clan_ladder_rank	true	false
stats_clan_current_clan_map_rank	stats_clan_current_clan_map_rank	true	false
stats_clan_current_clan_map_regions_held	stats_clan_current_clan_map_regions_held	true	false
stats_clan_current_clan_members	stats_clan_current_clan_members	true	false
stats_clan_current_clan_members_active	stats_clan_current_clan_members_active	true	false
stats_clan_current_highest_ranked_2v2_clan_team	stats_clan_current_highest_ranked_2v2_clan_team	true	false
stats_clan_current_highest_ranked_2v2_clan_team_na	stats_clan_current_highest_ranked_2v2_clan_team_na	true	false
stats_clan_current_highest_ranked_3v3_clan_team	stats_clan_current_highest_ranked_3v3_clan_team	true	false
stats_clan_current_highest_ranked_3v3_clan_team_na	stats_clan_current_highest_ranked_3v3_clan_team_na	true	false
stats_clan_current_highest_ranked_4v4_clan_team	stats_clan_current_highest_ranked_4v4_clan_team	true	false
stats_clan_current_highest_ranked_4v4_clan_team_na	stats_clan_current_highest_ranked_4v4_clan_team_na	true	false
stats_clan_current_highest_ranked_solo_clan_mbr_na	stats_clan_current_highest_ranked_solo_clan_mbr_na	true	false
stats_clan_current_highest_ranked_solo_clan_member	stats_clan_current_highest_ranked_solo_clan_member	true	false
stats_clan_land_ranked_games_lost	stats_clan_land_ranked_games_lost	true	false
stats_clan_land_ranked_games_won	stats_clan_land_ranked_games_won	true	false
stats_clan_most_clan_map_regions_held_simultaneous	stats_clan_most_clan_map_regions_held_simultaneous	true	false
stats_clan_naval_ranked_games_lost	stats_clan_naval_ranked_games_lost	true	false
stats_clan_naval_ranked_games_won	stats_clan_naval_ranked_games_won	true	false
stats_clan_number_of_active_seasons_since_creation	stats_clan_number_of_active_seasons_since_creation	true	false
stats_clan_steam_group_creation_date	stats_clan_steam_group_creation_date	true	false
