language	subtitle_field	text_section	foreign_key	end	script_id	start	text_id
#subtitle_timings_tables;0;db/subtitle_timings_tables/subtitle_timings							
cz	1686093551	0	civil_war_begin_all	650	2	453	vo_fmv_texts_text_civil_war_begin_all
cz	1686093551	0	civil_war_end_barbarianrom_Barbarian	213	3	45	vo_fmv_texts_text_civil_war_end_barbarianrom_Barbarian
cz	1686093551	0	civil_war_end_easternrom_Eastern	240	4	30	vo_fmv_texts_text_civil_war_end_easternrom_Eastern
cz	1686093551	0	civil_war_end_egyptrom_Eastern	225	5	30	vo_fmv_texts_text_civil_war_end_egyptrom_Eastern
cz	1686093551	0	civil_war_end_hellenicrom_Hellenistic	215	6	35	vo_fmv_texts_text_civil_war_end_hellenicrom_Hellenistic
cz	1686093551	0	civil_war_end_romerom_Roman	212	7	35	vo_fmv_texts_text_civil_war_end_romerom_Roman
cz	1686093551	0	empire_divided_intro	175	22	140	vo_fmv_texts_text_empire_divided_intro
cz	1686093551	0	imp_aug_intro	355	20	215	vo_fmv_texts_text_imp_aug_intro
cz	1686093551	0	invasion_intro	500	23	440	vo_fmv_texts_text_invasion_intro
cz	1686093551	0	punic_wars_intro	257	17	224	vo_fmv_texts_text_punic_wars_intro
cz	1686093551	0	slave_uprising_begins_barbarianrom_Barbarian	410	1	195	vo_fmv_texts_text_slave_uprising_begins_barbarianrom_Barbarian
cz	1686093551	0	slave_uprising_begins_east_egyptrom_Eastern	261	8	140	vo_fmv_texts_text_slave_uprising_begins_east_egyptrom_Eastern
cz	1686093551	0	slave_uprising_begins_rome_hellenicrom_Hellenistic	447	9	265	vo_fmv_texts_text_slave_uprising_begins_rome_hellenicrom_Hellenistic
cz	1686093551	0	slave_uprising_ends_barbarianrom_Barbarian	212	10	125	vo_fmv_texts_text_slave_uprising_ends_barbarianrom_Barbarian
cz	1686093551	0	slave_uprising_ends_east_egyptrom_Eastern	212	11	130	vo_fmv_texts_text_slave_uprising_ends_east_egyptrom_Eastern
cz	1686093551	0	slave_uprising_ends_rome_hellenicrom_Hellenistic	210	12	130	vo_fmv_texts_text_slave_uprising_ends_rome_hellenicrom_Hellenistic
cz	1686093551	0	wrath_of_sparta_intro	626	21	432	vo_fmv_texts_text_wrath_of_sparta_intro
cz	1686093551	10	empire_divided_intro	1526	22	1463	vo_fmv_texts_text_empire_divided_intro
cz	1686093551	10	imp_aug_intro	1730	20	1580	vo_fmv_texts_text_imp_aug_intro
