max_tier	technology_node_set	effect_bundle	min_tier
#technology_category_modules_tables;0;db/technology_category_modules_tables/technology_category_modules			
1	3c_alani_civil_culture	3c_tech_module_culture_1	0
3	3c_alani_civil_culture	3c_tech_module_culture_2	2
5	3c_alani_civil_culture	3c_tech_module_culture_3	4
1	3c_alani_civil_economy	3c_tech_module_economy_1	0
3	3c_alani_civil_economy	3c_tech_module_economy_2	2
5	3c_alani_civil_economy	3c_tech_module_economy_3	4
1	3c_alani_civil_governance	3c_tech_module_governance_1	0
3	3c_alani_civil_governance	3c_tech_module_governance_2	2
5	3c_alani_civil_governance	3c_tech_module_governance_3	4
1	3c_alani_military_battle	3c_tech_module_battle_1	0
3	3c_alani_military_battle	3c_tech_module_battle_2	2
5	3c_alani_military_battle	3c_tech_module_battle_3	4
1	3c_alani_military_campaign	3c_tech_module_campaign_1	0
3	3c_alani_military_campaign	3c_tech_module_campaign_2	2
5	3c_alani_military_campaign	3c_tech_module_campaign_3	4
1	3c_alani_military_recruitment	3c_tech_module_military_recruitment_1	0
3	3c_alani_military_recruitment	3c_tech_module_military_recruitment_2	2
5	3c_alani_military_recruitment	3c_tech_module_military_recruitment_3	4
1	3c_armenia_civil_culture	3c_tech_module_culture_1	0
3	3c_armenia_civil_culture	3c_tech_module_culture_2	2
5	3c_armenia_civil_culture	3c_tech_module_culture_3	4
1	3c_armenia_civil_economy	3c_tech_module_economy_1	0
3	3c_armenia_civil_economy	3c_tech_module_economy_2	2
5	3c_armenia_civil_economy	3c_tech_module_economy_3	4
1	3c_armenia_civil_governance	3c_tech_module_governance_1	0
3	3c_armenia_civil_governance	3c_tech_module_governance_2	2
5	3c_armenia_civil_governance	3c_tech_module_governance_3	4
1	3c_armenia_military_battle	3c_tech_module_battle_1	0
3	3c_armenia_military_battle	3c_tech_module_battle_2	2
5	3c_armenia_military_battle	3c_tech_module_battle_3	4
1	3c_armenia_military_campaign	3c_tech_module_campaign_1	0
3	3c_armenia_military_campaign	3c_tech_module_campaign_2	2
5	3c_armenia_military_campaign	3c_tech_module_campaign_3	4
1	3c_armenia_military_recruitment	3c_tech_module_military_recruitment_1	0
3	3c_armenia_military_recruitment	3c_tech_module_military_recruitment_2	2
5	3c_armenia_military_recruitment	3c_tech_module_military_recruitment_3	4
1	3c_british_civil_culture	3c_tech_module_culture_1	0
3	3c_british_civil_culture	3c_tech_module_culture_2	2
5	3c_british_civil_culture	3c_tech_module_culture_3	4
1	3c_british_civil_economy	3c_tech_module_economy_1	0
3	3c_british_civil_economy	3c_tech_module_economy_2	2
5	3c_british_civil_economy	3c_tech_module_economy_3	4
1	3c_british_civil_governance	3c_tech_module_governance_1	0
3	3c_british_civil_governance	3c_tech_module_governance_2	2
5	3c_british_civil_governance	3c_tech_module_governance_3	4
1	3c_british_military_battle	3c_tech_module_battle_1	0
3	3c_british_military_battle	3c_tech_module_battle_2	2
5	3c_british_military_battle	3c_tech_module_battle_3	4
