child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position
#technology_node_links_tables;1;db/technology_node_links_tables/technology_node_links				
3c_alani_civil_culture_003_gather_ennaree_shamans	3c_alani_civil_culture_001_organize_feasts	0	1	4
3c_alani_civil_culture_004_organize_fairs	3c_alani_civil_culture_001_organize_feasts	0	2	4
3c_alani_civil_culture_005_invoke_blood_ties	3c_alani_civil_culture_001_organize_feasts	0	3	4
3c_alani_civil_culture_008_gather_royal_storytellers	3c_alani_civil_culture_002_restore_scythian_traditions	0	2	4
3c_alani_civil_culture_006_establish_ennaree_council	3c_alani_civil_culture_003_gather_ennaree_shamans	0	2	4
3c_alani_civil_culture_007_uphold_the_old_ways	3c_alani_civil_culture_004_organize_fairs	0	2	4
3c_alani_civil_culture_002_restore_scythian_traditions	3c_alani_civil_culture_005_invoke_blood_ties	0	2	4
3c_alani_civil_culture_009_pay_respect_ancestors	3c_alani_civil_culture_006_establish_ennaree_council	0	2	4
3c_alani_civil_economy_003_focus_on_husbandry	3c_alani_civil_economy_001_allocate_land	0	3	4
3c_alani_civil_economy_004_organize_labour	3c_alani_civil_economy_001_allocate_land	0	2	4
3c_alani_civil_economy_005_set_up_markets	3c_alani_civil_economy_002_oversee_natural_economy	0	2	4
3c_alani_civil_economy_006_improve_sheep_selection	3c_alani_civil_economy_004_organize_labour	0	3	4
3c_alani_civil_economy_007_improve_infrastructure	3c_alani_civil_economy_004_organize_labour	0	3	4
3c_alani_civil_economy_008_introduce_king_currency	3c_alani_civil_economy_005_set_up_markets	0	2	4
3c_alani_civil_economy_009_send_trade_envoys	3c_alani_civil_economy_008_introduce_king_currency	0	2	3
3c_alani_civil_governance_002_adopt_city_planning_practices	3c_alani_civil_governance_001_gain_recognition	0	3	1
3c_alani_civil_governance_003_promise_glory	3c_alani_civil_governance_001_gain_recognition	0	2	1
3c_alani_civil_governance_004_gather_retinue	3c_alani_civil_governance_001_gain_recognition	0	2	4
3c_alani_civil_governance_005_intimidate_the_opposition	3c_alani_civil_governance_004_gather_retinue	0	3	1
3c_alani_civil_governance_006_demand_oaths_of_fealty	3c_alani_civil_governance_004_gather_retinue	0	2	1
3c_alani_civil_governance_007_appoint_lawgivers	3c_alani_civil_governance_004_gather_retinue	0	2	4
3c_alani_civil_governance_008_introduce_steppe_laws	3c_alani_civil_governance_007_appoint_lawgivers	0	3	1
3c_alani_civil_governance_009_proclaim_legendary_kingdom	3c_alani_civil_governance_007_appoint_lawgivers	0	2	1
3c_alani_military_battle_002_issue_cavalry_chainmail	3c_alani_military_battle_001_practice_boar_head_formation	0	1	4
3c_alani_military_battle_007_reward_the_kataphractoi	3c_alani_military_battle_001_practice_boar_head_formation	0	2	4
3c_alani_military_battle_008_train_with_composite_bows	3c_alani_military_battle_001_practice_boar_head_formation	0	3	4
3c_alani_military_battle_001_practice_boar_head_formation	3c_alani_military_battle_004_assemble_the_horsemen	0	2	4
3c_alani_military_battle_003_train_crews	3c_alani_military_battle_004_assemble_the_horsemen	0	3	4
3c_alani_military_battle_005_announce_head_hunt	3c_alani_military_battle_004_assemble_the_horsemen	0	1	4
3c_alani_military_battle_006_adopt_hellenic_naval_traditions	3c_alani_military_battle_007_reward_the_kataphractoi	0	3	4
3c_alani_military_battle_009_practice_feigned_retreat	3c_alani_military_battle_007_reward_the_kataphractoi	0	1	4
3c_alani_military_campaign_002_motivate_hirelings	3c_alani_military_campaign_001_encourage_oneonone_training	0	1	4
3c_alani_military_campaign_005_copy_roman_arms_construction	3c_alani_military_campaign_001_encourage_oneonone_training	0	3	4
3c_alani_military_campaign_006_live_off_the_land	3c_alani_military_campaign_001_encourage_oneonone_training	0	2	4
3c_alani_military_campaign_003_authorize_pillaging	3c_alani_military_campaign_006_live_off_the_land	0	3	4
3c_alani_military_campaign_004_organize_forage_parties	3c_alani_military_campaign_006_live_off_the_land	0	1	4
3c_alani_military_campaign_007_expand_warleader_retinue	3c_alani_military_campaign_006_live_off_the_land	0	2	4
3c_alani_military_campaign_008_kidnap_foreign_siege_specialists	3c_alani_military_campaign_007_expand_warleader_retinue	0	3	4
3c_alani_military_campaign_009_unite_the_steppes	3c_alani_military_campaign_007_expand_warleader_retinue	0	1	4
3c_alani_military_recruitment_004_lead_by_example	3c_alani_military_recruitment_001_gather_brave_souls	0	2	4
3c_alani_military_recruitment_005_implement_iron_anchors	3c_alani_military_recruitment_002_enchance_boat_construction	0	2	4
3c_alani_military_recruitment_006_improve_cavalry_tactics	3c_alani_military_recruitment_003_intensify_physical_conditioning	0	2	4
3c_alani_military_recruitment_007_instill_military_discipline	3c_alani_military_recruitment_004_lead_by_example	0	2	4
3c_alani_military_recruitment_008_adopt_clinkerbuilt_ships	3c_alani_military_recruitment_005_implement_iron_anchors	0	2	4
3c_alani_military_recruitment_009_oversee_young_bloods	3c_alani_military_recruitment_006_improve_cavalry_tactics	0	2	4
3c_armenia_civil_culture_002_honor_sassanian_influence	3c_armenia_civil_culture_001_adhere_tenets_zoroaster	0	3	4
3c_armenia_civil_culture_003_welcome_latin_influence	3c_armenia_civil_culture_001_adhere_tenets_zoroaster	0	1	4
3c_armenia_civil_culture_004_recall_ancient_rites	3c_armenia_civil_culture_001_adhere_tenets_zoroaster	0	2	4
3c_armenia_civil_culture_005_develop_natural_sciences	3c_armenia_civil_culture_002_honor_sassanian_influence	0	2	4
3c_armenia_civil_economy_003_tax_the_nobility	3c_armenia_civil_culture_002_honor_sassanian_influence	0	1	4
3c_armenia_civil_culture_006_accept_christian_refuges	3c_armenia_civil_culture_003_welcome_latin_influence	0	2	4
3c_armenia_civil_culture_007_promote_religious_tolerance	3c_armenia_civil_culture_004_recall_ancient_rites	0	2	4
3c_armenia_civil_culture_008_train_royal_medicinemen	3c_armenia_civil_culture_005_develop_natural_sciences	0	2	4
3c_armenia_civil_culture_009_support_christianity	3c_armenia_civil_culture_006_accept_christian_refuges	0	2	4
3c_armenia_civil_economy_004_plan_irrigation_infrastructure	3c_armenia_civil_economy_001_order_land_reclamation	0	2	4
3c_armenia_civil_economy_003_tax_the_nobility	3c_armenia_civil_economy_002_hire_roman_translators	0	1	4
