key	campaign_key	faction_key	culture	subculture	technology_category
#technology_node_sets_tables;1;db/technology_node_sets_tables/technology_node_sets					
3c_alani_civil_culture	main_3c	3c_alani		sc_rom_barb_east	rom_roman_eng_con
3c_alani_civil_economy	main_3c	3c_alani		sc_rom_barb_east	rom_roman_civ_phi
3c_alani_civil_governance	main_3c	3c_alani		sc_rom_barb_east	rom_roman_civ_eco
3c_alani_civil_top	main_3c	3c_alani		sc_rom_barb_east	rom_roman_civ_top
3c_alani_military_battle	main_3c	3c_alani		sc_rom_barb_east	rom_roman_mil_tac
3c_alani_military_campaign	main_3c	3c_alani		sc_rom_barb_east	rom_roman_mil_man
3c_alani_military_recruitment	main_3c	3c_alani		sc_rom_barb_east	rom_roman_eng_sie
3c_alani_military_top	main_3c	3c_alani		sc_rom_barb_east	rom_roman_mil_top
3c_armenia_civil_culture	main_3c	3c_armenia	rom_Eastern		rom_roman_eng_con
3c_armenia_civil_economy	main_3c	3c_armenia	rom_Eastern		rom_roman_civ_phi
3c_armenia_civil_governance	main_3c	3c_armenia	rom_Eastern		rom_roman_civ_eco
3c_armenia_civil_top	main_3c	3c_armenia	rom_Eastern		rom_roman_civ_top
3c_armenia_military_battle	main_3c	3c_armenia	rom_Eastern		rom_roman_mil_tac
3c_armenia_military_campaign	main_3c	3c_armenia	rom_Eastern		rom_roman_mil_man
3c_armenia_military_recruitment	main_3c	3c_armenia	rom_Eastern		rom_roman_eng_sie
3c_armenia_military_top	main_3c	3c_armenia	rom_Eastern		rom_roman_mil_top
3c_british_civil_culture	main_3c			sc_rom_british	rom_roman_eng_con
3c_british_civil_economy	main_3c			sc_rom_british	rom_roman_civ_phi
3c_british_civil_governance	main_3c			sc_rom_british	rom_roman_civ_eco
3c_british_civil_top	main_3c			sc_rom_british	rom_roman_civ_top
3c_british_military_battle	main_3c			sc_rom_british	rom_roman_mil_tac
3c_british_military_campaign	main_3c			sc_rom_british	rom_roman_mil_man
3c_british_military_recruitment	main_3c			sc_rom_british	rom_roman_eng_sie
3c_british_military_top	main_3c			sc_rom_british	rom_roman_mil_top
3c_caledoni_civil_culture	main_3c	3c_caledoni		sc_rom_british	rom_roman_eng_con
3c_caledoni_civil_economy	main_3c	3c_caledoni		sc_rom_british	rom_roman_civ_phi
3c_caledoni_civil_governance	main_3c	3c_caledoni		sc_rom_british	rom_roman_civ_eco
3c_caledoni_civil_top	main_3c	3c_caledoni		sc_rom_british	rom_roman_civ_top
3c_caledoni_military_battle	main_3c	3c_caledoni		sc_rom_british	rom_roman_mil_tac
3c_caledoni_military_campaign	main_3c	3c_caledoni		sc_rom_british	rom_roman_mil_man
3c_caledoni_military_recruitment	main_3c	3c_caledoni		sc_rom_british	rom_roman_eng_sie
3c_caledoni_military_top	main_3c	3c_caledoni		sc_rom_british	rom_roman_mil_top
3c_east_civil_culture	main_3c		rom_Eastern		rom_roman_eng_con
3c_east_civil_economy	main_3c		rom_Eastern		rom_roman_civ_phi
3c_east_civil_governance	main_3c		rom_Eastern		rom_roman_civ_eco
3c_east_civil_top	main_3c		rom_Eastern		rom_roman_civ_top
3c_east_military_battle	main_3c		rom_Eastern		rom_roman_mil_tac
3c_east_military_campaign	main_3c		rom_Eastern		rom_roman_mil_man
3c_east_military_recruitment	main_3c		rom_Eastern		rom_roman_eng_sie
3c_east_military_top	main_3c		rom_Eastern		rom_roman_mil_top
3c_gallicemp_civil_culture	main_3c	3c_gallicemp	rom_Roman		rom_roman_eng_con
3c_gallicemp_civil_economy	main_3c	3c_gallicemp	rom_Roman		rom_roman_civ_phi
3c_gallicemp_civil_governance	main_3c	3c_gallicemp	rom_Roman		rom_roman_civ_eco
3c_gallicemp_civil_top	main_3c	3c_gallicemp	rom_Roman		rom_roman_civ_top
3c_gallicemp_military_battle	main_3c	3c_gallicemp	rom_Roman		rom_roman_mil_tac
3c_gallicemp_military_campaign	main_3c	3c_gallicemp	rom_Roman		rom_roman_mil_man
3c_gallicemp_military_recruitment	main_3c	3c_gallicemp	rom_Roman		rom_roman_eng_sie
3c_gallicemp_military_top	main_3c	3c_gallicemp	rom_Roman		rom_roman_mil_top
3c_germanic_civil_culture	main_3c			sc_rom_germanic	rom_roman_eng_con
3c_germanic_civil_economy	main_3c			sc_rom_germanic	rom_roman_civ_phi
3c_germanic_civil_governance	main_3c			sc_rom_germanic	rom_roman_civ_eco
3c_germanic_civil_top	main_3c			sc_rom_germanic	rom_roman_civ_top
3c_germanic_military_battle	main_3c			sc_rom_germanic	rom_roman_mil_tac
