key	campaign_key	faction_key	indent	technology_key	technology_node_set	tier
#technology_nodes_tables;0;db/technology_nodes_tables/technology_nodes						
3c_alani_civil_culture_001_organize_feasts	main_3c	3c_alani	3	3c_gothi_civil_culture_organize_feasts	3c_alani_civil_culture	0
3c_alani_civil_culture_002_restore_scythian_traditions	main_3c	3c_alani	6	3c_alani_civil_culture_restore_scythian_traditions	3c_alani_civil_culture	3
3c_alani_civil_culture_003_gather_ennaree_shamans	main_3c	3c_alani	2	3c_alani_civil_culture_gather_ennaree_shamans	3c_alani_civil_culture	1
3c_alani_civil_culture_004_organize_fairs	main_3c	3c_alani	3	3c_gothi_civil_culture_organize_fairs	3c_alani_civil_culture	2
3c_alani_civil_culture_005_invoke_blood_ties	main_3c	3c_alani	6	3c_alani_civil_culture_invoke_blood_ties	3c_alani_civil_culture	1
3c_alani_civil_culture_006_establish_ennaree_council	main_3c	3c_alani	2	3c_alani_civil_culture_establish_ennaree_council	3c_alani_civil_culture	3
3c_alani_civil_culture_007_uphold_the_old_ways	main_3c	3c_alani	3	3c_alani_civil_culture_uphold_the_old_ways	3c_alani_civil_culture	4
3c_alani_civil_culture_008_gather_royal_storytellers	main_3c	3c_alani	6	3c_alani_civil_culture_gather_royal_storytellers	3c_alani_civil_culture	5
3c_alani_civil_culture_009_pay_respect_ancestors	main_3c	3c_alani	2	3c_alani_civil_culture_pay_respect_ancestors	3c_alani_civil_culture	5
3c_alani_civil_economy_001_allocate_land	main_3c	3c_alani	1	3c_gothi_civil_economy_allocate_land	3c_alani_civil_economy	0
3c_alani_civil_economy_002_oversee_natural_economy	main_3c	3c_alani	5	3c_gothi_civil_economy_oversee_natural_economy	3c_alani_civil_economy	0
3c_alani_civil_economy_003_focus_on_husbandry	main_3c	3c_alani	4	3c_alani_civil_economy_focus_on_husbandry	3c_alani_civil_economy	1
3c_alani_civil_economy_004_organize_labour	main_3c	3c_alani	1	3c_gothi_civil_economy_select_workers	3c_alani_civil_economy	2
3c_alani_civil_economy_005_set_up_markets	main_3c	3c_alani	5	3c_gothi_civil_economy_set_up_markets	3c_alani_civil_economy	2
3c_alani_civil_economy_006_improve_sheep_selection	main_3c	3c_alani	4	3c_alani_civil_economy_improve_sheep_selection	3c_alani_civil_economy	3
3c_alani_civil_economy_007_improve_infrastructure	main_3c	3c_alani	1	3c_gothi_civil_economy_improve_infrastructure	3c_alani_civil_economy	4
3c_alani_civil_economy_008_introduce_king_currency	main_3c	3c_alani	5	3c_gothi_civil_economy_introduce_king_currency	3c_alani_civil_economy	4
3c_alani_civil_economy_009_send_trade_envoys	main_3c	3c_alani	4	3c_alani_civil_economy_send_trade_envoys	3c_alani_civil_economy	5
3c_alani_civil_governance_001_gain_recognition	main_3c	3c_alani	1	3c_gothi_civil_governance_gain_recognition	3c_alani_civil_governance	0
3c_alani_civil_governance_002_adopt_city_planning_practices	main_3c	3c_alani	5	3c_gothi_civil_governance_improve_housing	3c_alani_civil_governance	0
3c_alani_civil_governance_003_promise_glory	main_3c	3c_alani	4	3c_gothi_civil_governance_promise_glory	3c_alani_civil_governance	1
3c_alani_civil_governance_004_gather_retinue	main_3c	3c_alani	1	3c_gothi_civil_governance_gather_able_men	3c_alani_civil_governance	2
3c_alani_civil_governance_005_intimidate_the_opposition	main_3c	3c_alani	5	3c_gothi_civil_governance_intimidate_the_opposition	3c_alani_civil_governance	2
3c_alani_civil_governance_006_demand_oaths_of_fealty	main_3c	3c_alani	4	3c_gothi_civil_governance_demand_oaths_of_fealty	3c_alani_civil_governance	3
3c_alani_civil_governance_007_appoint_lawgivers	main_3c	3c_alani	1	3c_gothi_civil_governance_appoint_lawgivers	3c_alani_civil_governance	4
