factor	positive_pip_path	negative_pip_path
#town_wealth_growth_factors_tables;0;db/town_wealth_growth_factors_tables/town_wealth_growth_factors		
bankruptcy	data/ui/campaign ui/pips/bankruptcy-unhappy.png	data/ui/campaign ui/pips/bankruptcy-unhappy.png
discontent	data/ui/campaign ui/pips/rebellion-unhappy.png	data/ui/campaign ui/pips/rebellion-unhappy.png
education	data/ui/campaign ui/pips/town_education.png	(placeholder)
events	data/ui/campaign ui/pips/town_research.png	(placeholder)
global_food	data/ui/campaign ui/pips/taxes-unhappy.png	(placeholder)
government	data/ui/campaign ui/pips/government-happy.png	data/ui/campaign ui/pips/government-unhappy.png
industry	data/ui/campaign ui/pips/industry.png	(placeholder)
ministers	data/ui/campaign ui/pips/minister_traits-happy.png	data/ui/campaign ui/pips/minister_traits-unhappy.png
port	data/ui/campaign ui/pips/eco-trade_harbour.png	(placeholder)
roads	data/ui/campaign ui/pips/eco-trade_route.png	(placeholder)
tax	data/ui/campaign ui/pips/taxes-unhappy.png	data/ui/campaign ui/pips/taxes-unhappy.png
technologies	data/ui/campaign ui/pips/town_research.png	(placeholder)
