category	icon_path
#trait_categories_tables;0;db/trait_categories_tables/trait_categories	
agent_background_champion_brute	agent_background_champion_brute.png
agent_background_champion_contender	agent_background_champion_contender.png
agent_background_champion_guard	agent_background_champion_guard.png
agent_background_champion_martial_artist	agent_background_champion_martial_artist.png
agent_background_champion_raider	agent_background_champion_raider.png
agent_background_champion_warhero	agent_background_champion_warhero.png
agent_background_dignitary_courtesan	agent_background_dignitary_courtesan.png
agent_background_dignitary_orator	agent_background_dignitary_orator.png
agent_background_dignitary_overseer	agent_background_dignitary_overseer.png
agent_background_dignitary_sacrificer	agent_background_dignitary_sacrificer.png
agent_background_dignitary_taxman	agent_background_dignitary_taxman.png
agent_background_spy_actor	agent_background_spy_actor.png
agent_background_spy_attendant	agent_background_spy_attendant.png
agent_background_spy_courier	agent_background_spy_courier.png
agent_background_spy_criminal	agent_background_spy_criminal.png
agent_champion_zeal_1_champion	agent_champion_zeal_1_champion.png
agent_champion_zeal_3_audacity	agent_champion_zeal_3_audacity.png
agent_dignitary_authority_3_demagogy	agent_dignitary_authority_3_demagogy.png
agent_dignitary_background_orator	agent_dignitary_background_orator.png
agent_dignitary_subterfuge_2_treachery	agent_dignitary_subterfuge_2_treachery.png
agent_dignitary_zeal_2_doom	agent_dignitary_zeal_2_doom.png
agent_dignitary_zeal_2_propaganda	agent_dignitary_zeal_2_propaganda.png
agent_spy_authority_2_collaboration	agent_spy_authority_2_collaboration.png
agent_spy_subterfuge_1_spy	agent_spy_subterfuge_1_spy.png
agent_spy_zeal_2_murder	agent_spy_zeal_2_murder.png
agent_spy_zeal_2_sabotage	agent_spy_zeal_2_sabotage.png
bad	trait_bad.png
dummy	dummy
faction_leader	trait_faction_leader.png
gaul_ariovistos	agent_champion_authority_2_valour.png
gaul_boduognatos	general_warmonger_4_fearless_warrior.png
gaul_caesar	general_roman.png
gaul_vercingetorix	agent_champion_zeal_3_audacity.png
good	trait_good.png
mad	trait_mad.png
office	agent_dignitary_authority_3_martial_philosophy.png
