trait	applicable_to
#trait_info_tables;0;db/trait_info_tables/trait_info	
3c_aurelian	agent
3c_barbarian_king	agent
3c_event_books_rational	agent
3c_event_mystic_dreams_confused	agent
3c_event_royal_crown_faravahar	agent
3c_event_royal_crown_sacred_fire	agent
3c_event_royal_crown_simurgh	agent
3c_event_royal_crown_verethragna	agent
3c_event_sculptor_ancillary	agent
3c_event_vaballathus_authority	agent
3c_event_vaballathus_balanced	agent
3c_event_vaballathus_subterfuge	agent
3c_event_vaballathus_zeal	agent
3c_queen_mother	agent
3c_rightful_emperor	agent
3c_shahanshah	agent
3c_vaballathus	agent
FemGen_ch_eastern	agent
FemGen_ch_hellenic	agent
FemGen_ch_roman	agent
dk_ch_kush	agent
dk_ch_saba	agent
dk_female_family_duty	agent
dk_highborn	agent
emp_antony	agent
emp_lepidus	agent
emp_octavian	agent
emp_pompey	agent
games_isthmian_victor	agent
games_nemean_victor	agent
games_olympic_victor	agent
games_pythian_victor	agent
inv_ch_barb	agent
inv_ch_rome	agent
inv_ch_rome_consul_posterior	agent
inv_ch_rome_consul_prior	agent
inv_ch_rome_dictator	agent
inv_ch_rome_ex_consul	agent
inv_ch_rome_ex_dictator	agent
inv_ch_rome_magister_equitum	agent
inv_ch_samnites	agent
inv_ch_syracuse	agent
inv_ch_taranto	agent
inv_ch_tarchuna	agent
inv_consul_prior	agent
inv_dictator	agent
inv_general_athens	agent
inv_general_corinth	agent
inv_general_sparta	agent
inv_sp_trait_female_greco_non_roman_humors_yellow_bile	agent
inv_sp_trait_female_non_roman_background_fighter	agent
inv_sp_trait_female_non_roman_humors_phlegm	agent
inv_sp_trait_female_non_roman_virtues_personal_dignity	agent
inv_sp_trait_female_non_roman_virtues_personal_frugality	agent
inv_sp_trait_female_non_roman_virtues_personal_gravity	agent
inv_sp_trait_female_non_roman_virtues_personal_humanity	agent
inv_sp_trait_female_non_roman_virtues_personal_humour	agent
inv_sp_trait_female_non_roman_virtues_personal_industriousness	agent
inv_sp_trait_female_non_roman_virtues_personal_mercy	agent
inv_sp_trait_female_non_roman_virtues_personal_prudence	agent
inv_sp_trait_female_non_roman_virtues_personal_tenacity	agent
inv_sp_trait_female_non_roman_virtues_personal_truthfulness	agent
inv_sp_trait_female_non_roman_virtues_personal_wholesomeness	agent
inv_sp_trait_female_non_roman_virtues_public_dutifulness	agent
inv_sp_trait_female_non_roman_virtues_public_forethought	agent
inv_sp_trait_female_non_roman_virtues_public_freedom	agent
inv_sp_trait_female_non_roman_virtues_public_giving	agent
inv_sp_trait_female_non_roman_virtues_public_modesty	agent
inv_sp_trait_greco_non_roman_humors_yellow_bile	agent
inv_sp_trait_non_roman_background_fighter	agent
inv_sp_trait_non_roman_humors_phlegm	agent
inv_sp_trait_non_roman_virtues_personal_dignity	agent
inv_sp_trait_non_roman_virtues_personal_frugality	agent
inv_sp_trait_non_roman_virtues_personal_gravity	agent
inv_sp_trait_non_roman_virtues_personal_humanity	agent
inv_sp_trait_non_roman_virtues_personal_humour	agent
inv_sp_trait_non_roman_virtues_personal_industriousness	agent
inv_sp_trait_non_roman_virtues_personal_mercy	agent
inv_sp_trait_non_roman_virtues_personal_prudence	agent
inv_sp_trait_non_roman_virtues_personal_tenacity	agent
inv_sp_trait_non_roman_virtues_personal_truthfulness	agent
inv_sp_trait_non_roman_virtues_personal_wholesomeness	agent
inv_sp_trait_non_roman_virtues_public_dutifulness	agent
inv_sp_trait_non_roman_virtues_public_forethought	agent
inv_sp_trait_non_roman_virtues_public_freedom	agent
inv_sp_trait_non_roman_virtues_public_giving	agent
inv_sp_trait_non_roman_virtues_public_modesty	agent
inv_tribune	agent
pel_alkibiades	agent
pel_ch_athenai	agent
pel_ch_boiotia	agent
pel_ch_korinthos	agent
pel_ch_sparta	agent
pel_disgrace	agent
pel_hero_army	agent
pel_hero_city	agent
pel_kleon	agent
pel_lysander	agent
pel_nikias	agent
pel_perikles	agent
pel_sokrates	agent
pel_thukydides	agent
r2_cig_trait_arverni_vercingetorix	agent
r2_cig_trait_caesar	agent
r2_cig_trait_ch_roman	agent
r2_cig_trait_nervii_boduognatus	agent
r2_cig_trait_suebi_ariovistus	agent
r2_faction_leader_empire_default	agent
r2_faction_leader_empire_empress	agent
r2_faction_leader_empire_megas_basileus	agent
r2_faction_leader_empire_pharaoh	agent
r2_faction_leader_empire_proconsulate	agent
r2_faction_leader_empire_shahanshah	agent
r2_faction_leader_inv_etruscans_zilath	agent
r2_faction_leader_inv_gauls_chief	agent
r2_faction_leader_inv_nuragic_chief	agent
r2_faction_leader_inv_rome_consular_tribune	agent
r2_faction_leader_inv_samnites_medix_tuticus	agent
r2_faction_leader_inv_syracuse_tyrant	agent
r2_faction_leader_inv_taras_archon	agent
r2_faction_leader_inv_veneti_chief	agent
r2_faction_leader_kingdom_agellid	agent
r2_faction_leader_kingdom_basileus	agent
r2_faction_leader_kingdom_default	agent
r2_faction_leader_kingdom_governess	agent
r2_faction_leader_kingdom_governor	agent
r2_faction_leader_kingdom_kandake	agent
r2_faction_leader_kingdom_malik	agent
r2_faction_leader_kingdom_nigiste_negestatt	agent
r2_faction_leader_kingdom_nigusa_nagast	agent
r2_faction_leader_kingdom_qore	agent
r2_faction_leader_kingdom_queen	agent
r2_faction_leader_kingdom_queen_mother	agent
r2_faction_leader_kingdom_reiks	agent
r2_faction_leader_kingdom_rex	agent
r2_faction_leader_kingdom_shah	agent
r2_faction_leader_republic_archon	agent
r2_faction_leader_republic_commanding_general	agent
r2_faction_leader_republic_consul_perpetuo	agent
r2_faction_leader_republic_default	agent
r2_faction_leader_republic_shophet	agent
r2_faction_leader_union_default	agent
r2_faction_leader_union_hegemon	agent
r2_faction_leader_union_high_queen	agent
r2_faction_leader_union_kindins	agent
r2_family_heir	agent
r2_family_leader	agent
r2_sp_trait_all_admin_good	agent
r2_sp_trait_all_agent_army_assault_unit	agent
r2_sp_trait_all_agent_army_foreign_harass_guerrilla	agent
r2_sp_trait_all_agent_army_friendly_reconaissance	agent
r2_sp_trait_all_agent_army_instructor	agent
r2_sp_trait_all_agent_army_intercept_orders	agent
r2_sp_trait_all_agent_army_mislead_command	agent
r2_sp_trait_all_agent_army_poison_provisions	agent
r2_sp_trait_all_agent_army_show_force	agent
r2_sp_trait_all_agent_army_threaten	agent
r2_sp_trait_all_agent_army_undermine_authority	agent
r2_sp_trait_all_agent_army_wreck_supplies	agent
r2_sp_trait_all_agent_character_assassin	agent
r2_sp_trait_all_agent_character_kill_betrayal	agent
r2_sp_trait_all_agent_character_kill_concealed_blade	agent
r2_sp_trait_all_agent_character_kill_hire_assassins	agent
r2_sp_trait_all_agent_character_kill_marksmanship	agent
r2_sp_trait_all_agent_character_kill_poison	agent
r2_sp_trait_all_agent_character_kill_provocation	agent
r2_sp_trait_all_agent_character_kill_single_combat	agent
r2_sp_trait_all_agent_character_kill_slaughter	agent
r2_sp_trait_all_agent_character_kill_solicit_traitor	agent
r2_sp_trait_all_agent_character_seduce_persuasion	agent
r2_sp_trait_all_agent_character_seduce_temptation	agent
r2_sp_trait_all_agent_deployed_foreign_corrupt	agent
r2_sp_trait_all_agent_deployed_foreign_infiltrate	agent
r2_sp_trait_all_agent_deployed_friendly_counterspy	agent
r2_sp_trait_all_agent_passive_adventurer	agent
r2_sp_trait_all_agent_passive_cultural_proponent	agent
r2_sp_trait_all_agent_passive_spy	agent
r2_sp_trait_all_agent_seduce_coercion_1	agent
r2_sp_trait_all_agent_settle_assault_garrison	agent
