trait_level	effect	effect_scope	value
#trait_level_effects_tables;0;db/trait_level_effects_tables/trait_level_effects			
3c_aurelian_1	gaul_general_dummy_invincible	this_general	1.0000
3c_barbarian_king_1	gaul_general_dummy_invincible	this_general	1.0000
3c_event_books_rational_1	rom_building_research_points	this_character_faction	15.0000
3c_event_mystic_dreams_confused_1	rom_general_attribute_mod_subterfuge	this_general	-1.0000
3c_event_mystic_dreams_confused_1	rom_general_attribute_mod_zeal	this_general	-1.0000
3c_event_royal_crown_faravahar_1	rom_building_research_points_mod_civil	this_faction	6.0000
3c_event_royal_crown_faravahar_1	rom_character_faction_leader_global_public_order	in_all_your_provinces	1.0000
3c_event_royal_crown_sacred_fire_1	rom_building_food_trade	in_all_your_regions	1.0000
3c_event_royal_crown_sacred_fire_1	rom_province_growth_province_effects	in_all_your_provinces	1.0000
3c_event_royal_crown_simurgh_1	3c_tech_civil_culture_diplomacy_all	this_character_faction	5.0000
3c_event_royal_crown_simurgh_1	rom_faction_political_party_loyalty	this_character_faction	4.0000
3c_event_royal_crown_verethragna_1	rom_force_campaign_mod_upkeep_land	in_all_your_forces	-8.0000
3c_event_sculptor_ancillary_1	rom_character_gravitas_per_turn_mod	this_general	1.0000
3c_event_vaballathus_authority_1	rom_agent_attribute_authority_mod	this_agent	3.0000
3c_event_vaballathus_balanced_1	rom_agent_attribute_authority_mod	this_agent	1.0000
3c_event_vaballathus_balanced_1	rom_agent_attribute_subterfuge_mod	this_agent	1.0000
3c_event_vaballathus_balanced_1	rom_agent_attribute_zeal_mod	this_agent	1.0000
3c_event_vaballathus_subterfuge_1	rom_agent_attribute_subterfuge_mod	this_agent	3.0000
3c_event_vaballathus_zeal_1	rom_agent_attribute_zeal_mod	this_agent	3.0000
3c_queen_mother_1	gaul_general_dummy_invincible	this_general	1.0000
3c_rightful_emperor	gaul_general_dummy_invincible	this_general	1.0000
3c_shahanshah_1	gaul_general_dummy_invincible	this_general	1.0000
3c_vaballathus_1	gaul_general_dummy_invincible	this_general	1.0000
FemGen_ch_eastern_rank_1	rom_building_gdp_mod_culture_entertainment	in_all_your_regions	3.0000
FemGen_ch_eastern_rank_1	rom_character_gravitas_per_turn_mod	this_agent	3.0000
